cyc,sweep,VVA,ODT1,ODT2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
36,46.05,3,0.2,4,36,10815.4,0.197676,16.3606,12.9891,96.9937,0.0146087,-284.156,0.0109531,2.4497,-1.16523,1.7653,3.79394,2.16042,-157.849,1148.82,23.5101,8623.72,7053.04,3.44363,-0.171296,3.75316,4.78787,3.15435,0.74925,1370.22,39.9099,8845.12,0.149686,0.9515,0.00824322,9153.92,3242.04,2393.93,75729.2,0.00142962,0.111022,12.2948,9.56459,97.6146,69.9282,0.679074,12.5847,11.9803,96.6085,121.165,1.00605,-51.2364 
37,46.05,0,0.2,4,37,11136.2,0.239584,17.49,12.2648,97.1203,0.193274,-407.476,249.138,0.555637,0.351114,5.97329,-0.597388,-2.93236,-145.377,-63.3523,14.6305,9941.59,9546.75,1.47104,1.26651,7.80409,0.318012,-2.01696,0.117453,140.553,29.7346,10145.5,0.0154989,0.72981,0.00536989,9068.59,4597.98,753.041,112234,0.00151243,0.0121684,8.92991,7.57912,119.495,52.2742,0.8799,11.9019,11.2252,96.744,120.277,22.7507,-68.0025 
38,45.9,3,0.2,4,38,12612.6,0.17448,18.7046,13.5891,96.6398,-1.61676,-1805.95,427.378,3.09454,1.38068,4.55371,0.428201,-1.38646,-193.639,1044.28,23.2567,10401.9,103323,4.31383,2.59998,6.99229,1.64749,-0.167167,0.545555,1315.88,43.375,10673.5,0.122881,0.945461,0.00743035,10708.5,4356.85,2458.74,104620,0.00136397,0.115706,12.2083,9.21188,97.2293,68.8636,0.768761,13.3692,12.1853,96.202,119.774,1.02731,-50.9104 
39,45.9,0,0.2,4,39,11206.4,0.000340891,17.5267,12.9996,96.9755,-0.00550672,7.15912,4.68242e-11,-0.245191,1.3353,2.65106,-4.36086,1.94095,-159.816,-106.245,-6.17016,10185.9,7418.21,0.76113,2.34162,4.6637,-3.35454,2.94727,0.366275,117.913,10.4341,10410.1,0.0127079,0.865908,0.00184296,9278.76,4478.53,720.896,109630,0.00116343,0.0159657,-7.51823,5.92643,120.835,57.6836,0.825582,12.5945,11.801,96.6287,120.465,24.2065,-62.7809 
40,46.05,3,0.2,4,40,10693.6,0.134639,16.3406,12.9344,96.8587,0.0321112,-111.993,500,-0.762145,-0.0241653,2.34822,-2.11939,-2.43214,-154.513,1072.7,39.174,8508.73,6997.41,0.210781,0.948762,4.29408,-1.14646,-1.45922,-0.507785,1289.42,55.2273,8725.45,0.143783,0.930272,0.0115251,8967.82,3177.06,2301.76,74195.1,0.00140592,0.113187,11.1064,9.87024,97.1307,69.6117,0.668828,12.7417,11.9481,96.4794,120.483,0.651344,-50.8717 
41,46.05,0,0.2,4,41,10222.3,0.199316,16.5622,12.042,96.836,-0.341362,-58.2837,5.10539,1.30196,-0.258786,6.90627,-1.91441,0.765274,-135.454,-32.4154,12.7085,9271.57,7140.15,2.15488,0.594132,8.6121,-1.0615,1.61819,0.277375,157.572,26.7817,9461.56,0.0185734,0.77075,0.00518718,8483.74,4041.71,751.638,98230.1,0.00130657,0.00437574,0.419632,-5.00036,102.399,60.063,0.825951,11.8591,11.1932,96.5359,120.67,5.86277,-60.6073 
42,45.9,3,0.2,4,42,11928.5,0.00409937,17.9548,13.3723,97.1027,-0.019784,-2.89977,499.995,-0.950493,5.18472,3.0515,-0.341386,1.74265,-177.172,1118,31.937,9664.96,7817.8,0.165111,6.30032,5.28271,0.774217,2.85825,0.656534,1366.5,50.3445,9913.46,0.135427,0.939432,0.00926824,10090.3,3878.93,2452.7,92268.2,0.00156331,0.119028,11.2915,9.55642,97.4861,70.149,0.738432,12.867,12.0651,96.6524,120.971,0.833705,-50.8215 
43,45.9,0,0.2,4,43,11536.4,0.266772,17.272,12.7568,96.7541,-0.159085,476.76,33.0009,1.73368,1.66489,5.58711,0.183129,-5.17379,-192.015,60.9605,13.1329,10090.1,9641.68,2.94275,2.87396,8.00525,1.3922,-3.96472,0.288386,330.28,33.0825,10359.4,0.034963,0.850855,0.0058483,9446.57,4441.79,773.047,108325,0.00195202,-0.0180412,-9.21612,9.10308,70,64.5784,0.832306,12.4372,11.5479,96.5355,120.107,-26.5355,-55.5285 
44,46.05,3,0.2,4,44,11333.3,0.223773,17.1761,12.8551,96.9684,2.08507e-05,-212.587,181.797,3.00727,5.5633,4.07436,-2.71841,0.61659,-169.412,1129.19,31.8791,9046.01,7187.94,4.07402,6.63004,6.20785,-1.65167,1.68334,0.633616,1366.81,49.4804,9283.62,0.143325,0.940422,0.0097227,9536.39,3531.02,2495.84,83054.1,0.00158027,0.119988,11.2775,9.38092,97.2333,70.8312,0.71018,12.5674,12.0211,96.6676,121.724,0.565732,-50.8931 
45,46.05,0,0.2,4,45,11681.2,0.0198405,18.3504,12.8853,96.8781,-0.00315524,-39.0414,0.000351871,0.596328,0.749723,5.90365,-0.255061,-1.82587,-160.535,-1.54611,8.54507,10602.5,7701.23,1.60717,1.76057,7.92534,0.755783,-0.815023,0.294512,223.619,25.224,10827.7,0.0229307,0.835144,0.004273,9751.98,4931.09,752.549,121250,0.00127038,0.0147688,-8.85619,-8.1972,119.561,54.911,0.882912,12.4053,11.5844,96.6304,120.431,22.9307,-65.5203 
