cyc,detuning,freq,VVA,time,buffer,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,-4,43.2227,5,10,11,0,19743.2,-0.392383,37.78,-12.5291,118.898,0.0837355,477.975,446.765,-4.42184,-5.19008,-4.11824,-0.647661,-3.4369,-73.5331,10533.8,14.5414,10759.3,16712,-3.95882,-4.72706,-3.1922,-0.184643,-2.97389,0.787705,10592.3,19.8661,10817.9,0.494732,0.996729,0.00337146,21410.2,-0.0017426,1.05947,12.5796,9.93725,118.44,82.6181,1.00311,12.5529,10.6184,118.265,130.714,0.175295,-48.0957 
1,-4.06,43.1627,5,10,11,1,21224.9,-0.0550856,41.0924,-12.0699,118.82,0.012977,-20.0419,500,-7.58611,-3.10169,-10.8235,-4.36183,-3.91759,-225.711,11473.1,39.7652,11403.2,16154.3,-6.16487,-1.68045,-7.98104,-2.94059,-2.49635,0.624657,11652.9,56.1095,11583,0.501504,0.991644,0.00884445,23235.9,-0.00173143,1.18309,12.4145,9.75571,118.409,82.541,1.08862,12.1476,10.6519,118.197,130.775,0.21258,-48.2337 
2,-4.08,43.1427,5,10,11,2,19882.1,-0.0760179,38.6969,12.1821,118.882,1.04756,-711.415,500,-4.26038,-3.94077,-10.581,-1.03175,1.80668,-180.613,11332.4,58.9053,10241.8,39606.3,-3.12312,-2.8035,-8.30648,0.105524,2.94395,0.257264,11476.2,71.9838,10385.6,0.524942,0.989142,0.0126068,21861.9,-0.00184974,1.11605,12.5484,10.1559,118.523,82.6624,0.972465,12.2244,10.6923,118.336,130.766,0.186831,-48.1038 
3,-3.88,43.3427,5,10,11,3,20686.7,-0.364785,40.1473,-12.2358,119.012,0.740265,-25.6369,498.04,-5.27082,-7.11547,-11.2573,-2.75346,-4.23691,-169.562,11227.4,22.8099,10990,16609.1,-4.20314,-6.04779,-9.12193,-1.68578,-3.16922,0.623494,11362.5,35.0883,11125.1,0.505279,0.994625,0.0057764,22487.6,-0.00177557,1.15704,12.393,9.86654,118.577,82.3696,1.05905,12.3255,10.4717,118.501,130.392,0.0759993,-48.022 
4,-3.9,43.3227,5,10,11,4,20684.7,-0.34251,40.2632,12.1238,118.905,0.123992,771.929,234.318,-3.44743,-4.07782,-7.67351,-4.37037,-4.90883,-280.295,11535.6,36.4179,10559.4,19006.5,-1.68249,-2.31288,-4.14363,-2.60543,-3.14389,0.701646,11758.8,56.7147,10782.6,0.521654,0.99163,0.00959618,22541.5,-0.00156492,1.19798,12.3054,9.77594,118.44,82.9082,1.02515,12.1282,10.5449,118.348,131.25,0.0915083,-48.342 
5,-3.96,43.2627,5,10,11,5,20403.5,-0.0708891,39.0032,12.18,119.03,0.0660046,-12.9429,0.00589743,-2.54623,-6.43031,-14.3298,-8.52899,-3.55652,-281.915,10888.5,31.8481,10911.5,15492.6,-0.771092,-4.65517,-10.7795,-6.75385,-1.78138,0.564306,11113,52.2623,11136.1,0.499483,0.991837,0.00857103,22249.1,-0.0015514,1.09811,12.2863,10.0558,118.574,82.7507,1.0085,12.549,10.7395,118.425,131.064,0.148949,-48.3137 
6,-3.84,43.3827,5,10,11,6,22387.9,-0.355235,42.6473,12.3474,118.86,0.0351602,-141.154,70.5635,-4.75976,-5.37053,-9.20635,-0.763003,-2.91961,-171.362,11919.6,42.2772,11680.6,17303.6,-3.68074,-4.29151,-7.04831,0.316017,-1.84059,0.573995,12056.1,54.686,11817.1,0.505005,0.992125,0.00845264,23873.2,-0.00143876,1.19901,12.4047,10.0383,118.456,82.5806,1.10498,12.3864,10.597,118.248,130.842,0.208545,-48.2617 
7,-3.94,43.2827,5,10,11,7,18606.8,-0.38938,37.107,12.0819,119.113,-0.714331,-777.14,104.197,-3.53403,-5.17123,-11.332,-5.05317,-2.13661,-211.947,10256.5,30.1189,10035.9,32666,-2.19946,-3.83665,-8.66281,-3.7186,-0.80203,0.549271,10425.3,45.4665,10204.7,0.505345,0.992426,0.00814056,20630,-0.00186606,1.05669,12.3321,9.90688,118.59,82.9792,0.965118,12.1678,10.6304,118.577,131.368,0.012746,-48.3885 
8,-3.8,43.4227,5,10,11,8,21342.9,-0.220279,39.9313,12.3216,118.864,-0.0130597,88.9628,17.3064,-5.53441,-4.94935,-5.86524,0.203991,-1.63008,-32.3341,11531.1,25.1787,10728.5,16054.6,-5.33081,-4.74576,-5.45804,0.40759,-1.42648,0.670279,11556.8,27.5201,10754.2,0.517987,0.99585,0.00469184,22311,-0.00116568,1.17767,12.3497,9.94038,118.337,82.8558,1.01519,12.46,10.5278,118.239,131.02,0.0973123,-48.1639 
9,-4.02,43.2027,5,10,11,9,18820.9,-0.077363,36.5323,11.9825,118.842,0.0437777,-20.6403,3.34474e-11,-5.17648,-6.03587,-10.443,-1.51913,-0.838068,-217.596,10444.7,16.9196,9792.66,14279.5,-3.80634,-4.66573,-7.70271,-0.148984,0.532075,0.51223,10618,32.6762,9965.98,0.515838,0.994643,0.00600359,20584,-0.00157434,1.09441,12.2805,9.76363,118.217,82.7338,0.941325,12.1196,10.6313,118.205,131.005,0.0125046,-48.2712 
