cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,7511.4,-0.0345486,14.8108,11.2807,98.6058,0.00822967,-19.4017,359.648,-1.31404,0.694079,4.20758,-2.89041,-2.74297,-16.5646,-159.488,23.2263,7606.81,5444.1,-1.20974,0.798382,4.41619,-2.78611,-2.63867,4.1101,-136.255,24.9473,7630.05,-0.0219884,1.47148,0.0059869,6196.68,0.000152675,0.009123,19.1379,-2.87436,121.122,56.0268,0.754276,11.0033,10.8107,98.2718,118.132,22.8498,-62.1048 
12,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,12,7438.72,-0.0483236,14.3284,11.6665,98.3081,-0.0830431,96.8424,251.196,-1.01073,-1.9558,-1.40039,-3.27833,-0.775896,4.35836,532.774,10.0646,6997.72,5703.48,-1.03818,-1.98324,-1.45527,-3.30577,-0.80334,0.830502,526.661,9.61181,6991.61,0.0832047,0.96905,0.00252606,6329.7,9.69186e-05,0.0771834,10.3136,9.02597,98.0199,67.2254,0.645547,11.5122,11.1438,97.9453,116.849,0.0745904,-49.6236 
13,97,43.248,4.2,48.55,-0.2,0.19,0.01,13,14488.3,-0.0492275,28.6257,11.1889,98.5882,0.0203854,2.14933,143.953,2.53622,-1.07181,2.11227,-1.42871,-1.46695,-120.933,6485.42,-11.4279,8160,10427.9,3.2977,-0.310325,3.63523,-0.667225,-0.705467,0.307564,6655.04,1.13652,8329.62,0.490472,0.999701,0.000251279,13568.6,9.94732e-05,0.836627,10.738,8.8097,98.6561,68.6724,0.834975,11.1936,10.4019,97.9591,118.407,0.696961,-49.7344 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,16501.3,-0.0158833,32.7766,11.1167,98.7677,-0.00456326,2.99194,9.27803e-11,2.02568,2.17846,0.997006,-0.713609,-0.939754,-128.426,7629.42,8.44065,9018.72,11861.8,2.83434,2.98713,2.61434,0.0950565,-0.131088,0.688761,7809.55,21.7836,9198.85,0.505649,0.995142,0.00434331,15444.6,0.000119228,0.96922,10.7047,8.9821,98.8425,68.9835,0.924537,11.0514,10.5316,98.2235,118.606,0.618976,-49.6228 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,6719.17,-0.0695179,13.8574,11.1012,98.8116,0.0389064,32.6398,441.559,-0.17593,0.165794,-1.86248,-0.101345,-2.91191,-16.7114,-140.332,5.64897,6983.53,5049.14,-0.0707024,0.271022,-1.65203,0.00388219,-2.80668,0.611699,-116.893,7.38523,7006.97,-0.0205115,1.12431,0.00193778,5698.89,-7.96613e-05,0.00778096,7.75684,-6.07979,96.9332,62.0599,0.725612,10.8181,10.5647,98.5331,118.158,-1.59984,-56.0984 
16,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,16,7115.17,-0.0565456,13.6212,11.8172,98.1088,0.0207445,11.438,28.9881,-3.29822,-1.51126,-0.0810427,-1.98146,-0.942064,-41.9199,500.532,9.88553,6666.03,5247.66,-3.03426,-1.2473,0.446874,-1.71751,-0.678105,1.07173,559.328,14.2408,6724.82,0.091082,0.957344,0.00388578,6140.93,0.00012638,0.0698268,10.3799,9.1416,98.215,67.7948,0.631909,11.5389,10.8426,97.7367,117.642,0.478217,-49.8473 
17,97,43.248,4.2,48.55,-0.2,0.19,0.01,17,13883.9,-0.0268587,27.7767,11.1781,98.6329,0.358709,-258.279,0.00397667,1.03592,1.97784,-2.05327,0.220502,-0.8462,-89.0019,6337.6,-5.09584,7703.69,13123.4,1.59634,2.53826,-0.932424,0.780923,-0.285779,1.25219,6462.43,4.15111,7828.53,0.49864,0.998877,0.00097583,12960.1,-0.000188269,0.813142,10.7361,9.06259,98.7796,67.7461,0.780145,11.2917,10.5895,97.806,117.34,0.973644,-49.5936 
18,97,43.248,0,48.55,-0.2,0.19,0.01,18,15930.3,-0.0739276,31.4443,11.2712,98.539,-0.028474,70.3662,18.3733,2.47449,2.84677,2.59616,-0.977291,-0.789086,-159.349,7429.96,0.897572,8707.76,11602.5,3.47786,3.85015,4.60292,0.0260879,0.214293,0.621822,7653.46,17.4533,8931.26,0.507982,0.996025,0.0035869,15066.4,-2.28809e-05,0.960519,10.8344,8.75987,98.4443,67.8842,0.896086,11.3451,10.2634,97.9143,117.182,0.529998,-49.2974 
19,75,46.2227,0,46.05,0.2,-0.19,-0.01,19,6889.28,0.00376919,13.7913,11.2105,98.415,-0.00212776,4.63785,3.34118e-12,0.003019,-1.67742,-3.46244,2.96514,0.184508,-1.56525,-114.82,2.73863,6992.97,5033.29,0.012875,-1.66756,-3.44272,2.975,0.194364,-0.785599,-112.625,2.90125,6995.16,-0.0197818,1.04721,0.000763432,5693.36,2.40975e-05,0.0107684,-10.2784,-6.9496,121.338,51.2328,0.733745,10.9668,10.3607,98.124,118.184,23.2144,-66.9507 
20,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,20,7002.06,-0.0437612,13.4275,11.6967,98.4962,0.0556227,-34.2553,176.427,-0.132645,-1.94634,3.33962,0.0304173,-2.59117,-26.2014,524.446,1.61501,6485.91,5174.78,0.0323385,-1.78136,3.66958,0.195401,-2.42619,12.8289,561.196,4.33723,6522.66,0.093924,0.986656,0.00122341,5975,0.000131088,0.0739157,10.4985,8.76953,98.1907,67.6258,0.616986,11.4396,10.9714,98.1319,118.341,0.0587991,-50.715 
