cyc,sweep,VVA,drop time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
58,45.9,10,1.2,58,8283.31,-0.00296936,10.5034,17.1623,96.0033,-0.00681972,5.42612,313.988,0.643866,0.61216,4.08173,0.336857,1.62933,-50.2506,1165.62,66.1156,6430.69,5869.35,0.960281,0.928574,4.71456,0.653271,1.94574,0.487683,1236.1,71.3365,6501.17,0.177674,0.90827,0.0198127,6957.13,1116.21,1035.39,25996.1,0.000864116,0.0563008,15.3921,14.1853,96.452,71.2086,0.302921,16.502,15.7799,95.9719,123.438,0.480104,-52.229 
59,45.9,0,1.2,59,7427.8,0.0417803,9.73802,16.0818,96.3152,-0.0358517,15.3971,255.653,0.443518,-0.325398,3.4139,-0.045606,2.76999,-61.6294,254.326,53.0653,6400.34,5115.98,0.831582,0.062666,4.19003,0.342458,3.15805,0.511924,340.767,59.4683,6486.78,0.0563332,0.76605,0.0166073,6049.13,1222.78,222.9,29645.1,0.00111972,0.00664068,11.7257,19.1149,95.4681,67.355,0.355691,15.171,14.1105,96.1591,121.231,-0.690968,-53.8756 
60,46.05,10,1.2,60,8436.59,-0.00591227,11.0212,16.6883,96.1787,-0.0277199,11.5439,491.396,0.757881,0.260225,1.39144,0.694227,0.313755,-62.7225,1133.32,67.4869,6615.53,5997.81,1.15283,0.655172,2.18133,1.08917,0.708702,0.623077,1221.29,74.0035,6703.5,0.171521,0.904126,0.0199307,7120.37,1206.23,958.126,28438.6,0.00080392,0.0534953,16.0905,13.9839,96.4175,70.127,0.320226,16.1465,15.8079,96.1576,122.617,0.259889,-52.49 
61,46.05,0,1.2,61,9237.74,0.0269808,12.1319,16.2157,96.3658,0.108424,0.331673,0.338889,-0.668915,0.38636,4.53027,1.18001,2.12573,-71.8217,282.547,53.9242,8076.96,6405.33,-0.216673,0.838602,5.43476,1.63225,2.57797,0.470653,383.284,61.3862,8177.7,0.0505674,0.781081,0.0136392,7579.66,1894.18,230.275,46997.2,0.00122744,0.00838033,12.0332,14.5869,99.6776,68.7311,0.446179,15.3195,14.1988,96.2565,123.453,3.42106,-54.7218 
62,45.9,10,1.2,62,8054.47,-0.00128085,10.1779,17.2039,95.8814,-0.00133794,0.891596,265.86,1.11029,-0.180714,0.212535,0.433751,2.64928,-50.282,1058.97,62.5035,6258.51,5700.14,1.4269,0.135898,0.845759,0.750364,2.9659,0.861913,1129.5,67.7276,6329.04,0.168605,0.905031,0.0193314,6699.05,1069.69,870.309,24922.3,0.000955708,0.0504958,15.8779,13.9256,96.2771,70.4375,0.300144,16.3651,15.4947,95.8866,122.559,0.390484,-52.1214 
63,45.9,0,1.2,63,6776.96,0.0173187,9.12523,15.9165,96.2493,-0.0210325,2.63961,475.125,-0.507001,-0.539645,2.20128,2.90245,1.61035,-53.5396,245.037,40.9654,5899.13,4729.91,-0.169876,-0.20252,2.87553,3.23957,1.94747,0.626077,320.131,46.528,5974.22,0.0573975,0.797229,0.0141436,5577.45,1087.22,227.991,26146.5,0.000884008,0.00624038,17.7337,15.391,104.065,58.6577,0.337663,15.0208,13.9536,96.2679,121.408,7.7967,-62.7502 
64,46.05,10,1.2,64,7839.02,-0.00862259,10.0315,17.0716,96.4954,-0.0206365,2.96541,3.47642,-1.03219,0.31949,1.47465,1.56422,0.745364,-42.4367,1060.53,69.4305,6082.24,5576.85,-0.764974,0.586703,2.00907,1.83144,1.01258,0.570234,1120.05,73.8395,6141.76,0.17166,0.896564,0.0216669,6524.8,1038.62,888.152,24080.1,0.000870794,0.0507846,15.7429,13.8126,97.1847,69.5519,0.29565,16.1746,15.6014,96.362,121.655,0.82275,-52.1032 
65,46.05,0,1.2,65,8080.66,0.0243909,10.6693,16.0879,96.6455,-0.0430012,-0.143444,500,2.10551,0.0514283,3.95894,2.1141,1.85166,-52.4474,321.076,71.6694,6943.57,5587.86,2.43576,0.381676,4.61943,2.44435,2.18191,0.617062,394.639,77.1185,7017.13,0.0600694,0.745169,0.0198431,6569.71,1433.07,246.396,35040.3,-0.000359188,0.00914919,30.9043,127.515,87.4525,93,0.387619,14.6979,13.7051,96.7195,122.371,-9.26706,-29.3713 
66,45.9,10,1.2,66,7808.1,-0.02452,10.1,17.0677,95.902,-0.0564399,59.8219,264.484,0.432333,0.295714,5.79757,1.64306,1.71826,-44.9046,1031.97,59.7995,6169.96,5721.59,0.715085,0.578466,6.36307,1.92581,2.00101,0.450676,1094.96,64.4649,6232.94,0.166408,0.906594,0.018696,6579.95,1057.06,808.221,24771.5,0.000740892,0.0468793,16.6855,14.0803,96.4411,70.4928,0.300657,16.4058,15.3695,95.8236,122.515,0.61751,-52.0223 
67,45.9,0,1.2,67,7740.02,0.0462817,10.2327,15.9173,96.4778,0.0350334,-55.2148,134.352,-0.300812,0.270995,5.02129,4.16698,2.10063,-45.1691,256.749,64.5786,6656.42,5365.14,-0.0163937,0.555413,5.59013,4.4514,2.38504,0.568849,320.103,69.2715,6719.78,0.051352,0.725317,0.0186356,6233.51,1350.42,233.43,32810.6,0.000896963,0.0110021,-25.382,18.1458,70,93,0.379606,14.9054,13.9719,96.4016,122.781,-26.4016,-29.7805 
