cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,-4.01,43.2127,17,9067.24,-0.0311663,27.6062,8.6408,118.894,0.0104166,19.8619,481.715,0.563798,-0.232262,-4.274,-5.84549,-4.17303,-683.178,5148.69,-5.25372,6383.29,7772,4.86559,4.06953,4.32958,-1.54371,0.128762,0.634627,5692.86,44.2168,6927.46,0.49156,0.98659,0.0116212,11581.2 
18,-3.935,43.2877,18,8966.82,-0.041021,27.9133,8.53769,118.94,-0.00818024,12.548,500,-1.71625,0.639922,-9.93882,-9.35863,-7.11423,-600.93,5047.89,-7.44376,6442.6,7761.28,2.06764,4.42382,-2.37103,-5.57474,-3.33033,0.504449,5526.55,36.071,6921.27,0.484376,0.988707,0.00950907,11409.6 
19,-3.97,43.2527,19,9427.19,-0.0908208,28.2345,8.81786,118.934,0.118765,191.769,42.9503,-3.39228,-2.15892,-6.28281,-5.63168,-4.60773,-602.521,5512.01,-5.94413,6273.12,8846.15,0.401631,1.63499,1.30502,-1.83776,-0.813811,-0.891147,5991.94,37.6859,6753.05,0.510733,0.989113,0.0101754,11732 
20,-3.985,43.2377,20,7581.47,-0.129803,24.7822,8.31361,119.112,0.129183,55.4127,0.0412963,-3.45298,-6.4917,-10.5244,-8.97129,-9.20267,-576.512,4564.75,-15.7466,5386.92,6939.98,0.177158,-2.86156,-3.26408,-5.34115,-5.57253,0.806426,5023.96,26,5846.13,0.502739,0.991025,0.00812597,9993.17 
21,-4,43.2227,21,8022.96,-0.0791673,25.6861,8.51043,118.815,0.0769233,268.634,404.144,-2.27961,-6.14812,-8.42591,-4.19143,-6.12021,-662.426,4727.33,-18.6782,5813.43,7788.82,1.89151,-1.97701,-0.0836765,-0.0203102,-1.9491,0.960873,5254.98,29.2897,6341.07,0.493662,0.99034,0.00843697,10644.9 
22,-3.93,43.2927,22,9634.53,-0.0640987,29.2075,8.58282,119.327,0.0211965,10.7891,5.92752e-06,0.690887,-1.35365,-7.23129,-4.21884,-7.65362,-562.426,5290.8,-25.6973,6750.94,8167.99,4.23233,2.18779,-0.148403,-0.677395,-4.11217,1.10013,5738.79,15.0293,7198.93,0.483964,0.995438,0.00383104,11857.9 
23,-3.965,43.2577,23,8563.78,-0.368295,26.18,8.70066,119.143,-0.0357716,534.482,7.12496,-7.23493,-6.24211,-10.3539,-1.30317,-7.06321,-597.522,4740.75,-20.8243,6033.89,8037.5,-3.47249,-2.47967,-2.82904,2.45927,-3.30077,0.706003,5216.7,22.4438,6509.83,0.485272,0.992527,0.00631089,10750.1 
24,-4.04,43.3077,24,8833.2,-0.415764,27.8847,8.57164,119.251,0.662016,1125.56,114.976,0.696316,-6.47521,-16.7796,-3.16112,-8.98317,-578.769,5195.39,-23.812,6145.5,32037.5,4.34067,-2.83086,-9.49091,0.483227,-5.33881,0.260642,5656.4,18.098,6606.51,0.501813,0.994432,0.00502096,11271.9 
25,-3.98,43.2427,25,8831.9,-0.0273356,27.0224,8.50064,119.033,0.00876785,-27.9773,500,-3.46167,-2.42581,-11.199,-4.71058,-4.94316,-508.262,5202.52,-24.5522,5856.79,7485.72,-0.261286,0.774574,-4.79827,-1.5102,-1.74278,0.363452,5607.37,12.2523,6261.64,0.513037,0.996191,0.00359153,10929.8 
26,-4.005,43.2177,26,9959.03,-0.0342362,29.6776,8.65231,119.233,0.0103575,-15.93,500,-2.55115,-1.88522,-9.01131,-6.20254,-5.99515,-554.458,5687.08,-15.4782,6661.63,8364.41,0.940124,1.60605,-2.02877,-2.71127,-2.50388,0.568139,6128.72,24.6715,7103.28,0.503737,0.993005,0.00635742,12166.5 
27,-3.945,43.2777,27,9946.23,-0.0461596,28.8417,8.67551,119.162,0.00818868,1.89331,488.124,1.89924,-4.39092,-13.1639,-5.79014,-1.56208,-502.114,5517.73,-18.882,6517.35,8145.89,5.06092,-1.22923,-6.84058,-2.62846,1.5996,-0.694156,5917.69,17.4774,6917.31,0.501609,0.994858,0.00463273,11797.4 
28,-3.96,43.2627,28,9327.07,-0.0295878,27.56,8.59671,119.227,-0.0344653,-83.8295,500,0.19117,-1.34609,-6.24147,-3.83175,-7.77395,-550.712,5337.1,-17.9244,6215.92,7806.76,3.65886,2.12159,0.693902,-0.364068,-4.30626,0.615358,5775.77,21.9539,6654.59,0.505221,0.993392,0.00604052,11432.2 
29,-4.045,43.3127,29,9339.5,-0.0116063,27.9061,8.62286,119.363,-0.00332555,-1.91051,500,1.3268,-1.912,-10.2283,-8.71249,-7.011,-628.184,5303.06,-6.65255,6427.54,7833.52,5.2823,2.04351,-2.31725,-4.75698,-3.05549,0.173565,5803.43,38.8358,6927.91,0.496352,0.988425,0.0102207,11692.2 
