cyc,freq,pulsetime,waittime,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43,0.01,0.64,0,0,15382.6,-0.0781972,28.1481,13.2318,91.3564,0.12144,42.9843,2.24347e-05,2.09545,2.27213,3.03956,3.39025,5.12752,131.719,8136.41,24.0983,9100.47,12294.4,1.26605,1.44272,1.38076,2.56085,4.29812,0.873886,7961.92,20.677,8925.98,0.503384,0.995476,0.00424911,15816.8,5877.1,68103.3,80404.1,-0.00172472,0.65381,13.3424,11.1897,92.144,66.0779,0.680497,13.0983,12.5135,90.8751,116.699,1.26899,-50.6212 
1,43.588,0.01,0.64,5,1,14652.3,-0.099737,27.4541,13.0128,91.4146,-0.145798,160.082,500,0.381238,2.402,2.85391,2.59773,2.5868,60.6925,7801.64,17.7307,8596.62,12389.6,-0.000926031,2.01984,2.08958,2.21557,2.20463,0.754994,7721.24,16.1543,8516.23,0.507458,0.996352,0.00348209,15215.5,5553.36,65230.8,75651.3,-0.0016344,0.654147,12.9205,11.0833,92.1684,66.3413,0.676989,12.8889,12.0843,90.9301,116.856,1.23828,-50.5147 
2,43.138,0.01,0.64,5,2,14168.3,-0.281809,26.5751,13.2945,91.5488,-1.12254,1495.95,5.83053e-11,1.21869,1.474,4.75573,1.68872,-1.53904,90.9426,7576.49,21.0636,8332.9,66166.7,0.646053,0.901354,3.61045,1.11608,-2.11168,0.132575,7456.02,18.7015,8212.43,0.507801,0.99563,0.00417735,14683,5153.89,60204.6,70044.3,-0.00167347,0.619746,13.0677,11.2677,92.2988,66.0172,0.645289,12.9409,12.2628,91.1506,116.505,1.14821,-50.4883 
3,42.988,0.01,0.64,5,3,14630.1,-0.426477,27.11,13.5062,91.3082,-0.251326,485.621,366.029,1.00607,2.72775,0.508733,1.84129,1.34894,97.5119,7828.81,22.8556,8584.09,15892.6,0.392065,2.11375,-0.71928,1.22728,0.734939,1.19187,7699.64,20.3229,8454.92,0.508564,0.995402,0.0044083,15140,5438.31,62737.9,75028.3,-0.00167127,0.627713,13.3465,11.2057,92.019,66.5343,0.671787,12.9122,12.1521,90.7888,117.051,1.23014,-50.5171 
4,43.288,0.01,0.64,5,4,14749.3,-0.189019,27.2588,13.3488,91.1426,0.0405566,278.032,19.2506,3.06464,1.45465,2.6736,4.71139,-1.87656,127.668,7767.37,21.2726,8787.22,12212.4,2.26075,0.650758,1.06581,3.90749,-2.68045,0.795208,7598.26,17.9565,8618.1,0.500472,0.995881,0.0038235,15182.2,5486.21,62393.9,76481.8,-0.00171537,0.627967,13.1687,11.2946,92.0423,66.3879,0.668943,13.0295,12.3768,90.8594,116.802,1.18296,-50.4145 
5,43.313,0.01,0.64,5,5,14144.4,-0.00856489,25.7764,13.1997,91.3611,-0.0174937,7.26931,500,2.80399,1.03204,0.712162,3.16266,-0.390548,74.2336,7335.27,20.3342,8485.92,11080.1,2.33656,0.564608,-0.222697,2.69523,-0.857977,1.04932,7236.93,18.4061,8387.59,0.49507,0.995569,0.00402611,14618,4984.21,54932.8,71155.9,-0.00148142,0.588762,13.1894,11.2588,92.1951,66.6766,0.647444,12.9241,12.3853,90.8878,117.235,1.30724,-50.558 
6,43.2005,0.01,0.64,5,6,14525.6,-0.20983,26.8666,13.1605,91.6274,-0.184537,160.997,8.06941e-12,-1.11025,1.27822,5.73236,3.34039,-1.03148,87.4008,7465.15,25.4622,8660.84,12477.3,-1.66059,0.72788,4.63169,2.79005,-1.58182,0.0561469,7349.37,23.192,8545.06,0.494274,0.994508,0.00497476,14869,5280.77,57711.5,75558.7,-0.00143051,0.607552,13.0325,11.2487,92.4096,66.8388,0.67182,12.913,12.2257,91.1029,117.499,1.30666,-50.6605 
7,43.263,0.01,0.64,5,7,13413.8,-0.134043,24.2154,13.5402,91.2878,-0.0666675,132.813,3.13661,0.526739,2.12303,1.55658,2.76702,-0.3292,145.804,6742.08,22.9592,8189.56,10961.9,-0.391353,1.20494,-0.2796,1.84893,-1.24729,1.24621,6548.94,19.1721,7996.42,0.482043,0.994903,0.00439719,13585.8,4468.28,46422.7,66215.1,-0.00125374,0.541923,13.3289,11.0935,92.0782,66.8453,0.627161,12.9641,12.2078,90.8091,117.499,1.26915,-50.6532 
8,42.938,0.01,0.64,5,8,14678.6,0.000966183,26.7979,13.0682,91.4339,-0.0261717,5.87015,500,-1.03276,2.88747,7.07229,1.95987,0.181869,88.5636,7763.73,23.5658,8573.17,11405.2,-1.59042,2.32981,5.95697,1.40221,-0.375792,0.228649,7646.41,21.2654,8455.85,0.506802,0.995157,0.00461131,15087.6,5389.2,62792.8,73736.3,-0.00144096,0.63575,12.9904,11.19,92.1288,66.7764,0.663218,12.8389,12.2974,90.905,117.666,1.2238,-50.8901 
9,43.2255,0.01,0.64,5,9,13443.9,-0.000640178,24.6156,13.1599,91.0733,-0.00651298,-0.960317,1.04851e-11,-0.0740813,3.68695,5.39782,0.362952,2.94688,120.159,6980.22,19.1647,8048.74,10545.5,-0.83069,2.93034,3.8846,-0.393657,2.19027,0.500749,6821.04,16.0437,7889.57,0.495576,0.995901,0.00373201,13763.9,4558.4,50103.5,64871.9,-0.00143672,0.561619,13.3504,11.1653,91.8543,65.7856,0.621297,12.7722,12.3789,90.6382,116.055,1.21615,-50.2695 
10,43,0.01,0.64,0,10,15005,-0.0456942,27.4446,13.2514,91.2662,0.017777,-19.7612,500,-2.34556,0.327,3.17543,-1.89861,-0.0813525,136.466,7961.96,20.5627,8788.71,11850.4,-3.20485,-0.532289,1.45685,-2.7579,-0.940642,1.24367,7781.19,17.0181,8607.94,0.506714,0.996187,0.00362868,15356.2,5619.37,65276.7,77174.7,-0.00170577,0.640534,13.3026,11.2534,92.0743,66.2523,0.6722,13.0602,12.3485,90.742,116.946,1.33231,-50.6933 
11,43.038,0.01,0.64,5,11,15965.2,-0.439314,29.2274,13.5697,91.2621,-0.276792,50.4999,331.219,-0.826712,1.75199,6.66221,1.79663,3.07231,70.2894,8497.67,21.251,9298.99,13365.9,-1.26931,1.3094,5.77703,1.35404,2.62971,0.41056,8404.56,19.4253,9205.88,0.50919,0.995972,0.00387198,16505.7,6157.89,71714.8,84689,-0.00189196,0.656621,13.4482,11.6505,92.1705,67.2017,0.694006,13.2755,12.5267,90.6972,117.88,1.47336,-50.6779 
12,43.238,0.01,0.64,5,12,13200.6,-0.0340991,24.4391,13.1392,91.237,0.0264643,-28.7835,500,0.91265,0.638927,4.95171,1.92931,-0.679225,62.6807,6727.67,16.3322,8136.23,10478,0.517966,0.244243,4.16234,1.53463,-1.07391,0.227087,6644.64,14.7041,8053.2,0.483899,0.996142,0.00335218,13731.4,4534.97,47383.8,66877.5,-0.00149449,0.551052,13.1134,11.1314,91.8854,66.574,0.6346,12.7458,12.2664,90.7143,117.183,1.17109,-50.6086 
13,43.2505,0.01,0.64,5,13,14410.3,-0.369868,25.9887,13.7234,91.4141,0.0142902,1012.31,289.473,1.13661,3.07275,4.23302,0.0678203,0.355915,119.896,7370.3,20.6616,8628.4,12081.2,0.381657,2.31779,2.7231,-0.687136,-0.399041,0.372033,7211.47,17.5474,8469.57,0.491757,0.99576,0.003802,14664.7,4977.53,54674.8,71195.8,-0.00142104,0.581867,13.371,11.3075,92.1766,67.121,0.634859,13.1794,12.6241,90.8827,117.7,1.29395,-50.579 
14,43.438,0.01,0.64,5,14,14028.9,-0.166279,25.4422,13.3878,91.2363,0.0769708,469.633,2.6853e-06,1.16665,2.98253,3.4701,2.44383,-1.19323,144.497,7154.34,20.6065,8347.51,12264.9,0.25679,2.07268,1.65039,1.53397,-2.10309,0.51612,6962.93,16.8533,8156.1,0.492417,0.995782,0.00379199,14140.3,4874.43,53404.3,69700.4,-0.00129487,0.588345,13.11,11.0255,92.1241,67.3258,0.640551,13.041,12.2554,90.6799,117.969,1.44417,-50.6429 
15,43,0.01,0.64,0,15,15756.7,-0.00965982,28.4468,13.1341,91.1306,0.013589,-0.916882,0.00356086,1.10211,2.67059,4.97619,-0.273053,1.36371,101.969,8304.12,19.8778,8995.44,12163,0.460035,2.02852,3.69204,-0.915127,0.721634,0.383335,8169.04,17.2293,8860.37,0.511647,0.996323,0.00356925,15966.2,5960.93,71315.5,80114.5,-0.0015063,0.673016,12.9759,11.3846,91.9773,67.3497,0.676437,13.1625,12.5454,90.6333,118.101,1.34407,-50.7516 
16,43.538,0.01,0.64,5,16,13620.9,-0.387718,25.3311,13.4157,91.1721,0.468922,-504.819,482.038,1.45502,1.01012,3.89912,1.52438,0.264785,63.4458,7080.19,16.0399,8210.09,18768.8,1.05552,0.610614,3.10011,1.12488,-0.134717,0.46145,6996.14,14.392,8126.04,0.49453,0.996413,0.00325193,14147.1,4797.64,52281.1,69131.1,-0.00149828,0.577406,13.1674,11.1594,92.0294,66.491,0.651174,12.7822,12.0151,90.6501,116.766,1.37928,-50.2746 
17,43.488,0.01,0.64,5,17,15725.2,-0.404977,28.6952,13.504,91.0523,-0.187771,185.667,494.273,0.73269,2.31525,7.26916,2.13876,-2.13409,97.1621,8315.85,21.1523,9127.5,13749.3,0.120886,1.70345,6.04555,1.52696,-2.74589,0.0910245,8187.14,18.6286,8998.8,0.508326,0.996034,0.00379889,16106.1,5943.54,70225.1,80572.9,-0.00163901,0.662369,13.1973,11.397,91.9671,67.337,0.674823,13.2697,12.585,90.4982,118.129,1.46882,-50.792 
18,43.088,0.01,0.64,5,18,14914.5,-0.197976,27.3069,13.1714,91.3446,-0.508816,373.617,89.9987,0.858428,1.73628,1.05329,3.16698,2.82986,101.223,7939.71,21.0998,8639.25,17896.9,0.221056,1.09891,-0.221453,2.52961,2.19248,1.03805,7805.63,18.4707,8505.17,0.5105,0.995876,0.00398456,15290.2,5484.39,65624,73270.1,-0.00153491,0.649623,13.0694,11.1746,91.9604,66.6306,0.649834,13.2219,12.368,90.783,117.237,1.17743,-50.606 
19,43.213,0.01,0.64,5,19,13204.6,-0.024963,23.6983,13.4663,91.1261,0.0053777,-25.9044,500,-0.690161,-0.211432,-1.76487,-0.358767,3.24636,75.9522,6935.02,17.8054,7830.1,10393.2,-1.16841,-0.689683,-2.72137,-0.837017,2.7681,-0.0275617,6834.41,15.8326,7729.49,0.50119,0.995962,0.00375908,13636.4,4277.33,47934.2,59717.9,-0.00145014,0.543794,13.4477,11.3006,91.9993,67.2219,0.583091,13.2807,12.466,90.7038,117.886,1.29548,-50.6643 
20,43,0.01,0.64,0,20,16289.4,-0.321542,28.6744,13.9396,91.1362,-0.662884,392.893,13.9931,-1.38073,1.03827,6.14077,-0.239792,4.29548,99.9575,8816.48,24.3748,9343.06,21490.1,-2.01014,0.408867,4.88195,-0.869197,3.66608,0.196725,8684.06,21.7785,9210.65,0.517234,0.99563,0.00433675,16789.4,6255.22,77424.6,81238.9,-0.00183326,0.684076,13.368,11.6516,92.1024,67.1551,0.667731,13.4184,12.8361,90.8081,117.811,1.29427,-50.656 
