cyc,detuning,freq,VVA,time,buffer,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,-3.81,43.4127,3.5,20,21,11,19462.2,-0.014642,37.8118,11.8975,118.166,0.00784491,1.25415,500,-1.19531,-2.78152,-8.27877,-2.72607,-1.38779,-218.365,10882.3,25.2454,9853.87,14645,0.179676,-1.40654,-5.5288,-1.35108,-0.0128058,0.319076,11056.2,41.0577,10027.8,0.524389,0.993543,0.00748582,21084,-0.00141043,1.12515,12.1707,9.94985,117.671,84.8872,0.950388,11.9939,10.6889,117.611,133.541,0.0600226,-48.6534 
12,-5,42.2227,0,20,21,12,19844.6,0.201484,38.2171,11.8057,118.249,-0.983669,388.814,1.5375e-10,-7.37742,-3.77123,-6.1478,-11.0656,-2.45207,-205.612,11000.4,33.9843,10071.6,27137.8,-6.08273,-2.47654,-3.55843,-9.77093,-1.15739,0.845595,11164.2,48.8731,10235.4,0.521702,0.992397,0.00871922,21399.6,-0.00134892,1.15059,12.1893,9.80289,117.619,85.0203,0.9709,11.9413,10.7334,117.76,133.737,-0.140645,-48.717 
13,-3.87,43.3527,3.5,20,21,13,18472.6,-0.0517863,36.8103,-11.8666,117.967,-0.0217026,64.1725,500,-4.75476,-7.82016,-3.22984,-6.0069,-3.49736,-160.083,10707.6,33.6814,9379.12,14265,-3.74677,-6.81217,-1.21384,-4.9989,-2.48936,0.936979,10835.1,45.2734,9506.64,0.532654,0.992741,0.00869636,20341.8,-0.00171604,1.11899,12.2196,9.85073,117.477,85.3823,0.915658,11.7702,10.718,117.375,134.13,0.102212,-48.7473 
14,-3.885,43.3377,3.5,20,21,14,19297.5,-0.349017,37.9741,12.0806,118.028,0.807743,-1331.18,138.152,-7.20926,-7.48835,-8.92623,-5.45066,-2.01344,-165.814,10860.4,33.2512,9870.77,49936.9,-6.16517,-6.44426,-6.83805,-4.40657,-0.969352,0.724532,10992.5,45.2582,10002.8,0.523569,0.992846,0.00826577,20995.4,-0.00154157,1.11553,12.2521,9.95156,117.556,85.2484,0.931868,11.9458,10.9487,117.416,133.93,0.139336,-48.6814 
15,-4.16,43.0627,3.5,20,21,15,19815.2,-0.355523,39.52,11.9092,118.106,0.86237,-269.652,136.129,-5.14227,-9.61754,-4.11371,-6.50698,-4.81789,-208.957,10941.4,44.1292,10287.9,22891.2,-3.82652,-8.30179,-1.48221,-5.19123,-3.50214,0.933545,11107.9,59.2603,10454.3,0.515155,0.99075,0.0103341,21562.2,-0.0014909,1.159,11.9792,9.81811,117.618,85.4001,1.00353,11.9184,10.6368,117.524,134.205,0.093808,-48.8046 
16,-5,42.2227,0,20,21,16,19609.5,-0.363989,38.2363,12.2194,118.267,0.100108,232.734,496.41,-7.89879,-4.84619,-8.34897,-8.57984,-3.29061,-154.29,10866.2,27.4153,10125.7,15968.2,-6.92727,-3.87467,-6.40593,-7.60832,-2.31909,0.763926,10989.1,38.5878,10248.6,0.517435,0.993893,0.00688807,21237.8,-0.00157621,1.10411,12.303,10.0619,117.706,85.308,0.952956,12.165,10.8274,117.666,133.969,0.0406673,-48.6609 
17,-4.03,43.1927,3.5,20,21,17,18965.2,-0.279514,37.2252,12.023,118.142,0.0259895,-348.47,0.0351985,-6.85062,-6.82839,-6.81094,-4.40559,-2.36149,-286.396,10614.5,29.5997,9635.88,14864.3,-5.04726,-5.02503,-3.20422,-2.60223,-0.558126,0.805059,10842.6,50.3384,9864,0.523631,0.991941,0.00931315,20706.6,-0.00139548,1.11479,12.1681,9.77534,117.58,85.3033,0.947986,11.9574,10.515,117.604,134.02,-0.0234636,-48.7167 
18,-4.08,43.1427,3.5,20,21,18,18719.4,-0.0311876,36.5511,11.7794,118.165,0.0131058,-19.2411,2.71596e-09,-4.79443,-4.87718,-12.5944,-3.63948,-1.74892,-244.772,10299.4,28.5385,9519.7,14024.1,-3.25316,-3.33591,-9.51184,-2.09822,-0.207654,0.483243,10494.3,46.263,9714.67,0.51929,0.992344,0.00869615,20209,-0.00122972,1.08733,12.0724,9.80552,117.623,85.3833,0.93103,11.911,10.6196,117.593,133.937,0.0303078,-48.5535 
19,-4.01,43.2127,3.5,20,21,19,16959.9,-0.176306,34.3135,11.8032,118.388,0.0978356,-70.5282,500,-6.67343,-7.02518,-7.55055,-4.01428,-4.71767,-255.719,9554.2,7.84958,9100.67,13409,-5.06324,-5.41499,-4.33016,-2.40409,-3.10748,0.786901,9757.89,26.3668,9304.36,0.511896,0.995294,0.00519307,19062.2,-0.00178228,1.0159,12.085,9.77098,117.742,86.0361,0.893469,11.9081,10.5859,117.828,134.923,-0.0860309,-48.8871 
20,-4.06,43.1627,3.5,20,21,20,19973,-0.0132784,38.5455,11.8957,118.303,-0.113461,88.3577,58.8466,-0.8167,-3.4478,-8.80236,-6.04065,-4.17673,-219.907,11267.2,16.9997,9997.31,15252.8,0.567995,-2.06311,-6.03298,-4.65596,-2.79204,0.597159,11442.3,32.9237,10172.5,0.529374,0.99499,0.00592672,21614.8,-0.00149951,1.15345,12.2125,10.0318,117.84,86.3186,0.950561,12.1311,10.7772,117.717,134.935,0.122344,-48.6168 
