cyc,sweep,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.05,3,0,3841.49,-0.00162427,7.073,11.7438,95.8106,0.00249222,7.408,5.78931e-12,2.05385,0.749235,1.57253,1.49077,1.62736,-41.5333,672.132,17.4275,3159.47,2704.61,2.31538,1.01076,2.09558,1.7523,1.88888,0.768774,730.386,21.7427,3217.72,0.205051,0.950484,0.0122944,3561.98,0.000258781,0.0690409,11.916,8.87607,96.3421,71.6301,0.329551,10.8111,10.295,95.2494,122.095,1.09271,-50.4649 
1,46.05,0,1,3779.46,-0.00392948,7.6574,10.7793,95.7394,-0.00120959,-0.722377,179.799,1.61007,1.38972,4.73741,0.382798,1.11426,-0.269209,31.086,17.0742,3709.9,2687.02,1.61177,1.39142,4.7408,0.384493,1.11595,0.487172,31.4636,17.1022,3710.28,0.00954452,0.512499,0.00841953,3296.51,0.000244738,-0.00475264,-0.0807218,18.2914,110.517,59.6202,0.443128,10.1884,9.6105,95.1236,122.789,15.3939,-63.1692 
2,45.9,3,2,4956.96,0.0178029,9.01406,11.721,95.7812,-0.0582578,16.0346,11.7106,-0.842375,2.03252,-1.50543,-0.784106,2.59015,-42.134,703.36,32.5105,4179.23,3469.79,-0.577069,2.29783,-0.974816,-0.518799,2.85546,1.31623,762.457,36.8881,4238.32,0.16973,0.921943,0.0157797,4492.18,0.000422867,0.0819663,10.5367,8.68454,96.129,72.7525,0.42044,11.1004,10.3251,95.2701,123.87,0.858901,-51.1174 
3,45.9,0,3,3619.88,-0.00256101,7.25106,10.8839,95.5066,0.000704996,-7.30948,211.525,2.6846,1.34448,2.46382,1.74332,-0.00384083,-27.5803,-21.3732,13.4208,3611.15,2569.26,2.85826,1.51814,2.81116,1.91699,0.169825,0.69689,17.3109,16.2863,3649.83,0.00536081,0.377869,0.00815284,3229.16,0.0001048,0.00725683,7.56576,8.54749,114.36,55.2116,0.423986,10.4447,9.62846,94.9613,122.742,19.3986,-67.5307 
4,46.05,3,4,3726.35,-0.0146546,6.87548,12.0162,95.9548,-0.158911,-142.747,0.0262202,-0.432607,0.558342,2.49561,0.507559,0.718004,-29.4675,718.283,27.0775,3012.47,3427.91,-0.247058,0.743891,2.86671,0.693107,0.903553,0.422058,759.614,30.1391,3053.8,0.220372,0.935074,0.0178558,3446.96,0.000253265,0.0729876,11.3892,9.00554,96.1884,71.7966,0.312873,11.0076,10.2063,95.3608,121.736,0.827539,-49.9395 
5,46.05,0,5,3759.61,-0.0114989,7.73934,10.7203,95.2998,0.0286721,7.8792,1.94128,0.854024,0.204914,-0.549866,0.0114392,2.83086,-35.1667,21.2799,24.1749,3773.59,2708.25,1.07546,0.426349,-0.106996,0.232874,3.0523,1.02286,70.6045,27.8286,3822.91,0.0205558,0.591801,0.013232,3434.77,0.000107575,0.00640371,10.1754,8.79036,115.457,53.5817,0.456502,10.1991,9.49643,94.8475,122.743,20.6093,-69.1618 
6,45.9,3,6,4666.16,-0.00909333,8.49062,12.0589,95.4925,0.00930752,-8.32873,315.669,0.375736,0.337788,1.20077,0.254604,0.145761,-23.8449,627.407,28.4012,4034.54,3335.56,0.525881,0.487933,1.50106,0.404749,0.295906,0.533184,660.851,30.8786,4067.98,0.155836,0.924411,0.0137899,4240.68,0.000231012,0.0743147,11.2171,8.47989,95.8007,71.8498,0.394435,11.5101,10.4298,94.9973,122.603,0.803318,-50.7534 
7,45.9,0,7,3809.25,0.015781,7.58566,10.6718,95.6219,-0.0371471,-31.1335,131.103,-0.132563,0.508387,1.80206,1.71286,0.438057,-35.3777,24.4319,19.9997,3719.6,2672.93,0.0902015,0.731151,2.24759,1.93562,0.660821,0.603277,74.0526,23.6753,3769.22,0.0218382,0.641235,0.0114383,3390.97,0.000195001,0.00881832,7.18811,-9.32668,111.161,57.6014,0.437731,10.3502,9.65838,95.1249,122.705,16.0357,-65.1034 
8,46.05,3,8,3909.82,0.00539775,7.37635,11.4305,95.6702,0.00407933,9.85847,130.67,0.975236,1.0232,-0.151281,1.91677,-1.17742,-36.4172,653.916,21.9649,3225.78,2746.04,1.20455,1.25251,0.307338,2.14608,-0.948109,0.922436,704.994,25.7485,3276.85,0.196452,0.939925,0.0142682,3588.63,0.00023499,0.0758722,10.8497,8.96719,96.6225,71.9301,0.335054,10.8746,10.353,95.0909,122.556,1.5316,-50.6261 
9,46.05,0,9,3714.86,0.0103349,7.69703,10.1462,95.763,-0.0382285,-16.5665,413.798,-0.28168,-0.310497,1.91704,-0.275855,2.64017,-38.1202,30.9316,12.3658,3607.14,2562.9,-0.0416469,-0.0704639,2.39711,-0.0358222,2.8802,0.532671,84.399,16.3263,3660.6,0.0255311,0.747092,0.00814886,3305.73,0.000217697,0.00807308,9.73757,8.8039,113.871,55.5942,0.457359,9.89886,9.32758,95.3298,122.74,18.5411,-67.1457 
10,45.9,3,10,4359.01,-0.00509658,7.88469,12.0814,95.6808,0.0157536,-10.3846,0.0412376,1.29955,1.14737,-1.27781,1.94628,1.04498,-56.769,624.021,22.7773,3731.16,3106.29,1.65701,1.50483,-0.562895,2.30374,1.40244,1.08928,703.645,28.6754,3810.79,0.173434,0.93343,0.013672,4057.14,0.000221137,0.0752718,10.7149,8.76995,95.9891,71.4951,0.37039,11.5798,10.189,95.0386,121.817,0.950544,-50.3222 
11,45.9,0,11,3830.22,0.0236536,7.46457,10.7864,95.4666,-0.0182374,-11.3419,465.769,-0.430996,0.502514,-1.19888,0.352659,0.881912,-26.8647,78.0402,20.2091,3673.6,2627.79,-0.261837,0.671673,-0.86056,0.521819,1.05107,1.76687,115.72,23.0002,3711.28,0.0342202,0.741936,0.0112874,3381.65,0.00034477,0.0107913,0.125025,12.9587,112.087,50.9046,0.453852,10.1022,9.32756,94.9867,123.099,17.0999,-72.1946 
12,46.05,3,12,3592.51,-0.00659064,6.85267,11.4966,95.9628,0.00466361,7.12087,121.111,0.600149,0.302361,1.08463,-0.556131,-0.908408,-31.8229,644.159,24.0542,2984.15,2565.7,0.800529,0.502742,1.48539,-0.35575,-0.708027,0.138846,688.794,27.3605,3028.79,0.205357,0.935004,0.0163682,3354.13,0.000188255,0.0697355,10.9118,9.40568,96.0798,72.397,0.319696,10.8784,9.95369,95.2642,122.488,0.815614,-50.0906 
13,46.05,0,13,3915.15,-0.00532986,8.02431,10.4863,95.6554,-0.00496533,14.1635,3.87103e-10,1.79134,-0.103019,2.03753,2.28513,-0.647579,-20.1869,28.4733,14.3722,3839.73,2741.49,1.91845,0.0240926,2.29176,2.41224,-0.520467,0.625902,56.7874,16.4695,3868.05,0.0164094,0.663334,0.00778234,3460.67,0.000362647,-0.00436496,7.65986,24.5714,114.84,92.972,0.461952,9.96063,9.66358,95.265,123.839,19.5755,-30.8666 
14,45.9,3,14,4898.33,0.00777602,8.67462,12.0508,95.6392,0.00887157,-2.423,7.62797e-12,4.009,1.95493,1.89411,-0.357827,0.179357,-59.3866,683.482,24.1498,4099.6,3403.71,4.38294,2.32887,2.64199,0.0161147,0.553299,0.733756,766.778,30.3199,4182.9,0.172398,0.93528,0.0131766,4447.73,0.000426012,0.075062,10.1873,9.03478,96.1472,72.0353,0.397635,11.5755,10.4335,95.055,123.07,1.09225,-51.0344 
15,45.9,0,15,4165.37,0.0489671,7.68527,11.0504,95.3299,0.0386553,-51.5684,66.3922,2.05577,0.581383,3.62767,1.08088,0.495433,-58.102,50.234,24.7101,3859.06,2829.49,2.42163,0.947237,4.35938,1.44673,0.861286,0.565637,131.728,30.7466,3940.55,0.036597,0.709991,0.0141696,3599.41,0.000463623,0.00698401,12.0949,10.5222,113.722,57.2159,0.454195,10.3102,9.52647,94.8948,123.217,18.8274,-66.001 
16,46.05,3,16,3617.1,0.00768023,6.76885,11.4787,95.6387,-0.0203629,8.267,124.285,0.337678,1.50908,1.39136,1.08422,-0.188305,-36.0356,628.236,27.445,2984.07,2534.8,0.564584,1.73599,1.84517,1.31113,0.0386014,0.664238,678.78,31.189,3034.62,0.202667,0.925575,0.0185809,3349.24,0.000211646,0.0694862,10.96,9.55389,95.9837,72.9858,0.307066,10.9764,10.2417,94.9674,123.563,1.01634,-50.5771 
17,46.05,0,17,3962.32,0.0215381,7.81285,10.7035,95.6073,-0.0825301,95.1978,279.363,0.148467,1.0452,1.20887,-0.315323,0.469766,-29.2401,46.747,16.6645,3827.64,2978.04,0.332584,1.22932,1.5771,-0.131205,0.653883,0.569295,87.7591,19.7024,3868.65,0.0251302,0.717934,0.00929435,3492.17,0.000290043,0.00592779,9.89705,10.0677,116.899,55.6694,0.466553,10.2156,9.33595,95.1992,122.007,21.7001,-66.3373 
18,45.9,3,18,4892.85,0.0155872,8.78731,11.8936,95.3123,-0.001765,-9.34096,130.572,1.03856,-0.285476,1.75096,-0.150584,2.32401,-57.857,689.605,20.0417,4140.57,3402.76,1.40287,0.0788337,2.47958,0.213727,2.68832,0.638721,770.755,26.0528,4221.72,0.171819,0.944151,0.0112401,4485.87,0.000330211,0.0779206,11.2872,8.57006,96.0976,71.8019,0.405866,11.4039,10.473,94.8252,122.627,1.27237,-50.8254 
