cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,0,9887.04,-0.0428654,16.9577,12.9512,114.478,-0.0326631,10.0353,494.139,1.43592,-0.447968,-1.48903,0.748045,-1.256,-222.377,1436.42,33.16,8490.76,7160.11,2.83616,0.952278,1.31146,2.14829,0.144245,0.822594,1613.56,49.2628,8667.89,0.141437,0.949281,0.0103609,11408.3,-0.000120254,0.125774,12.9425,10.9344,113.759,90.2138,0.70564,12.8002,11.6289,113.769,139.435,-0.00985163,-49.2208 
1,97,43.248,4.5,48.55,-0.2,0.19,0.01,1,17082.4,-0.0103743,31.1673,11.9952,114.375,-0.0171819,21.9674,7.48106,-1.3554,-0.52191,1.00537,0.851643,-0.371813,-140.154,9031.85,26.915,8007.71,12182.6,-0.472888,0.3606,2.77039,1.73415,0.510697,0.434955,9143.49,37.0639,8119.35,0.499144,0.992956,0.00833888,18318.4,-5.68642e-05,0.929521,12.1842,9.93534,113.995,89.1622,0.751444,11.7917,11.0162,113.522,139.048,0.473934,-49.886 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,20444.2,-0.0223568,37.1227,12.0791,114.365,0.0568254,-27.9365,500,0.547305,1.63614,-0.0414675,-0.0744796,0.941774,-165.851,11083.4,35.407,9231.35,14648.9,1.59163,2.68046,2.04718,0.969843,1.9861,0.779285,11215.5,47.4167,9363.45,0.514562,0.992656,0.00924224,21796.2,2.08027e-05,1.13786,12.1539,9.93237,113.943,88.8542,0.864775,11.9803,10.8971,113.733,138.717,0.20994,-49.8625 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,9396.98,-0.0870868,17.3629,12.3247,114.48,0.00796327,51.2318,459.44,-0.903381,-0.764005,-1.50707,0.702268,0.495922,-270.389,127.09,33.9856,9499.7,6979.44,0.799186,0.938563,1.89807,2.40484,2.19849,0.769628,342.465,53.5651,9715.08,0.0302518,0.785103,0.0100545,11320.5,-0.000342853,0.0185721,-16.109,12.4776,120.554,107.002,0.887641,12.0169,10.8925,113.759,139.459,6.79492,-32.4573 
4,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,4,9455.04,-0.0283046,17.2075,12.5354,114.373,0.0206483,10.122,499.994,-3.16628,-0.805944,0.839844,-0.898725,-1.34978,-250.581,1262.73,27.2643,8535.97,7028.66,-1.58844,0.771896,3.99553,0.679115,0.228064,0.0221817,1462.33,45.4094,8735.56,0.129027,0.948458,0.00948486,11333.5,-0.000408759,0.106952,13.3841,11.1217,113.992,90.681,0.739226,12.4533,11.4739,113.686,139.289,0.306319,-48.6083 
5,97,43.248,4.5,48.55,-0.2,0.19,0.01,5,16943,-0.020261,31.3678,11.8047,114.424,0.00669066,-26.1509,498.983,-0.362388,1.74683,0.739902,1.65633,0.817361,-145.574,9085.21,-1.58345,7819.42,12059.7,0.554255,2.66347,2.57319,2.57297,1.734,0.745176,9201.16,8.95795,7935.37,0.506445,0.998299,0.00207517,18168.1,-0.000138134,0.970865,12.0171,9.70976,113.873,89.5468,0.763448,11.8305,10.659,113.78,139.327,0.0927249,-49.7805 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,18390.5,0.0199591,33.7169,11.9027,114.35,0.0535277,30.7625,3.35112e-12,3.56441,1.13635,1.54106,1.69506,-0.00129515,-86.0992,9587.19,17.4395,8725.46,13118,4.10656,1.6785,2.62535,2.2372,0.540849,0.765352,9655.77,23.6741,8794.04,0.492816,0.995728,0.0049346,19593,-9.64796e-05,1.01103,12.1573,9.73707,113.895,89.2779,0.838226,11.8227,10.8003,113.722,139.335,0.172522,-50.057 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,9612.05,-0.109184,18.1903,12.1234,114.121,-0.0992111,34.1224,493.169,-1.69145,-0.278382,-1.19052,2.26483,-0.26548,-242.177,63.3654,23.4446,9910.7,7289.08,-0.166524,1.24654,1.85932,3.78975,1.25944,0.767251,256.268,40.9812,10103.6,0.0219533,0.78134,0.00741634,11673.3,-0.000495669,0.0171673,-14.7328,-10.8309,120.067,105.861,0.920088,11.9974,11.0466,113.487,138.988,6.58032,-33.1268 
8,75,47.3227,3.2,46.05,0.2,-0.19,-0.01,8,10103.8,-0.0572203,17.8269,12.8512,114.521,-0.000706536,-7.34495,499.897,1.50894,0.441221,0.589734,-0.414997,1.43759,-226.875,1393.55,26.2607,8924.77,7458.06,2.9375,1.86979,3.44687,1.01357,2.86616,0.71593,1574.26,42.6892,9105.48,0.132698,0.954695,0.0085624,11863.5,-0.000314375,0.110832,13.5746,11.8885,114.4,90.6624,0.760717,12.6143,11.4946,113.825,139.401,0.575211,-48.7381 
9,97,43.248,4.5,48.55,-0.2,0.19,0.01,9,18073,-0.0395383,32.6951,12.0677,114.342,0.0556127,-52.2567,1.05698e-10,-1.30263,0.203261,1.76824,2.29546,-1.93433,-151.191,9481.37,28.3385,8448.35,12938.6,-0.350627,1.15527,3.67225,3.24747,-0.982318,0.455321,9601.8,39.2866,8568.78,0.497902,0.992891,0.00837505,19284.5,3.52689e-05,0.971166,12.0951,10.0111,114.017,89.3472,0.770824,12.0628,11.1205,113.582,139.325,0.434423,-49.978 
