cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
11,201,2.677,42.89,10,11,19422.1,0.00710557,29.8041,14.6355,115.67,0.0172953,-62.0147,0.00134013,-3.474,-1.04084,0.896145,-2.20713,-0.189069,-19.5721,9166.68,99.8935,9555.93,14234.7,-3.35076,-0.917598,1.14263,-2.08389,-0.0658283,1.21659,9182.27,101.311,9571.52,0.459157,0.981057,0.0191251,19998.1,-0.000485958,0.610662,15.1281,12.8023,115.044,91.4414,0.598967,14.8223,14.2482,115.044,142.476,6.09473e-05,-51.0344,370.383,396.054,766.437 
12,201,2.677,42.97,10,12,12407.1,-0.167732,19.8211,14.5562,115.69,0.0664314,13.6582,56.43,-2.24724,-1.14649,-3.95229,-4.24293,-3.14873,8.52212,5426.78,60.44,6870.61,9421.85,-2.3009,-1.20015,-4.05961,-4.29659,-3.20239,0.730431,5419.99,59.8229,6863.83,0.41135,0.98105,0.0158015,13176.1,-0.000609034,0.381311,14.9374,-12.3483,115.124,92.3751,0.427781,14.6649,14.3737,115.065,143.52,0.0592278,-51.1448,220.203,281.77,501.974 
13,201,2.677,42.87,10,13,19167.3,-0.0688882,29.2695,14.6968,115.804,0.0473176,59.9507,5.38677e-12,-3.37533,1.10912,-2.79611,-2.36803,-1.40526,10.103,8738.43,94.7203,9526.1,14095.8,-3.43894,1.0455,-2.92335,-2.43164,-1.46888,0.682842,8730.38,93.9887,9518.05,0.448039,0.981508,0.0178654,19485.8,-0.000241035,0.601713,15.0292,-12.3895,115.198,92.5805,0.590737,14.7515,14.4822,115.316,143.767,-0.117829,-51.1862,350.661,394.731,745.392 
14,201,2.677,42.91,10,14,19478.6,-0.0542287,29.4275,14.9078,115.729,0.302596,-728.142,0.000492021,-4.9573,-1.1389,-3.07873,-2.28277,-1.41865,-22.2254,9176.25,110.905,9367.79,21453.7,-4.81735,-0.99895,-2.79883,-2.14283,-1.2787,0.767475,9193.96,112.514,9385.49,0.464351,0.979033,0.0216062,19799.6,-0.000377605,0.602119,15.3885,12.7982,115.071,91.6027,0.568748,14.9463,14.7481,115.126,142.745,-0.0549448,-51.1427,371.873,393.286,765.159 
15,201,2.677,42.99,10,15,14624.5,-0.15579,23.1344,14.495,115.55,0.0111734,-31.2159,0.0285084,-0.630316,1.38093,2.00202,-1.70568,-2.71175,20.7613,6488.08,94.9475,7810.83,10927.6,-0.761044,1.2502,1.74056,-1.83641,-2.84248,1.71068,6471.55,93.4441,7794.29,0.423556,0.975354,0.0216074,15279.1,-0.000440493,0.442379,14.8284,12.6749,114.954,91.0565,0.478424,14.7068,14.5245,115.129,142.184,-0.175247,-51.1272,260.699,319.848,580.547 
16,201,2.677,42,0,16,22439.1,-0.20389,33.9004,15.0623,115.505,0.000677144,-25.0539,290.279,2.8672,1.88509,1.96315,-4.41585,-2.47449,-37.7082,10768.4,138.563,10587.6,16622.9,3.10463,2.12253,2.43803,-4.17841,-2.23705,-0.950849,10798.5,141.293,10617.6,0.473693,0.977615,0.0239271,22796.4,-0.000531661,0.697747,15.39,13.0243,114.736,91.6632,0.627849,15.2628,14.872,115.04,142.761,-0.304316,-51.0977,439.117,448.006,887.123 
17,201,2.677,43.03,10,17,18788,-0.0991842,28.8748,14.5227,115.801,-0.0172689,111.142,486.088,-0.895265,0.592909,-2.25927,0.921073,3.14725,-85.7262,8564.88,87.4199,9509.56,13713.4,-0.355469,1.1327,-1.17968,1.46087,3.68705,1.24859,8633.17,93.6276,9577.85,0.443725,0.981375,0.0176888,19456.1,-0.000227274,0.590646,14.7847,12.5514,115.209,91.392,0.591445,14.7502,14.1905,115.23,142.479,-0.0205696,-51.0874,342.982,387.093,730.075 
18,201,2.677,42.93,10,18,16522.9,-0.0226293,25.4442,14.6219,115.733,-0.00721465,63.2663,0.00201276,0.523699,-2.53045,-2.24836,-0.300271,-0.473213,-38.8867,7580.72,95.7753,8488.5,12126.1,0.768558,-2.28559,-1.75864,-0.0554117,-0.228354,0.505922,7611.69,98.5912,8519.48,0.441547,0.977835,0.0208727,17238.7,-0.000485645,0.49455,15.225,13.0303,115.192,92.126,0.522812,14.6357,14.5222,115.017,143.186,0.174754,-51.0596,307.945,348.418,656.364 
19,201,2.677,43.01,10,19,20348,-0.144287,30.5797,15.169,115.492,0.215954,-58.4154,500,-4.24685,1.07715,-2.02136,-2.30878,-0.11092,-37.3736,9482.37,132.884,9887.59,15511,-4.01151,1.31248,-1.5507,-2.07345,0.124412,0.749838,9512.14,135.59,9917.36,0.459108,0.975662,0.0245666,20718.8,-0.000539025,0.606825,15.3246,13.2408,114.798,92.1973,0.568984,15.3952,15.2653,114.936,143.375,-0.138059,-51.1781,387.845,421.449,809.294 
20,201,2.677,43.09,10,20,19299,-0.162159,29.6585,14.844,115.523,0.297933,-242.447,500,0.34984,-1.30303,0.114176,0.149555,0.208907,-38.6918,9066,100.785,9371.86,16683,0.593472,-1.0594,0.601439,0.393187,0.452539,0.387059,9096.82,103.587,9402.68,0.461256,0.980462,0.0198904,19721.8,-0.000452806,0.599106,15.1799,12.9145,114.878,91.7678,0.572542,14.918,14.6756,114.982,142.873,-0.103763,-51.1051,368.448,393.274,761.722 
21,201,2.677,42.85,10,21,20461.6,-0.138968,30.8317,14.9267,115.761,0.0800762,-38.8815,55.3064,-0.236474,-1.53678,-1.21768,0.478743,2.38317,-34.5447,9432.48,104.897,9892.55,15082.9,-0.0189552,-1.31927,-0.782643,0.696262,2.60069,1.66546,9460,107.399,9920.06,0.457675,0.980519,0.0195534,20669.7,-0.000241356,0.623937,15.2679,12.7788,115.242,91.8578,0.599114,14.9486,14.7808,115.184,143.092,0.0577964,-51.2344,381.77,415.119,796.889 
22,201,2.677,43.07,10,22,21650.8,-0.147865,32.7812,14.9854,115.935,0.147447,5.83842,3.54037e-07,-1.63403,-1.18672,-2.67364,-2.07519,-1.91562,-29.0225,9987.37,114.994,10650,16019.4,-1.45128,-1.00397,-2.30814,-1.89244,-1.73287,0.724851,10010.5,117.096,10673.1,0.453557,0.97994,0.0198096,22071.1,-0.000435559,0.649193,15.3517,12.958,115.408,91.7529,0.64076,15.0052,14.7936,115.231,142.794,0.177621,-51.0413,405.555,446.552,852.107 
23,201,2.677,43.05,10,23,21548.7,-0.0993583,32.0843,15.2066,115.612,0.0651611,54.8751,2.16079,-4.05568,-2.79487,2.57228,-0.478452,2.67845,-42.2198,9953.91,123.913,10462.9,15998.9,-3.78984,-2.52902,3.10398,-0.212605,2.9443,7.424,9987.54,126.97,10496.5,0.457125,0.978237,0.0217972,21848.6,-0.000319924,0.633338,15.6228,13.0169,115.006,92.0169,0.621101,15.2506,14.7512,115.032,143.104,-0.0254492,-51.0867,404.414,438.693,843.107 
24,201,2.677,43.13,10,24,20163,-0.128331,30.1716,14.9983,115.852,-0.00555046,121.334,499.854,-2.83943,-0.928051,-0.536217,-1.46834,-1.41702,-44.4936,9289.26,113.075,9613.64,14753.1,-2.55926,-0.647887,0.0241118,-1.18817,-1.13686,1.00438,9324.7,116.297,9649.09,0.460976,0.97864,0.02172,20228.2,-9.15958e-05,0.613174,15.3047,12.732,115.263,91.8878,0.584152,14.9991,14.7102,115.302,143.029,-0.0390867,-51.1412,374.598,404.089,778.687 
25,201,2.677,42.95,10,25,15409.8,-0.149783,23.3956,-15.0332,115.492,-0.0411659,36.199,452.165,2.12146,-1.98195,-1.23481,-3.52637,-3.75677,-81.1067,6859.35,89.6272,7935.43,11497.8,2.63217,-1.47124,-0.213393,-3.01566,-3.24606,0.959845,6923.96,95.5003,8000.04,0.433723,0.976432,0.0215169,15964,-0.000388985,0.433541,15.4584,-13.2663,115.028,92.3767,0.464977,14.9662,15.1372,114.731,143.804,0.297045,-51.4275,280.011,331.194,611.205 
26,201,2.677,43.11,10,26,20071.6,-0.137767,29.8497,15.1294,115.469,0.106284,-4.4894,209.892,1.52434,-1.85735,-5.82476,-1.57915,1.13687,-19.542,9394.45,108.907,9475.79,14716.9,1.64739,-1.7343,-5.57866,-1.4561,1.25992,0.0482936,9410.02,110.322,9491.36,0.46734,0.979896,0.0209627,20135.3,-0.000166028,0.619393,15.2379,12.8198,114.946,91.5384,0.562829,15.203,14.8758,114.777,142.773,0.169546,-51.2344,379.55,399.518,779.068 
27,201,2.677,42.89,10,27,19369.9,-0.140289,29.0336,15.0396,115.704,-0.0505091,-905.441,162.513,0.255958,0.214155,0.580705,-2.73447,-3.70026,-51.0761,9075.62,93.1592,9202.43,15703.2,0.57757,0.535767,1.22393,-2.41285,-3.37865,1.35433,9116.3,96.8577,9243.12,0.466044,0.981746,0.0189377,19561,-0.000131164,0.620045,15.1494,12.429,115.149,91.69,0.57242,15.1457,14.1239,115.01,142.803,0.138825,-51.1131,364.997,382.791,747.788 
28,201,2.677,42.97,10,28,15905.1,-0.147333,24.3224,14.8913,115.607,-0.0362998,83.0577,91.7378,0.68126,1.44226,-0.632642,-1.47346,-1.7724,-64.5675,6925.05,82.35,8305.23,11888.6,1.08782,1.84882,0.180487,-1.0669,-1.36584,0.736283,6976.48,87.0255,8356.66,0.42489,0.978637,0.0188224,16419.5,-0.000307645,0.454074,15.3288,-12.9137,114.883,91.8611,0.497357,14.9235,14.7265,115.18,143.261,-0.297039,-51.4002,282.149,342.465,624.614 
