cyc,wait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
88,60.01,2.5,88,2374.09,-0.108846,7.60653,9.84105,90.8525,0.296182,-143.722,498.513,-1.09137,1.36946,0.654106,0.112971,1.85337,-42.3747,1041.33,10.7864,2683.02,3822.55,-0.824545,1.63629,1.18775,0.379793,2.12019,0.736025,1097.47,11.887,2739.16,0.312854,0.981398,0.00793072,3507.92,645.589,1901.24,11810,-0.00111931,0.138577,9.52118,8.46339,91.3775,68.8638,0.348584,9.62346,9.33636,90.2701,119.149,1.10735,-50.2848 
89,20.01,2.5,89,2754.99,-0.23035,8.58696,10.0111,91.3355,0.283743,-87.2368,80.5121,-0.487032,-0.415288,-1.68115,0.841042,-0.0250665,-27.461,1258.84,7.10407,2836.86,3604.23,-0.314117,-0.242373,-1.33532,1.01396,0.147848,-0.829191,1295.22,7.81734,2873.24,0.338738,0.989548,0.00498691,3823.67,694.221,2700.43,12360.5,-0.00103633,0.171008,9.11764,8.66296,91.9829,67.8994,0.34989,9.66582,9.65538,90.6298,117.91,1.35311,-50.0103 
90,10.01,2.5,90,3429.46,-0.227056,10.206,9.82187,90.6472,0.54353,-2.64049,124.169,0.54889,-2.07856,-2.61307,0.480748,-0.36959,-41.6061,1405.53,13.9905,3442.68,3309.92,0.810872,-1.81658,-2.08911,0.742731,-0.107608,0.150663,1460.65,15.0712,3497.79,0.32182,0.982263,0.00787472,4538.7,955.481,3207.53,18542.5,-0.000996543,0.186144,9.08767,8.73109,91.1482,68.3694,0.439761,9.40149,9.47692,90.2242,118.373,0.924094,-50.0039 
91,70.01,2.5,91,2388.4,-0.105049,7.98244,9.27985,90.6303,-1.11625,908.679,1.94864,0.0950826,-0.202539,0.382942,-0.0966506,0.0486066,-59.6613,1053.56,8.23186,2683.9,35430.7,0.470754,0.173132,1.13428,0.279021,0.424278,0.542898,1132.59,9.78151,2762.93,0.31779,0.985111,0.00647929,3563.97,649.918,2024.13,11768.9,-0.00113215,0.145441,8.94295,8.76757,91.4019,69.3709,0.346295,9.76782,9.2864,90.392,119.531,1.00982,-50.1603 
92,100.01,2.5,92,1925.37,-0.215744,-6.58739,10.0628,91.0672,-0.506474,-201.787,214.934,0.855196,1.21572,0.878653,0.319319,2.00964,-36.6269,798.769,8.55693,2401.16,5484.82,1.08583,1.44635,1.33991,0.549948,2.24027,0.798881,847.287,9.50828,2449.68,0.282147,0.98074,0.00709927,3003,489.168,1210.35,8655.94,-0.00104483,0.10699,9.40575,8.54414,91.2243,68.3506,0.289758,9.70729,9.77611,90.5121,119.012,0.7122,-50.6611 
93,30.01,2.5,93,2825.38,-0.200594,8.05794,10.4393,91.0881,0.377513,22.3975,295.527,0.271344,0.0942618,0.390837,0.530312,-1.18827,-9.13142,1192.54,3.91557,2910.85,3013.61,0.328842,0.15176,0.505833,0.58781,-1.13077,-0.140611,1204.64,4.15275,2922.94,0.318955,0.994003,0.00261032,3776.83,695.76,2261.43,12878.5,-0.000926894,0.148937,9.73129,8.69227,91.501,68.525,0.358932,9.87436,9.34385,90.5294,118.859,0.971525,-50.3338 
94,0.01,2.5,94,3083.11,-0.259865,9.13419,10.558,90.2832,0.341303,-97.3464,4.94213,-1.1513,2.46435,-3.48703,0.819301,0.872293,-10.5435,1350.05,9.96374,3127.59,4220.98,-1.08491,2.53074,-3.35425,0.88569,0.938683,-38.9058,1364.02,10.2376,3141.56,0.330384,0.987036,0.00596716,4128.59,820.511,2885.73,15179,-0.00108979,0.168323,9.81261,8.84334,90.8212,68.2381,0.387273,9.87815,9.46686,89.6047,118.174,1.21651,-49.936 
95,50.01,2.5,95,2806.93,-0.213797,8.43394,10.1039,91.1909,0.769868,130.658,119.07,1.23914,0.561419,0.563202,1.7383,1.53303,-12.9256,1123.25,10.3281,3024.53,6048.56,1.32053,0.642808,0.72598,1.81969,1.61442,0.881442,1140.37,10.6638,3041.65,0.298759,0.983899,0.00641685,3817.03,717.932,2068.62,13677.8,-0.00103002,0.145244,9.22303,8.76591,91.6073,69.2746,0.362404,9.85219,9.79695,90.6078,119.538,0.999527,-50.2631 
96,80.01,2.5,96,1944.5,-0.214892,-6.63531,10.0382,90.9809,-0.15174,-137.948,491.219,-1.01613,0.00159111,0.556225,-0.201381,-0.457594,-64.012,820.274,11.9694,2403,2849.68,-0.613063,0.404657,1.36236,0.201686,-0.0545282,-0.0470742,905.069,13.6321,2487.79,0.292493,0.974319,0.0099931,3094.33,514.485,1248.97,9128,-0.00103707,0.108059,9.51818,8.49517,91.5654,68.3475,0.305208,9.50766,9.47692,90.287,118.2,1.27836,-49.8528 
97,90.01,2.5,97,2306.24,-0.198944,7.06083,10.2899,91.5412,-1.58445,-351.745,9.9485,0.452183,0.844557,2.05639,1.15308,0.904027,-7.89813,894.378,9.29376,2604.38,20507.9,0.501916,0.894289,2.15586,1.20281,0.95376,0.622351,904.84,9.49891,2614.84,0.282242,0.98196,0.00664731,3205.9,555.798,1440.73,10253.7,-0.000956032,0.115116,9.89559,8.62161,91.9361,68.1078,0.316307,9.79673,9.64253,90.8367,118.208,1.09938,-50.1005 
98,40.01,2.5,98,2445.73,-0.245416,7.89828,10.2498,90.9266,0.690057,-264.695,120.004,0.489029,0.0150323,1.7553,0.440022,0.633477,11.1217,1112.47,7.06858,2700.31,8581.38,0.418999,-0.054998,1.61524,0.369992,0.563447,0.445445,1097.73,6.7797,2685.58,0.317168,0.989307,0.00462884,3461.04,642.62,1986.67,11596.8,-0.00108618,0.13828,9.9039,8.65567,91.471,68.2669,0.344547,9.55224,9.45365,90.2686,118.346,1.2024,-50.0792 
99,60.01,2.5,99,2542.96,-0.00637308,8.05521,9.40662,91.2326,-0.0500275,8.95526,499.652,-0.137629,1.16178,1.70839,1.03676,0.14496,-31.4521,1051.05,12.3452,2810.22,2481.22,0.0604163,1.35983,2.10448,1.23481,0.343006,0.587562,1092.71,13.1621,2851.89,0.303331,0.979356,0.00843006,3602.37,669.002,1987.29,12357.4,-0.00106643,0.142417,9.21854,8.81432,92.0842,68.2658,0.352745,9.6192,9.53432,90.5976,118.469,1.48662,-50.2035 
100,20.01,2.5,100,2864.14,-0.237758,9.13671,9.75819,91.6609,2.12072,-1320.38,8.10682,0.10515,-0.429864,1.83614,-1.32501,-0.296388,-1.09802,1306.69,9.90008,2992.84,94056.9,0.112064,-0.42295,1.84996,-1.3181,-0.289475,28.0097,1308.14,9.9286,2994.3,0.331752,0.986892,0.00607103,3943.12,813.125,2846.24,15005.9,-0.00114533,0.173894,9.17257,8.66755,92.4704,68.0743,0.395833,9.48021,9.32107,91.0271,118.166,1.44332,-50.0919 
