cyc,detuning (MHz),freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
65,-4.06,43.1627,65,10123.6,-0.0398656,27.8363,8.84195,119.004,-0.00274903,-0.0992368,500,-3.14437,0.524583,-2.57336,-6.76025,-5.37767,-456.419,5578.19,-7.32554,6272.93,8012.27,-0.270417,3.39853,3.17454,-3.8863,-2.50372,37.3383,5941.74,25.7249,6636.49,0.512982,0.99248,0.00708989,11582.8 
66,-4.06,43.1627,66,10941.1,-0.27654,29.5426,9.10609,119.213,-0.0477495,18.3958,316.174,-2.42863,-7.54544,-3.8562,-1.733,-4.00315,-383.935,6077.8,3.74691,6578.8,8786.02,-0.0110936,-5.12791,0.978872,0.684535,-1.58562,1.19341,6383.61,31.5486,6884.61,0.521727,0.991425,0.00837074,12235.5 
67,-4.06,43.1627,67,10386.8,-0.300271,28.3252,9.17344,118.953,0.0572762,-25.0291,495.414,-1.98238,-5.29236,-6.95126,-2.73688,-3.49598,-430.534,5972.13,-2.9774,6236.79,8505.3,0.728572,-2.5814,-1.52934,-0.0259234,-0.785024,0.635273,6315.06,28.1986,6579.72,0.530329,0.992246,0.00783284,11907.8 
68,-4.06,43.1627,68,9790.98,-0.0186298,27.6377,8.82718,119.19,-0.0116082,11.524,500,-2.73554,-0.349528,-5.67029,-0.713677,-5.4445,-379.975,5910.31,7.75638,5865.16,7946.15,-0.342942,2.04307,-0.885087,1.67892,-3.0519,-0.586374,6212.97,35.2713,6167.83,0.542351,0.990163,0.0104244,11455.6 
69,-4.06,43.1627,69,10447.9,-0.369403,29.9695,8.97031,118.954,-0.00638571,29.7704,436.936,1.5499,-3.99587,-10.9498,-9.44704,-4.92645,-405.995,5758.3,0.857686,6719.22,8757.69,4.10634,-1.43943,-5.8369,-6.8906,-2.37001,0.530441,6081.69,30.2568,7042.61,0.503956,0.991369,0.00785199,12067.9 
70,-4.06,43.1627,70,10834.3,-0.260087,28.9358,9.16862,119.164,0.357538,103.053,443.018,-0.300127,0.102536,-4.43908,-3.14653,-3.50306,-377.395,6105.34,-5.94589,6388.56,9835.88,2.07623,2.47889,0.31363,-0.770175,-1.1267,0.894467,6405.95,21.3822,6689.17,0.529779,0.994193,0.0058539,12091.7 
71,-4.06,43.1627,71,9957.66,-0.312974,27.8912,9.02748,118.931,0.191973,-130.712,476.432,-2.41037,-1.59482,1.23954,-0.567582,-2.99249,-427.368,5624.83,0.826634,6179.65,9013.37,0.280655,1.0962,6.62159,2.12344,-0.301467,0.325733,5965.24,31.7734,6520.06,0.518388,0.990765,0.00889704,11507.3 
72,-4.06,43.1627,72,10731.5,-0.310509,29.7425,9.0213,119.281,-0.119209,637.99,259.721,-1.8648,-0.526012,-7.4228,-3.99514,-0.392573,-408.019,5855.01,-8.88716,6806.79,11210.4,0.70438,2.04317,-2.28443,-1.42596,2.17661,2.88209,6180.02,20.6585,7131.8,0.504819,0.994184,0.00530765,12242 
73,-4.06,43.1627,73,10112,-0.00694964,28.1156,8.84368,119.199,-0.00843594,-33.7659,500,-1.54851,-0.363141,-0.884183,-3.00113,-3.38652,-363.774,5641.39,-5.20518,6337.81,8103.51,0.742076,1.92745,3.697,-0.710541,-1.09593,0.189263,5931.15,21.1366,6627.57,0.512872,0.993802,0.00584052,11564.6 
74,-4.06,43.1627,74,10720.4,-0.0227476,29.105,-8.91638,119.083,0.00656969,13.9203,500,-2.61537,-4.62862,-0.800516,-4.73531,-1.55114,-391.208,5591.79,-4.11798,6832.74,8450.92,-0.152041,-2.16529,4.12614,-2.27198,0.912185,-8.18929,5903.4,24.2103,7144.35,0.492932,0.992874,0.00620368,11976.1 
75,-4.06,43.1627,75,10817.3,-0.275189,29.1983,9.11608,119.155,0.133727,-363.168,497.069,-2.36042,-2.71472,-4.75699,-6.60834,2.20514,-419.031,5968.45,3.56526,6527.07,10245.8,0.278106,-0.0761928,0.520058,-3.96982,4.84367,0.674112,6302.22,33.9083,6860.85,0.519388,0.990672,0.00902208,12133.9 
76,-4.06,43.1627,76,9853.39,-0.00857554,27.8468,8.78464,119.237,-0.00286372,19.3818,500,-0.595015,0.302589,-5.70115,-2.95038,-5.07631,-474.976,5600.11,-1.80892,6236.11,7965.12,2.39578,3.29339,0.280451,0.0404224,-2.08551,0.928539,5978.45,32.5853,6614.45,0.515351,0.990552,0.00899329,11600.7 
77,-4.06,43.1627,77,10077.9,-0.148977,28.1074,8.98685,119.117,0.0575201,234.396,0.0201301,-0.0712089,-3.96806,0.113507,-0.98092,-5.13165,-465.701,5585.9,-10.9996,6486.7,8661.77,2.86119,-1.03566,5.9783,1.95148,-2.19925,0.208807,5956.85,22.7229,6857.64,0.505424,0.993369,0.00606682,11785.8 
78,-4.06,43.1627,78,10224.8,-0.0259443,28.2945,8.87369,119.039,-0.00987434,-7.15801,499.464,-4.84701,-1.10297,2.56814,-2.1559,1.68967,-410.704,5706.62,-8.61785,6332.83,8175.67,-2.26092,1.48312,7.74033,0.430194,4.27576,0.336647,6033.76,21.1222,6659.97,0.515938,0.993911,0.00580834,11694.7 
79,-4.06,43.1627,79,10279.9,-0.312195,29.4487,8.78471,119.037,0.0549398,220.797,448.59,-1.78099,-0.878081,-6.35942,0.128285,-9.28754,-454.521,5650.16,-3.78565,6540.64,8816.37,1.08101,1.98391,-0.63543,2.99028,-6.42555,0.36822,6012.2,29.1273,6902.68,0.5061,0.991593,0.00771319,11879.5 
80,-4.06,43.1627,80,9391.78,-0.00629628,26.4743,8.92238,118.936,0.00142349,-17.7104,4.3428e-12,-4.13629,-2.07736,-7.14416,-2.47531,-3.38712,-327.69,5327.97,2.1282,6056.33,7690.37,-2.07291,-0.0139817,-3.0174,-0.411937,-1.32375,0.558858,5588.98,25.857,6317.35,0.510003,0.991969,0.00748336,10958.7 
81,-4.06,43.1627,81,10047.6,-0.29745,28.1941,8.93738,119.301,0.514213,923.91,62.9174,-1.80711,1.30991,-6.79237,-5.15284,-8.68074,-425.897,5738.78,0.395122,6111.64,23668.5,0.874647,3.99167,-1.42885,-2.47108,-5.99898,0.716081,6078.02,31.2354,6450.88,0.525723,0.991087,0.00884067,11561.3 
82,-4.06,43.1627,82,10238.3,-0.0230176,27.9055,8.99397,119.191,-0.000809882,4.14447,0.0498542,-3.31988,-1.02739,-3.06816,-1.16801,-3.29026,-453.877,5661.87,6.39043,6377.59,8170.39,-0.46193,1.83055,2.64773,1.68993,-0.432311,0.497963,6023.4,39.2568,6739.12,0.512558,0.988723,0.0106167,11751.6 
83,-4.06,43.1627,83,10228.3,-0.123062,27.9438,8.89298,119.183,0.0268461,125.424,2.44825e-07,-5.46877,-1.18247,-4.9603,-2.52384,-5.00558,-445.035,5568.58,-4.72161,6348.98,8199.24,-2.6665,1.6198,0.644239,0.278431,-2.20331,1.27681,5923.07,27.5045,6703.46,0.509686,0.991939,0.00750151,11621 
84,-4.06,43.1627,84,10229.2,-0.0291857,28.6306,8.80916,119.14,-0.00152585,-1.51754,500,-0.553124,-4.21985,-0.873734,-2.58406,0.0600944,-350.197,5827.7,-2.3557,6314.59,8210.41,1.65197,-2.01475,3.53646,-0.378961,2.26519,0.301083,6106.64,23.0029,6593.54,0.521438,0.993451,0.00638552,11711.2 
85,-4.06,43.1627,85,10432.7,-0.30355,28.9707,9.0104,118.857,0.102539,156.245,492.361,1.2853,-1.98415,-3.41866,-4.51806,-5.02623,-363.237,5894.06,-0.85349,6304.96,9019.17,3.5725,0.303052,1.15575,-2.23086,-2.73902,-17.8158,6183.39,25.4494,6594.29,0.524526,0.992849,0.00705906,11788.5 
86,-4.06,43.1627,86,8950.69,-0.0151579,25.4893,8.6843,119.234,0.0297198,12.8861,500,-0.763922,-2.25811,-0.427105,-7.11928,-4.43151,-445.989,5340.64,-6.02286,5404.8,7218.38,2.04435,0.550162,5.18944,-4.31101,-1.62323,-1.80553,5695.89,26.2723,5760.05,0.537757,0.991993,0.00833206,10591.9 
87,-3.88,43.3427,87,9806.43,-0.311052,28.0635,8.84725,119.092,-0.307902,702.108,261.924,-1.56343,-1.25561,-2.88532,-3.07974,-3.22191,-413.222,5751.74,-12.9157,5993.96,15119.9,1.03852,1.34635,2.31858,-0.477791,-0.619959,0.356967,6080.88,17.0068,6323.11,0.530825,0.99513,0.00493014,11455.5 
88,-3.87,43.3527,88,9934.54,-0.0202744,27.6287,8.92202,119.106,-0.0100677,11.8313,500,1.42529,-4.27651,-6.89768,-5.50297,-1.58937,-370.865,5786.13,1.05697,6054.54,8028.38,3.76053,-1.94128,-2.2272,-3.16773,0.745872,0.212949,6081.54,27.9122,6349.95,0.529797,0.992032,0.00803223,11479 
89,-3.86,43.3627,89,10009.5,-0.103236,27.6234,8.9545,119.158,0.0948155,33.8162,500,-1.07022,-3.34146,-2.68381,-7.00543,-2.45696,-424.499,5542.72,6.51569,6249.2,8156.55,1.60274,-0.668506,2.66211,-4.33247,0.215999,6.11814,5880.85,37.2547,6587.32,0.512266,0.989035,0.0103106,11480.1 
90,-3.85,43.3727,90,10079.5,-0.310304,27.9934,9.06922,119.304,0.416979,563.732,302.148,0.217629,-0.787277,-3.39145,-0.233758,-5.08185,-328.187,5583.38,4.61892,6329.82,15916.7,2.28413,1.27923,0.741559,1.83275,-3.01535,0.762497,5844.8,28.3837,6591.23,0.510581,0.991573,0.0078702,11447.3 
91,-3.84,43.3827,91,9423.56,-0.041183,27.271,8.76384,119.149,0.0136181,-15.6246,500,-1.38626,-3.89375,-7.78946,-5.25789,-6.34438,-414.988,5558.57,-0.691117,5874.24,7787.13,1.22681,-1.28069,-2.56333,-2.64482,-3.73131,0.714975,5889.12,29.3592,6204.79,0.527548,0.991351,0.00864095,11163.2 
92,-3.83,43.3927,92,9551.11,-0.355271,27.4138,9.03751,118.979,-0.143666,58.2422,263.277,-3.68594,-6.20981,-5.05187,-0.465344,-3.94884,-459.54,5496.85,-6.77323,6170.37,8337.56,-0.792346,-3.31621,0.735327,2.42826,-1.05524,1.36762,5862.89,26.5032,6536.41,0.51344,0.992151,0.00741381,11418.8 
93,-4.15,43.0727,93,10362.7,-0.264116,28.067,9.08698,119.293,-0.00294087,125.619,1.5692,0.176266,-1.09106,-4.82397,-3.74801,-6.45073,-350.562,5661.36,1.3164,6312.97,8314.56,2.38366,1.11634,-0.409175,-1.54061,-4.24333,0.848066,5940.6,26.7015,6592.21,0.514606,0.992196,0.00740612,11544 
94,-4.14,43.0827,94,10109.5,-0.153502,28.7817,8.95208,118.866,0.111504,23.347,0.219638,-5.43769,1.07436,-3.39375,0.361773,-2.52702,-426.905,5845.87,-5.34996,6345.55,8472.31,-2.74958,3.76246,1.98246,3.04988,0.161086,0.680574,6185.91,25.5633,6685.59,0.521197,0.99282,0.00699427,11868.7 
95,-4.13,43.0927,95,10573.7,-0.331981,29.2087,9.15221,118.661,-0.113046,468.916,494.974,-5.56947,-2.38945,-10.1459,-6.54856,-5.24638,-390.269,5826.35,10.9023,6637.65,10427.9,-3.11205,0.0679709,-5.23106,-4.09113,-2.78895,0.654835,6137.22,39.1627,6948.51,0.50959,0.988956,0.0102757,12043.5 
96,-4.12,43.1027,96,10318.8,-0.313054,29.1477,8.90773,119.087,-0.196623,306.814,419.044,-0.719617,-0.334327,-8.42874,-1.91934,-2.31232,-368.187,5881.41,-9.46548,6295.53,10416,1.59876,1.98405,-3.79199,0.399031,0.00605103,20.3566,6174.68,17.1958,6588.8,0.524382,0.99515,0.00478463,11775.2 
97,-4.11,43.1127,97,9050.88,0.0459994,26.1879,8.77308,119.024,-0.0532403,-2.46007,1.46987e-12,-0.19919,-4.09142,-3.95746,-2.46607,-3.42344,-389.543,5326.38,1.29273,5704.85,7483.34,2.25366,-1.63857,0.948239,-0.0132221,-0.970586,-0.636249,5636.67,29.5005,6015.13,0.524364,0.990924,0.0089535,10749.5 
98,-4.1,43.1227,98,9961.77,-0.357726,28.3775,9.05474,118.963,0.0677468,-223.434,190.374,-1.274,-3.59991,-10.0027,-3.7842,-2.57531,-423.62,5591.2,1.48503,6450.68,8857.38,1.39343,-0.932484,-4.66786,-1.11678,0.0921178,0.107753,5928.63,32.1604,6788.11,0.506785,0.990596,0.00865193,11698.5 
99,-3.88,43.3427,99,11220.5,-0.444088,30.73,9.15989,119.165,0.0967873,166.759,2.73639e-12,-4.5796,-0.95047,-5.64423,-2.67236,-3.86439,-438.585,6233.3,-6.68898,6852.49,9688.64,-1.81795,1.81118,-0.120931,0.0892925,-1.10274,0.894027,6582.65,25.07,7201.84,0.518147,0.993379,0.00637162,12704.2 
100,-3.87,43.3527,100,10834.6,-0.139667,29.294,-9.22216,118.983,0.07195,-53.055,499.999,-0.00257662,0.853878,-5.42341,-2.11222,-6.96448,-381.706,6115.69,1.23763,6566.98,8918.66,2.40092,3.25738,-0.616403,0.291283,-4.56098,1.79824,6419.73,28.8779,6871.03,0.523628,0.992189,0.00768261,12260.1 
101,-3.86,43.3627,101,10238.1,-0.0139586,28.4006,8.90639,119.213,0.00731703,-2.87407,5.23342e-06,-1.64578,-0.500205,-11.4164,-3.62563,-1.25886,-479.575,5585.85,4.28675,6506.65,8234.94,1.37398,2.51955,-5.3769,-0.605868,1.7609,-15.3761,5967.85,39.014,6888.65,0.504757,0.988689,0.0103251,11823.2 
102,-3.85,43.3727,102,10684.7,-0.0261413,29.8671,-8.85918,119.248,0.00504856,-0.268318,500,-3.34262,-4.50487,-6.04068,-1.4064,-8.33572,-445.063,6077.09,-3.50419,6558.81,8613.59,-0.540178,-1.70242,-0.435793,1.39604,-5.53327,0.93606,6431.6,28.7239,6913.32,0.522558,0.992245,0.00759556,12307.9 
103,-3.84,43.3827,103,10300.8,-0.0477722,29.2151,8.86711,118.832,0.0200076,15.652,1.54024e-11,-1.64061,-0.101397,-6.92943,-2.5425,-4.01455,-435.212,5976.82,3.29724,6357.95,8443.25,1.09981,2.63902,-1.44861,0.197911,-1.27413,2.19326,6323.49,34.812,6704.61,0.525975,0.990458,0.00947405,12022.4 
104,-3.83,43.3927,104,10678.6,-0.3272,29.4729,9.13411,119.277,0.405362,-394.59,461.573,0.585116,-3.8454,-4.08261,-9.49468,-3.25746,-398.201,5942.35,-0.885762,6617.54,13970.6,3.09248,-1.33803,0.932132,-6.98731,-0.750094,1.18455,6259.53,27.949,6934.72,0.515016,0.992247,0.00736952,12154 
105,-4.15,43.0727,105,10087.9,-0.0371883,27.9649,8.97911,119.09,-0.00679236,11.035,500,-2.56,-4.00916,-4.58122,-3.66835,-5.30076,-358.332,5901.98,-13.1567,6016.95,8176.57,-0.303682,-1.75284,-0.0685791,-1.41203,-3.04444,0.98958,6187.41,12.791,6302.37,0.535965,0.996395,0.00372473,11544.4 
106,-4.14,43.0827,106,10501.2,-0.0340173,28.6781,9.03809,119.219,-0.0189329,148.033,500,-3.5358,-2.06763,-0.210473,-3.04009,-4.57302,-422.856,6013.7,5.5515,6381.21,8528.9,-0.873189,0.594976,5.11475,-0.377482,-1.91041,-1.00685,6350.52,36.1715,6718.03,0.52654,0.990131,0.00982094,12060.8 
107,-4.13,43.0927,107,10258.5,-0.319932,28.3749,9.13166,119.194,0.0332475,170.502,240.565,-2.44309,-1.54,-2.99737,0.690339,-5.6957,-445.153,5756.04,-6.92237,6388.82,8619.43,0.359925,1.26301,2.60865,3.49335,-2.89269,0.460158,6110.63,25.3122,6743.4,0.51599,0.992803,0.0068671,11842.5 
108,-4.12,43.1027,108,10049.8,-0.275825,28.1066,8.8796,119.266,0.438921,1493.45,2.59103,-1.16341,-1.72004,-2.64749,-4.44915,-4.63255,-416.011,5526.56,-9.23264,6330.59,29463.4,1.4561,0.899465,2.59153,-1.82964,-2.01304,-1.34653,5857.93,20.8917,6661.95,0.508475,0.993798,0.00574361,11520.6 
109,-4.11,43.1127,109,11338.8,-0.341989,30.613,9.31229,119.255,-0.106267,348.4,478.996,-2.56268,-4.38287,-3.51315,-5.24142,-8.56541,-383.784,6249.88,4.34502,7057.8,10485.4,-0.146094,-1.96629,1.32001,-2.82483,-6.14883,1.13516,6555.58,32.1357,7363.5,0.511573,0.991494,0.00797519,12814.6 
110,-4.1,43.1227,110,9304.1,-0.021881,26.471,8.79732,118.819,-0.00582908,5.74414,500,0.0745775,-2.85819,-1.84535,-1.42547,-4.0206,-358.384,5363.06,-9.18846,5775.52,7581.91,2.33122,-0.601546,2.66794,0.831173,-1.76396,0.229995,5648.53,16.763,6060.99,0.522994,0.994833,0.00506891,10800.4 
111,-3.88,43.3427,111,10006.2,-0.264559,28.0045,8.99452,119.217,1.16381,24.1656,5.61025e-05,0.586512,-0.6969,-0.0260804,-3.66247,-5.41016,-391.198,5881.68,-0.8143,6078.37,9115.29,3.04978,1.76637,4.90046,-1.1992,-2.94689,0.120287,6193.29,27.5133,6389.97,0.532767,0.992286,0.00786914,11624.8 
112,-3.87,43.3527,112,10303.6,-0.318627,28.3627,9.16497,118.861,-0.0387989,-567.457,327.204,0.473884,-1.60277,-7.06578,-5.19625,0.175175,-415.602,5885.78,-3.2448,6250.29,9178.73,3.09082,1.01416,-1.83192,-2.57932,2.79211,1.73694,6216.82,26.8499,6581.33,0.526361,0.992499,0.0074592,11811 
113,-3.86,43.3627,113,10493.1,-0.0177738,28.7547,8.87189,119.194,0.00183364,1.14635,500,-1.30571,-4.1106,-5.92462,-2.28895,-2.10557,-382.829,5870.4,-0.612923,6398.4,8304.68,1.10486,-1.70003,-1.10347,0.121629,0.305003,0.132494,6175.34,27.1087,6703.33,0.520109,0.992376,0.0073945,11873.2 
114,-3.85,43.3727,114,10080.2,-0.07596,28.5999,8.80895,118.995,0.00533757,40.9917,2.18456e-09,0.331867,-3.8926,-7.06159,-4.6399,-7.26978,-416.374,5783.86,-1.63766,6291.76,8208.44,2.95366,-1.27081,-1.818,-2.0181,-4.64798,0.732696,6115.52,28.513,6623.42,0.520673,0.991907,0.00786765,11745.4 
115,-3.84,43.3827,115,9324.31,0.0200211,27.2311,8.61631,118.992,-0.0173585,-76.7575,9.62915e-12,-5.07168,-1.59871,-7.76276,-0.0910536,-2.15514,-396.279,5593.67,-13.9248,5744.85,7681.4,-2.57641,0.896549,-2.77223,2.40421,0.340122,-0.623309,5909.32,14.7707,6060.5,0.534261,0.995645,0.00446952,11060.7 
116,-3.83,43.3927,116,9643.33,-0.315553,27.1922,9.01921,118.91,0.102206,273.712,226.682,-3.75657,-1.94123,-4.99294,-0.516891,-4.93622,-373.447,5674.13,-3.37067,5887.45,8894.44,-1.40507,0.410263,-0.289948,1.8346,-2.58473,0.857511,5971.59,23.6715,6184.91,0.531812,0.993111,0.00700093,11228.8 
117,-4.15,43.0727,117,10014.6,-0.354606,28.6734,8.98901,119.066,0.192636,89.3688,499.631,-3.36723,-0.62895,-4.19159,-2.76338,-5.02777,-407.514,5899.7,-12.0078,6249.15,8950.91,-0.801225,1.93706,0.940421,-0.197371,-2.46176,2.61341,6224.3,17.5013,6573.75,0.526948,0.995104,0.0048803,11812 
118,-4.14,43.0827,118,9936.16,-0.307717,28.2667,9.02436,119.058,0.0857229,-168.361,2.57689e-06,0.774936,-1.10446,-0.421303,-2.59662,-2.68091,-356.538,5834.84,-14.9583,6138.4,8773.81,3.01996,1.14057,4.06875,-0.351596,-0.435885,0.453257,6118.83,10.8595,6422.39,0.528494,0.996904,0.00310512,11577.9 
119,-4.13,43.0927,119,9518.01,-0.028097,26.9685,8.71079,118.882,-0.0061086,3.0879,500,-4.86196,-3.11823,-5.06375,-4.84523,-3.60868,-409.762,5372.06,2.38116,5977.27,7647.93,-2.2818,-0.538067,0.0965813,-2.26506,-1.02851,1.01605,5698.45,32.0531,6303.66,0.515391,0.990252,0.00927987,11056.6 
120,-4.12,43.1027,120,9903.5,-0.305628,27.9543,8.93521,119.24,0.0895498,204.447,416.288,-0.811977,-0.206624,-0.805534,-4.67447,-1.36968,-374.997,5558.25,1.76928,6195.83,8727.09,1.54928,2.15463,3.91697,-2.31321,0.991577,0.378183,5856.95,28.9237,6494.53,0.514793,0.991432,0.00813715,11377.3 
121,-4.11,43.1127,121,9558.49,-0.0166998,27.4294,8.73543,119.188,-0.00547549,-0.690924,500,-2.8584,-4.96948,-2.03769,-2.54345,-6.04846,-436.774,5627.64,-2.24663,5931.66,7800.14,-0.108149,-2.21923,3.4628,0.206795,-3.29822,2.77035,5975.54,29.3812,6279.56,0.528193,0.991469,0.0085453,11313.2 
122,-4.1,43.1227,122,8771.4,-0.367474,26.3797,8.81337,118.862,-1.09577,-414.361,230.513,-3.39061,-2.68793,-6.27132,-2.4808,-1.12621,-392.499,5146.14,-5.54189,5724.88,22349.1,-0.91915,-0.216472,-1.3284,-0.00934426,1.34525,-0.177539,5458.78,22.8799,6037.52,0.515433,0.992718,0.00693249,10590.7 
123,-4.1,43.1227,123,9850.85,-0.321464,27.8653,8.98715,118.971,-0.43384,987.586,109.677,-3.57487,-0.283889,-9.39558,-2.70987,-3.96223,-433.68,5844.55,-6.64964,6022.59,22099.9,-0.844102,2.44688,-3.93404,0.0208993,-1.23146,-0.110739,6189.99,24.7542,6368.04,0.53349,0.99305,0.00710983,11602.8 
124,-4.1,43.1227,124,10402.8,-0.061465,29.0691,8.91505,118.876,-0.00918959,-29.1842,3.26091e-12,-2.25807,-0.836949,-1.80088,-3.50415,-8.33454,-365.404,6000.87,7.54455,6402.96,8445,0.0427791,1.4639,2.80082,-1.2033,-6.03369,1.95607,6291.92,34.0043,6694.02,0.525122,0.990631,0.00927078,11981.8 
125,-4.1,43.1227,125,8899.82,-0.0161502,25.5588,8.7533,118.838,-0.0221234,23.7224,499.696,-1.8452,-2.1624,-11.8052,-3.81771,-6.34064,-448.433,5066.07,4.29446,5788.77,7300.05,0.978461,0.661266,-6.15784,-0.994043,-3.51698,0.318003,5423.27,36.7666,6145.97,0.509354,0.988275,0.0108998,10647.3 
126,-4.1,43.1227,126,9452.92,-0.0603116,26.3997,8.89165,118.852,0.0628469,-52.7102,0.00231355,-1.16437,-2.65728,-4.2943,-5.53801,-7.74797,-397.136,5627.61,5.16001,5696.8,7749.3,1.33629,-0.156623,0.707024,-3.03734,-5.24731,1.11051,5943.95,33.9176,6013.13,0.537665,0.990113,0.0102837,11055.1 
127,-4.1,43.1227,127,9184.74,-0.319766,26.5361,8.91709,118.883,-0.581517,3072.33,67.1675,-0.634978,-0.574332,-4.71195,-2.62849,-5.26814,-388.622,5502.13,4.20134,5671.63,65863.1,1.81207,1.87272,0.182145,-0.181443,-2.82109,0.789283,5811.68,32.3424,5981.18,0.533393,0.990355,0.00986269,10895.7 
128,-4.1,43.1227,128,10454.6,-0.0665194,28.9853,8.81802,118.972,-0.0275857,-236.482,1.33208,-0.325872,-0.026509,-3.78298,-1.37204,-1.92839,-404.968,5760.05,-3.51199,6683.35,8532.75,2.2241,2.52347,1.31697,1.17793,0.621585,0.832533,6082.62,25.8127,7005.92,0.5053,0.992628,0.00674133,12037.7 
129,-4.1,43.1227,129,8918.47,-0.329739,26.4452,8.73568,118.91,0.213195,-509.238,39.6236,-1.92555,-2.93144,-9.0944,-2.33901,-8.26178,-442.288,5455.77,-8.68052,5520.61,11054.6,0.859424,-0.146472,-3.52446,0.445957,-5.47681,0.550587,5808.06,23.3466,5872.91,0.537782,0.993015,0.0072697,10800 
130,-4.1,43.1227,130,10332.8,-0.0195797,28.1844,8.87168,119.153,-0.00767334,-23.3084,500,-2.15447,-1.3683,-7.48407,-8.22758,-4.23137,-350.938,5816.66,13.0399,6271.43,8145.53,0.0552952,0.84147,-3.06454,-6.01781,-2.02161,0.699767,6096.2,38.4522,6550.97,0.522627,0.989082,0.0106969,11664.5 
131,-4.1,43.1227,131,10762.5,-0.0282107,29.0061,9.01087,118.921,0.00674342,-6.54928,0.431829,0.833763,0.671662,-5.95394,-4.6366,-4.44221,-336.753,5937.52,-8.59422,6586.9,8509.89,2.95421,2.7921,-1.71305,-2.51616,-2.32177,-1.12887,6205.75,15.7909,6855.14,0.515744,0.995567,0.00422538,12032.6 
132,-4.1,43.1227,132,8873.19,-0.0110692,25.5169,8.69894,119.224,-0.00402915,-33.3705,499.851,-0.134824,-1.4807,-6.41899,-6.82783,-5.62826,-420.804,5020.37,-3.84062,5813.11,7230.24,2.51487,1.169,-1.1196,-4.17814,-2.97857,0.756208,5355.56,26.6309,6148.29,0.506119,0.991373,0.00791578,10581.6 
133,-4.1,43.1227,133,10362,-0.0437944,28.3621,8.89828,119.158,0.0163979,9.05209,500,-0.889814,-5.73334,-1.55398,-1.85856,-3.26339,-453.799,5932.84,3.16258,6331.25,8220.43,1.96764,-2.87589,4.16092,0.998886,-0.405944,-0.0819919,6294.31,36.0233,6692.72,0.525265,0.990084,0.0098177,11983.1 
134,-4.1,43.1227,134,9798.24,-0.0550278,27.0705,-8.94007,118.752,-0.000794569,119.689,0.102739,0.435648,-1.37015,-6.39248,-7.71921,-7.69289,-318.744,5811.77,0.388803,5821.42,7881.39,2.44269,0.636895,-2.37839,-5.71216,-5.68585,0.777655,6065.66,23.4698,6075.31,0.540146,0.993274,0.00706604,11229.7 
135,-3.82,43.4027,135,9552.77,-0.0148564,27.744,8.61769,119.01,0.00357651,-11.6606,500,-0.291906,-1.45027,-6.36931,-1.29824,-4.70309,-470.787,5522.09,-8.17374,5980.61,7784.51,2.67252,1.51415,-0.440459,1.66619,-1.73867,1.11989,5897.09,25.9171,6355.61,0.521896,0.992368,0.00745579,11299.4 
136,-3.81,43.4127,136,10005.1,-0.157617,27.5094,9.11362,118.941,-0.10079,-104.763,2.28569,-4.79149,-2.74806,-6.01343,-3.30205,-2.224,-376.917,5796.42,-1.85157,6102.11,8505.19,-2.41814,-0.374709,-1.26673,-0.9287,0.149344,0.738221,6096.65,25.4419,6402.34,0.528368,0.99275,0.00726705,11538.6 
137,-3.8,43.4227,137,9984.92,-0.317751,28.4732,8.88277,118.992,0.38375,510.188,107.993,0.354316,-3.83716,0.0638859,-0.805515,-6.16141,-400.676,5733.75,5.66411,6216.86,14606.9,2.87727,-1.31421,5.10979,1.71744,-3.63846,-0.0753329,6052.9,34.678,6536.01,0.521419,0.990073,0.00967904,11608.5 
138,-3.79,43.4327,138,10358.8,-0.0246474,28.6379,8.89293,118.938,-0.0025019,-3.49336,499.997,-3.06024,0.322437,-7.21502,-5.5545,-7.71246,-278.489,6016.34,-2.89199,6185.4,8290.78,-1.30667,2.07601,-3.70787,-3.80092,-5.95889,0.708004,6238.17,17.2741,6407.22,0.533893,0.995177,0.00494184,11684.3 
139,-3.78,43.4427,139,11083.1,-0.297092,29.9662,9.15809,119.112,0.0539065,92.013,15.7959,-0.479051,-0.944904,-7.40693,-5.94453,-2.46344,-423.622,6247.23,7.9111,6683.86,9095.17,2.18839,1.72253,-2.07205,-3.27709,0.203994,-0.678822,6584.66,38.5866,7021.29,0.524559,0.989849,0.0100221,12552.8 
140,-3.77,43.4527,140,9436.4,-0.0147962,26.7211,8.80704,119.048,-0.00447677,-20.2699,500,-1.87128,-0.16272,-6.58558,-4.02386,-2.29404,-343.022,5489.99,1.01694,5831.93,7663.86,0.288639,1.9972,-2.26574,-1.86393,-0.13412,-0.145497,5763.22,25.856,6105.16,0.526196,0.99221,0.00774112,10952.6 
141,-3.76,43.4627,141,10646.9,-0.292326,28.9099,9.14622,119.114,-1.48385,4178.24,222.907,-0.434734,1.03974,-0.0716383,-7.39192,-4.06751,-380.169,5912.52,4.74272,6539.09,210434,1.95909,3.43356,4.71601,-4.9981,-1.67369,-0.372182,6215.34,32.2717,6841.91,0.516612,0.990995,0.00861394,12031 
