cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
0,201.75,3.093,43.15,10,0,17471.4,-0.0738959,28.2568,13.7271,116.065,0.012039,-62.871,1.32847,0.337077,0.740989,-2.2922,-0.452277,0.315777,-8.66455,8133.13,41.9816,8827.47,12651.6,0.391635,0.795547,-2.18308,-0.397719,0.370336,-1.13341,8140.03,42.609,8834.37,0.449158,0.990923,0.00880641,18122.9,-0.000264088,0.645078,13.8981,11.5089,115.402,89.4682,0.610624,14.2319,13.1868,115.434,139.692,-0.03235,-50.2241,321.758,357.207,678.966 
1,201.75,3.093,43.13,10,1,17101.2,-0.114659,27.6608,13.8994,115.62,0.0545527,15.4076,168.31,-0.642976,0.160506,2.75627,-0.630444,1.46997,-25.5018,8023.43,44.2804,8648.6,12543,-0.482398,0.321085,3.07742,-0.469866,1.63055,0.245137,8043.74,46.1271,8668.91,0.450892,0.990064,0.00970666,17839.6,-0.000426691,0.618932,14.1893,11.6974,114.99,89.7888,0.600122,14.2529,13.1843,114.856,140.198,0.134837,-50.4091,320.383,351.563,671.946 
2,201.75,3.093,43.31,10,2,26378.3,-0.012294,41.5826,14.0444,115.916,0.00145986,-73.173,498.539,1.6091,0.396905,-1.37668,-0.148833,-5.0106,20.3168,13047.8,97.5418,12418.1,19014.7,1.48117,0.268976,-1.63253,-0.276763,-5.13853,0.69184,13031.6,96.0706,12401.9,0.481835,0.987263,0.014069,27045.8,-0.000271887,0.974114,14.4867,11.7769,115.263,90.6787,0.848171,14.1244,13.4267,115.26,141.141,0.00305098,-50.4623,518.39,501.8,1020.19 
3,201.75,3.093,43.35,10,3,25831.7,-0.104528,41.0954,13.9421,116.055,0.06026,-98.8443,142.865,-0.754622,-0.720436,-0.368736,-1.96067,-0.550806,-37.9275,13074.7,111.418,11969.1,18845.6,-0.515803,-0.481617,0.108903,-1.72185,-0.311986,1.03727,13104.9,114.164,11999.4,0.49148,0.984984,0.0172243,26664.2,-0.00021327,1.00189,14.2032,11.6509,115.429,90.3744,0.831005,14.026,13.1898,115.363,140.715,0.0654781,-50.341,516.892,479.41,996.303 
4,201.75,3.093,43.09,10,4,20321.2,-0.019332,32.6075,-14.0208,115.924,-0.0110408,-10.0155,500,-0.763221,-0.36691,3.24249,-0.7145,-0.503432,5.08602,10099.7,86.6929,9820.14,14886.4,-0.795246,-0.398935,3.17844,-0.746525,-0.535457,-3.52591,10095.7,86.3247,9816.09,0.476484,0.985257,0.0159416,21187.9,-0.000506375,0.763243,14.1741,11.8779,115.198,89.6351,0.670376,14.3516,13.2594,115.28,139.984,-0.0821991,-50.349,400.833,397.943,798.776 
5,201.75,3.093,43.19,10,5,24776.1,-0.146031,39.2787,14.123,116.108,0.223756,-70.9291,121.231,-1.71605,-3.27884,-5.52433,0.112181,-4.28905,54.3368,12532.7,119.369,11396.7,18575.1,-2.0582,-3.62099,-6.20862,-0.229963,-4.63119,0.629313,12489.5,115.434,11353.5,0.493287,0.984083,0.0183849,25318.9,-0.000268628,0.927963,14.4272,11.9388,115.492,89.8477,0.773736,14.0912,13.5311,115.441,140.211,0.050913,-50.3635,498.749,460.587,959.336 
6,201.75,3.093,43.05,10,6,25908.6,-0.0172413,41.5377,13.8333,116.053,-0.0157304,-21.1899,496.31,1.8396,-2.15517,-0.463201,-1.62487,-0.948376,9.52741,12876.8,104.954,12246.5,18716.1,1.77961,-2.21516,-0.583184,-1.68487,-1.00837,0.842891,12869.2,104.264,12238.9,0.482008,0.98602,0.0154506,26699.1,-0.000217774,0.993187,14.1364,11.6249,115.366,90.5148,0.857116,13.8682,13.2351,115.357,141.013,0.00878454,-50.4981,508.851,490.508,999.359 
7,201.75,3.093,43.27,10,7,24563,0.0171664,38.8499,13.9721,116.027,-0.0515804,26.729,4.91358e-12,-1.85235,2.05884,-0.0306992,0.486838,-2.0302,-15.1531,12392.4,95.8061,11427.1,17715.3,-1.75693,2.15426,0.160131,0.582253,-1.93478,1.20141,12404.4,96.9034,11439.1,0.489701,0.986513,0.0153651,25330.7,-0.000281343,0.947821,14.2285,11.6721,115.342,90.4128,0.782285,14.221,13.26,115.368,140.851,-0.0264612,-50.4382,490.794,460.034,950.828 
8,201.75,3.093,43.23,10,8,25613.1,-0.172399,40.7475,14.1335,115.732,0.325683,-206.887,0.109934,-2.33343,-1.44367,-1.42954,-2.90036,-1.12589,17.3745,12887,113.062,11977.1,20941.1,-2.44284,-1.55307,-1.64835,-3.00976,-1.23529,0.83332,12873.2,111.804,11963.3,0.487775,0.985029,0.0169243,26391.7,-0.000336167,0.976101,14.3457,11.696,115.134,89.8647,0.828503,14.0754,13.2727,114.966,140.242,0.167653,-50.3771,510.696,482.73,993.426 
9,201.75,3.093,43.07,10,9,23665.4,-0.150661,37.7208,14.0807,116.017,0.283967,-74.1279,498.783,-1.41094,-1.18557,-3.01726,-1.10599,-1.47525,13.0469,11440,92.2171,11478.7,17975.4,-1.49309,-1.26772,-3.18157,-1.18814,-1.5574,0.633794,11429.6,91.2723,11468.3,0.468642,0.986218,0.0144488,24388.8,-0.000270015,0.860755,14.2766,11.8452,115.474,90.4043,0.783135,14.0795,13.4415,115.395,140.637,0.0789299,-50.2331,454.24,462.469,916.71 
10,201.75,3.093,43.17,10,10,21847.3,-0.161815,35.2997,13.9635,115.959,-0.050391,-74.8299,468.438,-0.589835,-1.22039,-4.9017,-1.96956,2.01638,23.1296,10822.5,102.592,10550.1,16168.5,-0.735475,-1.36603,-5.19298,-2.1152,1.87074,0.31118,10804.1,100.917,10531.7,0.475848,0.983917,0.0173453,22704.9,-0.000455391,0.812154,14.2868,11.8684,115.295,90.2092,0.719642,13.9859,13.5474,115.398,140.618,-0.102898,-50.4083,429.735,425.543,855.277 
11,201.75,3.093,43.21,10,11,26043.8,-0.0657321,41.2353,14.0846,115.912,0.0745377,-44.7363,500,-1.32076,-0.601423,0.250528,1.13772,-2.87359,21.3959,13125.3,100.611,12117.3,19014.9,-1.45548,-0.736147,-0.0189207,1.00299,-3.00831,0.995512,13108.2,99.0621,12100.3,0.489451,0.986947,0.0148568,26781.5,-0.000261251,0.9873,14.3256,11.7798,115.29,90.1794,0.818032,14.158,13.4856,115.248,140.59,0.0422516,-50.4111,519.72,487.368,1007.09 
12,201.75,3.093,43.29,10,12,23996.7,-0.149268,38.2955,14.0531,115.959,0.0676106,-13.2502,33.643,-0.30606,-1.52233,-0.444257,1.21967,-0.876984,15.2072,12102.9,93.5431,11206.3,17548.4,-0.401816,-1.61809,-0.635767,1.12392,-0.97274,0.746149,12090.8,92.4419,11194.2,0.488709,0.986797,0.0149842,24740.2,-0.000273462,0.942066,14.1533,11.5159,115.321,89.944,0.785395,14.0921,13.0405,115.295,140.085,0.0259433,-50.1411,478.617,449.949,928.566 
13,201.75,3.093,43.11,10,13,18595,0.00539343,30.1163,13.8579,115.894,-0.0302481,-4.81854,500,-1.80878,-0.452907,-3.70908,-1.09872,0.633913,34.23,8584.6,52.475,9827.38,13590.8,-2.02432,-0.668444,-4.14016,-1.31425,0.418376,0.46432,8557.34,49.9963,9800.12,0.435899,0.989879,0.0093102,19631.5,-0.000535997,0.660517,14.177,11.6719,115.187,89.6288,0.667725,14.1894,13.3015,115.276,140.107,-0.0892587,-50.478,340.935,392.88,733.815 
14,201.75,3.093,43.25,10,14,24623.5,-0.167838,39.2783,14.1017,115.893,0.108821,75.9229,347.379,-2.02472,-0.99468,-3.17605,1.35506,-0.449162,-16.603,12614.3,111.121,11346.9,18300,-1.92017,-0.890136,-2.96697,1.4596,-0.344617,0.363625,12627.6,112.323,11360.1,0.495889,0.984672,0.017888,25464.5,-0.000357564,0.943619,14.2343,11.9216,115.191,90.08,0.768851,14.2308,13.3985,115.241,140.418,-0.0499458,-50.3383,499.546,457.562,957.108 
15,201.75,3.093,42,0,15,25927.1,-0.14295,41.3122,14.0246,116.043,0.15693,115.343,52.3167,-0.662182,1.22719,-1.6406,-1.38336,-3.63877,68.6199,13035.8,82.1123,12168.9,19450.2,-1.09426,0.79511,-2.50476,-1.81544,-4.07085,0.711772,12981.1,77.1433,12114.2,0.486728,0.989707,0.0115945,26670.2,-0.000264398,1.01297,14.2025,11.4956,115.318,89.7612,0.862387,14.0268,12.8983,115.473,140.092,-0.15413,-50.3311,515.386,486.247,1001.63 
16,201.75,3.093,43.33,10,16,23813.8,-0.0248326,38.3961,13.7574,115.927,-0.198229,297.119,0.0401336,-1.57339,-1.37215,-2.98344,0.281684,-1.62964,33.9166,12186.8,79.0898,11011.7,19112.9,-1.78696,-1.58571,-3.41056,0.0681206,-1.84321,0.601491,12159.8,76.6338,10984.6,0.494854,0.989091,0.0126883,24572.4,-0.000230927,0.961741,13.959,11.4764,115.317,90.0132,0.777054,14.0166,12.9434,115.273,140.201,0.043204,-50.1874,480.152,439.416,919.568 
