cyc,wait,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,40.01,0,10,3572.42,-0.0319937,9.83943,-10.6364,90.5236,0.320447,-344.752,0.0168237,0.040076,-0.780572,-0.4092,0.165875,1.3515,-15.7572,260.502,8.28333,4796.43,7003.24,0.139295,-0.681353,-0.210763,0.265094,1.45072,1.21886,281.375,8.69261,4817.3,0.0622428,0.94871,0.00331299,4520.6,1514.15,304.33,35799.7,-78.4771,78.4815,13726.9,8198.87,83.7533,76.3538,0.601165,9.64706,9.34933,90.3687,118.949,-6.6154,-42.5954 
11,60.01,0,11,3563.56,-0.0146154,10.318,9.56518,90.5358,0.0201533,-31.1668,500,-3.41842,-0.455777,2.4821,1.13898,-1.11737,-7.68324,237.737,13.3836,4763.38,3233.23,-3.37004,-0.407398,2.57886,1.18736,-1.06899,3.38737,247.915,13.5832,4773.56,0.0557282,0.912507,0.00521438,4448.64,1557.71,303.03,37017.1,-18.6352,18.6388,6591.73,4798.42,86.5249,65.4533,0.617998,9.40179,9.47369,90.3069,118.271,-3.78204,-52.8179 
12,20.01,0,12,3379.04,-0.232337,9.64839,10.3381,90.9352,-0.0196409,-74.728,98.8062,0.681573,0.588134,3.06746,0.905831,-0.23068,8.91491,287.471,9.34183,4490.11,3294.85,0.625438,0.531999,2.95519,0.849696,-0.286815,0.367942,275.662,9.11028,4478.3,0.0653759,0.945327,0.00373343,4216.56,1345.14,320.675,31594.1,-33.4665,33.4705,9839.57,5533.82,88.93,74.307,0.566979,9.49227,9.47718,90.6788,119.119,-1.74878,-44.8117 
13,10.01,0,13,3685.86,-0.0106449,10.072,10.0235,90.6048,0.00933142,5.72261,3.98607e-11,0.838661,-0.86011,1.09521,-1.15636,1.79368,-21.1688,295.968,12.7405,4791.25,3288.22,0.971955,-0.726816,1.3618,-1.02306,1.92697,0.457634,324.009,13.2903,4819.29,0.0709772,0.933025,0.00505437,4564.98,1476.32,324.83,34914.8,-31.5009,31.5053,8445.91,5297.63,89.2549,75.2935,0.587191,9.64172,9.58177,90.4418,118.007,-1.18694,-42.7136 
14,70.01,0,14,3606.39,-0.207703,10.1183,10.4208,90.5195,0.0632059,-141.621,500,-0.683149,0.838826,0.784633,0.233041,1.66296,-0.713181,218.385,13.6588,4802.26,3723.85,-0.678658,0.843316,0.793614,0.237532,1.66745,0.722828,219.33,13.6773,4803.2,0.0493302,0.901608,0.0052181,4446.15,1512.13,304.47,35865.9,-25.4204,25.4242,8819.34,4869.01,81.3668,74.3688,0.593049,9.90626,9.45055,90.4322,119.689,-9.06546,-45.3199 
15,100.01,0,15,3270.26,-0.0217985,9.28618,-9.91635,90.3466,0.0344679,7.90601,1.72424e-13,-0.596167,0.237559,0.811259,2.34695,1.86919,-50.7175,180.65,15.0589,4467.61,3006.54,-0.276812,0.556914,1.44997,2.6663,2.18854,0.779804,247.834,16.3762,4534.8,0.0584728,0.896351,0.00660831,4238.45,1342.27,292.475,31487.3,-27.1074,27.1115,7762.54,5062.02,82.7049,75.839,0.562412,9.65901,9.40629,90.1332,119.44,-7.42831,-43.6007 
16,30.01,0,16,3596.78,-0.232802,9.87615,-10.5839,90.3958,0.135075,-122.172,3.65425,0.404287,-1.46903,-1.63453,2.1709,1.38315,-6.24118,291.69,13.1566,4731.89,3939.93,0.443586,-1.42973,-1.55593,2.2102,1.42245,2.4267,299.957,13.3187,4740.16,0.0670851,0.927899,0.00514922,4471.3,1471.79,318.171,34685,-37.6477,37.6522,10069.8,5585.19,85.7138,76.4112,0.589085,9.75448,9.369,90.1209,118.757,-4.40711,-42.3455 
17,0.01,0,17,4022.22,-0.251142,10.791,10.7356,90.0972,-0.419144,583.767,388.8,0.0143877,-1.00414,-0.300838,-0.031339,-2.14907,-6.56519,316.156,13.1546,5145.72,11736.5,0.0557269,-0.962799,-0.21816,0.0100002,-2.10773,0.932311,324.853,13.3251,5154.41,0.0668321,0.933025,0.0047396,4860.74,1674.05,323.226,40049.5,-32.7041,32.7083,8201.33,5609.15,93.3577,73.143,0.613059,10.0552,9.73492,89.9034,120.104,3.45439,-46.9612 
18,50.01,0,18,4114.16,-0.095566,10.9632,10.3365,90.5587,-0.00374046,78.9995,1.09949e-05,-0.557136,0.80768,-0.823689,-0.995756,-0.492984,2.12504,275.85,10.0359,5215.68,3698.63,-0.570517,0.794299,-0.850451,-1.00914,-0.506364,0.602995,273.035,9.98066,5212.87,0.0561758,0.939876,0.00351454,4860.36,1727.71,307.521,41502.2,-36.5824,36.5868,9017.48,5760.15,86.8095,76.3743,0.636121,9.83015,9.54881,90.3782,118.549,-3.56872,-42.1751 
19,80.01,0,19,3405.19,-0.165363,9.79216,10.2324,90.747,-0.286451,128.054,500,1.42502,1.08874,1.93158,0.0903986,1.3154,-53.8082,276.79,12.1177,4648.1,4455.85,1.76384,1.42756,2.60921,0.429214,1.65421,0.669051,348.068,13.5153,4719.38,0.0773293,0.936372,0.00524773,4501.12,1436.88,307.775,33812.1,-32.9682,32.9726,8728.19,5342.24,82.0886,76.6102,0.58374,9.65637,9.37906,90.4565,118.797,-8.36792,-42.1871 
