cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,5618.53,-0.0248502,11.6644,10.7044,98.8589,-0.0146534,22.7656,115.822,0.0314215,1.72871,3.50281,2.67282,-4.30217,-32.2445,-181.144,2.79241,5788.03,4075.5,0.234456,1.93174,3.90888,2.87586,-4.09914,0.194344,-135.918,6.14249,5833.26,-0.0288838,1.08588,0.001936,4705.69,0.000409979,-0.00646495,47.2192,11.5045,85.285,68.395,0.656289,10.3676,9.91185,98.5843,118.312,-13.2993,-49.9166 
12,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,12,6387.13,-0.00878049,12.5415,11.1417,99.1044,-0.0134336,12.5499,457.352,-0.441298,0.253112,3.64787,-1.01892,-0.88949,-42.3708,432.043,6.92754,5894.32,4554.28,-0.174501,0.519909,4.18146,-0.752122,-0.622692,-0.326582,491.473,11.3297,5953.75,0.0904592,0.961222,0.00349319,5433.09,0.000265657,0.0749823,9.57839,8.58579,99.2293,67.3969,0.615127,10.7984,10.3772,98.5937,117.511,0.635654,-50.1146 
13,97,43.248,4.1,48.55,-0.2,0.19,0.01,13,13227.4,-0.0110512,27.1809,10.6167,99.0297,-0.0135977,-28.3387,241.456,2.31172,2.16574,-1.60686,-1.30971,1.96506,-93.7743,5599.76,68.576,7464.15,9406.54,2.90219,2.75622,-0.425921,-0.71924,2.55553,1.06025,5731.29,78.3188,7595.68,0.476191,0.976645,0.0186398,12035.7,0.000420603,0.820704,10.0604,8.34002,99.0712,68.7963,0.844411,10.6224,9.83421,98.3693,118.343,0.701852,-49.5467 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,13344.1,-0.0173716,28.0389,10.4385,99.2577,0.0208282,-14.806,4.52703e-11,0.038241,2.28379,-2.95545,-0.924932,2.99173,-101.023,5628.29,70.2229,7692.89,9537.88,0.674359,2.91991,-1.68321,-0.288814,3.62784,1.32061,5769.98,80.7189,7834.59,0.470148,0.976103,0.0186255,12272.7,0.000220813,0.835726,9.86903,8.43608,99.1891,69.3996,0.881831,10.4083,9.94862,98.6437,119.073,0.545339,-49.6733 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,5786.59,-0.0226621,12.0324,10.6599,98.2914,-0.0049363,12.504,96.0509,-0.0835552,3.98374,-2.34874,-4.94907,-0.966053,-50.5111,-151.641,-0.432415,5907.39,4177.41,0.2345,4.3018,-1.71263,-4.63101,-0.647998,0.302488,-80.7946,4.81549,5978.24,-0.0165524,1.11645,0.00148162,4881.15,0.000200042,-0.00656373,-0.180075,4.4792,93.4451,64.1984,0.669263,10.2161,10.0215,97.8886,118.144,-4.44351,-53.946 
16,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,16,5778.06,-0.0375028,12.1636,10.7169,98.8073,0.119063,-135.109,500,0.339184,0.326906,1.36098,0.927478,0.977064,-29.0859,276.584,-1.98903,5541.7,4767.19,0.52233,0.510053,1.72728,1.11062,1.16021,0.656639,317.38,1.03288,5582.5,0.064106,0.994337,0.000340713,4950.85,7.82563e-05,0.0683624,9.03598,7.87772,98.3092,67.9062,0.599698,10.4639,10.3595,98.3885,118.515,-0.0792892,-50.6087 
17,97,43.248,4.1,48.55,-0.2,0.19,0.01,17,12553.9,-0.0485469,26.2433,10.6006,98.8143,-0.00307561,22.721,33.4333,1.52583,-1.05056,0.353236,-2.71311,1.03767,-92.4136,5628.36,11.6021,6956.19,9058.44,2.10774,-0.468652,1.51704,-2.1312,1.61957,0.426339,5757.97,21.2035,7085.81,0.494706,0.993597,0.00548208,11639.2,0.000159912,0.799069,10.004,8.67011,98.7805,68.973,0.761182,10.5626,10.277,98.2824,118.717,0.498166,-49.744 
18,97,43.248,0,48.55,-0.2,0.19,0.01,18,13270.8,-0.0727267,28.0024,10.5887,98.9272,0.0161778,1.14678,133.563,1.80075,0.71952,-1.13962,-2.59857,-0.238682,-88.4161,5660.51,66.2141,7657.09,9652.98,2.35748,1.27625,-0.0261582,-2.04183,0.318051,1.01389,5784.52,75.4002,7781.1,0.472482,0.977698,0.0175373,12242.8,5.82682e-05,0.841171,10.0186,8.45825,98.8773,67.9625,0.868417,10.5546,9.89077,98.2987,117.392,0.578681,-49.4295 
19,75,46.2227,0,46.05,0.2,-0.19,-0.01,19,6154.27,-0.0544997,12.5825,11.1154,98.8754,-0.00860047,47.6582,6.64012,0.972331,3.50642,-5.25803,-1.28018,1.09016,-17.9288,-142.155,7.96911,6366.31,4566.26,1.08522,3.61931,-5.03224,-1.16728,1.20305,-16.2375,-117.009,9.83183,6391.45,-0.0225541,1.1724,0.00282566,5187.9,0.000122643,0.0339309,-0.725741,1.47161,86.7599,69.9549,0.682184,10.5479,10.2726,98.4825,118.111,-11.7226,-48.1556 
20,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,20,6583.13,-0.0386495,13.3325,11.1299,98.3634,-0.0788092,45.5159,0.873487,1.1822,-5.35156,-2.54408,-0.534547,-3.39481,-26.1932,445.54,15.3433,6110.57,4947.35,1.34713,-5.18663,-2.21422,-0.369615,-3.22988,0.770624,482.278,18.0646,6147.31,0.0863595,0.938483,0.00538412,5584.54,0.000263913,0.0803496,9.66495,8.66451,98.4746,67.9287,0.631067,10.6823,10.5011,98.0244,117.818,0.450126,-49.889 
21,97,43.248,4.1,48.55,-0.2,0.19,0.01,21,12183.8,-0.0282572,25.9462,10.3234,99.1663,-0.0135585,-6.26806,342.373,3.03609,-2.10629,-1.30298,1.53048,-1.45154,-96.0254,5359.44,4.63079,6849.44,8722.3,3.64074,-1.50164,-0.0936884,2.13513,-0.846889,1.0281,5494.12,14.6075,6984.13,0.486595,0.995369,0.00383802,11290.9,0.000309315,0.799177,9.71348,8.43225,99.1448,69.1915,0.792144,10.2645,9.85789,98.3977,118.884,0.747128,-49.6922 
22,97,43.248,0,48.55,-0.2,0.19,0.01,22,13510.3,-0.0577686,28.2931,10.6519,99.0175,-0.0464552,240.285,347.518,1.9031,3.95885,1.28263,-4.11591,0.0111241,-96.7907,6313.52,5.47184,7334.23,10174.1,2.51257,4.56831,2.50156,-3.50645,0.620589,0.626443,6449.28,15.528,7469.99,0.50985,0.995804,0.00381461,12649.4,3.07726e-06,0.894738,10.077,8.63424,99.1276,68.6579,0.809696,10.7858,10.0403,98.2563,118.081,0.871369,-49.4233 
23,75,46.2227,0,46.05,0.2,-0.19,-0.01,23,5567.03,-0.023705,12.1206,10.5823,98.8831,-0.0352893,30.6558,5.8132e-12,-0.958964,0.446179,-2.28866,1.17173,-1.10284,-16.4709,-254.718,9.77872,5942.41,4210.61,-0.855251,0.549892,-2.08124,1.27545,-0.999125,0.0137595,-231.616,11.49,5965.51,-0.0490736,1.09507,0.00353548,4719.76,0.000112205,-0.0175851,12.0452,11.3624,73.2672,65.3946,0.681325,10.2048,9.96552,98.4338,118.109,-25.1666,-52.7142 
24,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,24,6111.07,-0.0794467,12.4414,11.3935,98.4022,-0.176348,176.982,53.0369,1.10335,-0.358489,-4.638,-3.11696,-2.27891,-32.7984,388.487,0.110154,5840.14,5630.47,1.30987,-0.151967,-4.22496,-2.91044,-2.07239,0.475153,434.49,3.51778,5886.15,0.0816712,0.986029,0.0010997,5319.99,-1.00467e-05,0.075148,10.4711,8.09921,98.4902,67.585,0.588266,10.9305,10.6747,97.979,117.461,0.511289,-49.8756 
25,97,43.248,4.1,48.55,-0.2,0.19,0.01,25,13134.3,-0.0251077,27.1875,10.6152,99.2228,0.204939,-59.5277,5.03584e-07,-1.59518,1.07051,-1.50954,-3.15913,-2.27101,-114.585,5583.64,75.0876,7475.64,9792.01,-0.873668,1.79202,-0.0665237,-2.43762,-1.5495,0.978782,5744.35,86.9925,7636.35,0.475427,0.974182,0.0205537,12082.5,0.000274972,0.811711,10.1213,8.49037,99.1304,68.1521,0.846565,10.5178,9.87404,98.5671,117.212,0.563318,-49.0596 
