cyc,sweep,VVA,ODT1,ODT2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
155,45.9,0,0.05,1,155,7094.98,0.190954,11.9582,11.0769,96.0045,0.47195,-436.099,10.4273,1.56698,-0.160211,2.47138,-3.89327,-1.41868,-139.528,-44.5282,26.2715,6130.13,11012,2.44555,0.718359,4.22852,-3.0147,-0.540109,-0.101859,151.173,40.7679,6325.83,0.0264386,0.679378,0.0117325,5717.91,2347.51,747.302,54105.5,0.00123455,0.0063557,-24.3422,-0.135654,100.061,71.5026,0.683001,10.753,9.82791,95.6296,120.317,4.43126,-48.8139 
156,46.05,3,0.05,1,156,6402.63,0.160906,10.2358,11.8044,95.728,0.24204,-201.924,317.394,5.16251,0.569264,2.12195,-1.52423,-1.16501,-110.583,1098.53,38.0808,4492.97,5524.34,5.85882,1.26558,3.51457,-0.827921,-0.468701,0.623802,1253.63,49.57,4648.08,0.23459,0.935282,0.0192668,5343.94,1262.48,2469.35,24559.5,0.00112872,0.125104,10.7089,9.50144,96.0687,69.567,0.420732,11.5597,10.7392,95.2905,119.299,0.77815,-49.7319 
157,46.05,0,0.05,1,157,6617.8,0.1876,11.2122,10.9233,95.8623,0.752112,-648.142,21.4479,2.39314,-1.01602,-3.11966,-0.718432,-1.14306,-123.831,32.3844,19.9966,5602.54,19855.9,3.17287,-0.236288,-1.56021,0.0612967,-0.363329,2.45225,206.069,32.8621,5776.22,0.0389607,0.781815,0.0103714,5289.14,1963.61,702.137,44525.6,0.0112646,-0.0120932,557.742,-166.94,135,40,0.621637,10.3723,10.0615,95.7236,120.474,39.2764,-80.4745 
158,45.9,3,0.05,1,158,7876.35,0.131995,12.4649,12.0499,95.5776,0.0590928,-127.997,499.999,3.22365,5.36833,1.15363,0.629941,0.22456,-148.094,926.058,28.5753,5950.55,5135.73,4.15616,6.30084,3.01865,1.56245,1.15707,0.813608,1133.77,43.9617,6158.27,0.173015,0.936456,0.0129795,6553.05,1957.65,2056.47,42881.4,0.00130786,0.10824,11.4054,8.92177,96.3164,70.2196,0.558281,11.6184,10.7708,95.1522,121.013,1.16413,-50.7931 
159,45.9,0,0.05,1,159,6950.68,0.0393881,11.9003,11.022,95.7132,0.0174775,-54.8889,7.51279e-05,3.32927,-0.702012,-1.67344,2.71616,0.714433,-131.087,-39.4303,19.0214,5950.18,4301.1,4.15469,0.12341,-0.0225971,3.54159,1.53986,1.00242,144.433,32.6409,6134.05,0.0260596,0.716595,0.00970717,5542.39,2272.36,733.855,52099.5,0.00134518,0.00438296,-0.0116866,2.66273,106.405,67.625,0.687689,10.4552,9.6088,95.41,119.781,10.9952,-52.1561 
160,46.05,3,0.05,1,160,7069.55,0.0313505,10.6798,12.1951,95.9805,0.082517,-114.698,500,1.61933,3.09297,-0.237242,0.634524,-0.930262,-174.845,1047.41,44.8798,4742.89,4547.88,2.72028,4.19392,1.96466,1.73548,0.170692,0.817834,1292.65,63.0456,4988.13,0.227491,0.921361,0.0227528,5682.21,1411.29,2431.22,28162.8,0.0016662,0.127745,11.1597,8.601,96.4812,68.8362,0.46116,11.3356,10.4143,95.5233,118.863,0.957945,-50.0272 
161,46.05,0,0.05,1,161,6747.87,0.194545,11.4371,10.8609,95.8201,0.281385,-1429.61,131.491,2.71373,2.38741,8.93927,-0.683339,4.45139,-118.8,-34.5447,14.5225,5764.84,17138.9,3.46179,3.13547,10.4354,0.0647139,5.19944,0.531978,132.084,26.8654,5931.47,0.0246804,0.737494,0.00827442,5351.77,2052.05,667.014,46917.7,0.00122671,0.0125736,8.69832,-2.04018,123.005,59.5923,0.630083,10.6118,10.1394,95.6054,120.27,27.4001,-60.6781 
162,45.9,3,0.05,1,162,7961.93,0.0400863,12.3033,12.5477,95.774,0.00240163,-27.7809,112.537,2.73868,1.24628,0.610252,-2.38468,0.264188,-176.313,991.074,21.3068,5982.19,5027.68,3.84888,2.35648,2.83065,-1.27448,1.37439,0.690162,1238.37,39.6251,6229.49,0.184273,0.946973,0.0115817,6720.32,1954.59,2202.98,42859.4,0.00138843,0.112449,11.1123,9.23487,96.4313,69.3153,0.560157,11.7055,10.5877,95.2804,120.141,1.15095,-50.8258 
163,45.9,0,0.05,1,163,6910.11,0.194173,11.5958,11.0452,95.8205,-0.0749892,48.6004,86.708,3.12958,1.70437,1.45737,-1.11945,1.53642,-126.589,32.6271,41.3191,5866.72,4288.01,3.92668,2.50147,3.05157,-0.322352,2.33352,0.734436,210.181,54.4712,6044.27,0.0380133,0.687977,0.01633,5529.14,2181.14,750.756,49758.5,0.00133559,0.00946215,2.8726,-9.21358,109.324,50.3187,0.661445,10.6537,9.71426,95.5194,120.208,13.8046,-69.8897 
164,46.05,3,0.05,1,164,7692.98,0.00666211,11.8192,12.2774,95.7045,-0.0133618,-1.00945,500,0.0261577,1.69172,1.33347,1.88304,0.364557,-155.435,1341.7,20.9008,5157.79,4724.21,1.00489,2.67045,3.29094,2.86177,1.34329,0.705412,1559.72,37.05,5375.81,0.247951,0.960089,0.0125366,6290.43,1598.34,2940.76,32528.8,0.001686,0.135514,11.6057,9.19111,96.4744,70.3407,0.490888,11.2764,10.7761,95.2995,120.487,1.17486,-50.1462 
