cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
0,201.5,2.954,43.14,10,0,23051.4,-0.185858,35.5375,14.6828,115.842,-0.14133,266.436,302.248,0.731464,1.10493,-1.31451,1.35946,-1.59552,-11.4169,11558.5,137.067,10541.8,18211.8,0.803353,1.17682,-1.17073,1.43135,-1.52363,2.63243,11567.6,137.894,10550.9,0.492445,0.979565,0.0235091,23490.2,-0.000341266,0.78757,14.9981,12.5715,115.261,90.3559,0.661016,14.6841,14.2936,115.312,141.124,-0.0515176,-50.7682,464.597,434.713,899.31 
1,201.5,2.954,43.1,10,1,16299.5,-0.19,25.8477,14.5311,115.816,-0.0324733,154.36,443.618,-2.31514,-0.895631,-2.98727,0.144267,-1.18342,-37.8565,7834.85,76.782,8207.63,12390.1,-2.07677,-0.657259,-2.51053,0.382639,-0.94505,0.567669,7865,79.5233,8237.78,0.457968,0.982613,0.017472,17173.7,-0.000723899,0.540989,15.0438,12.4417,115.095,90.4775,0.525033,14.7539,14.0124,115.248,141.152,-0.152159,-50.6743,316.71,339.408,656.118 
2,201.5,2.954,43.16,10,2,21806.3,-0.167542,34.0466,14.5448,115.869,0.195542,-279.036,4.9643,-0.630125,-2.62529,-2.92404,-2.05257,-0.9882,-18.0161,10943.8,115.549,10222.5,17896.6,-0.516683,-2.51184,-2.69716,-1.93913,-0.874758,0.684158,10958.2,116.854,10236.8,0.486472,0.981681,0.0205946,22525.8,-0.00043089,0.780053,14.7491,12.1344,115.094,89.1295,0.655048,14.6957,13.8797,115.339,139.256,-0.244667,-50.1268,436.255,417.831,854.085 
3,201.5,2.954,43.24,10,3,22844.5,-0.0912234,35.6628,14.4365,115.952,-0.0896287,44.9179,499.979,-1.31983,-3.39124,-0.356445,-1.08531,0.200568,-32.5814,11470.4,131.325,10640.5,16891,-1.11468,-3.18608,0.0538672,-0.880151,0.405724,1.01141,11496.3,133.685,10666.4,0.488179,0.980056,0.0225665,23549.4,-0.000495048,0.816174,14.6367,12.2666,115.263,89.8099,0.677018,14.6881,14.1084,115.472,140.445,-0.20932,-50.6346,458.013,438.872,896.885 
4,201.5,2.954,43,10,4,22618,0.0214728,35.0394,14.5737,115.941,-0.00835791,-8.67493,499.983,-3.06569,1.2025,-0.808568,0.0404814,0.835754,-0.0256113,11554.7,132.116,10291.7,16625.8,-3.06553,1.20267,-0.808245,0.0406427,0.835915,0.549612,11554.7,132.118,10291.8,0.498384,0.980383,0.0231013,23184.4,-0.000483156,0.788886,15.0542,12.4563,115.267,90.2216,0.640622,14.8019,14.3382,115.475,140.799,-0.207238,-50.5777,462.819,426.127,888.946 
5,201.5,2.954,43.22,10,5,21292.1,0.00772167,32.7037,14.573,115.779,-0.0186274,-17.513,1.74842e-11,1.65119,-0.229065,-1.54001,-3.31658,0.0134998,17.7391,10945.4,130.398,9452.2,15525.3,1.53949,-0.340763,-1.76341,-3.42828,-0.0981984,0.568971,10931.2,129.113,9438.07,0.506164,0.979749,0.0245807,21596.3,-0.000369003,0.758697,15.0012,12.3264,115.225,89.419,0.577816,14.9646,14.5452,115.175,139.907,0.0503187,-50.488,438.983,394.516,833.499 
6,201.5,2.954,43.28,10,6,23195.3,-0.222134,36.2482,14.5946,115.875,0.0157753,134.14,370.578,0.955199,0.402765,-0.538208,1.30483,-0.398474,-46.5212,11751.1,131.732,10712,17290.5,1.24813,0.695697,0.0476553,1.59776,-0.105543,0.98632,11788.1,135.101,10749.1,0.492515,0.980338,0.0226289,23934.6,-0.000558657,0.82994,14.8106,12.2364,115.12,89.6605,0.672949,14.8499,14.1703,115.318,140.099,-0.198172,-50.4387,470.229,443.224,913.453 
7,201.5,2.954,43.12,10,7,20674.7,-0.241958,32.8114,14.523,115.662,-0.897773,635.769,17.0246,-0.0557989,-1.36211,-4.63334,-1.0067,-2.63872,10.1846,10005.8,116.894,10135.7,34093,-0.119929,-1.42624,-4.7616,-1.07083,-2.70285,0.527686,9997.68,116.157,10127.6,0.46627,0.980073,0.0206906,21441.8,-0.000636248,0.697857,14.688,12.5203,114.921,90.2591,0.637737,14.6476,14.3307,115.171,140.874,-0.250028,-50.6151,401.843,419.272,821.115 
8,201.5,2.954,43.26,10,8,23015.3,-0.218563,36.2412,14.4784,115.859,0.02401,2.021,373.95,-0.57074,3.04305,-0.457048,-0.146246,-0.148635,-3.79922,11773.3,118.421,10535.9,17082.7,-0.546817,3.06697,-0.409203,-0.122323,-0.124712,1.21954,11776.3,118.696,10538.9,0.497199,0.982667,0.0203253,23685.2,-0.000489928,0.827144,14.7586,12.3378,115.298,89.5833,0.673734,14.5895,14.0641,115.147,140.049,0.151097,-50.4656,470.806,432.708,903.514 
9,201.5,2.954,42,0,9,21934,-0.188196,34.3329,14.4987,115.724,0.0498182,-57.5195,234.308,-0.782168,2.79734,-1.99586,-2.60653,1.40984,4.12852,11164.7,122.509,9981.83,16297.7,-0.808165,2.77134,-2.04785,-2.63253,1.38384,-0.535858,11161.4,122.21,9978.54,0.497452,0.981199,0.022063,22437.2,-0.000468329,0.792911,14.7853,12.1995,114.951,89.6568,0.631974,14.6881,14.251,115.252,140.283,-0.301694,-50.6258,447.03,414.015,861.044 
