cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.8,46.05,0.2,-0.19,-0.01,0,7268.93,0.0597693,12.9352,11.6824,116.396,-0.162073,-189.032,205.426,-8.19513,-8.49729,-9.06157,-7.54552,-12.477,-283.583,1003.61,43.4387,6437.15,5916.6,-6.40949,-6.71165,-5.49028,-5.75988,-10.6913,0.843415,1229.5,63.9736,6663.04,0.140374,0.916543,0.0173792,8758.73,-0.000223109,0.13338,10.3734,10.2005,116.641,86,0.56714,12.5291,10.9861,115.11,133.222,1.53069,-47.2225 
1,7,43.248,4.2,46.05,-0.2,0.19,0.01,1,7360.57,0.133898,12.6076,11.4329,116.259,-0.40685,213.957,499.998,-9.617,-9.03006,-14.3287,-7.59359,-9.14304,-241.643,-68.4104,24.2326,7182.88,7525.99,-8.09545,-7.5085,-11.2856,-6.07203,-7.62148,0.721914,124.067,41.7306,7375.35,0.0146682,0.629476,0.0103153,8458.22,5.96198e-05,0.0317406,5.08045,13.4867,119.799,93.2235,0.703664,12.0157,10.3136,114.788,133.507,5.01167,-40.2838 
2,97,43.248,4.2,48.5,-0.2,0.19,0.01,2,17325.2,0.130911,31.0922,11.4691,115.428,-0.0684486,132.07,496.174,-7.16885,-6.07109,-9.71029,-5.58421,-9.24284,-175.623,8633.9,20.6743,8103.21,11902.8,-6.063,-4.96524,-7.49858,-4.47836,-8.13699,0.759215,8773.79,33.3916,8243.1,0.485048,0.993384,0.00740683,18088.5,0.000444731,1.01944,11.5057,9.25618,114.551,84.945,0.820978,11.8868,9.99892,114.79,133.262,-0.239374,-48.317 
3,97,43.248,0,48.5,-0.2,0.19,0.01,3,20563.4,0.15245,36.7052,11.6981,115.523,-0.15674,-58.9682,470.8,-6.03455,-1.99918,-10.991,-6.85005,-5.53615,-203.388,10926.8,40.7247,9093.93,14278.6,-4.75387,-0.718499,-8.42968,-5.56937,-4.25547,0.64472,11088.8,55.4525,9255.94,0.51461,0.991325,0.0109156,21548,0.000350296,1.23935,11.8025,9.39214,114.733,84.9711,0.918866,11.8584,10.0731,114.828,133.468,-0.0948707,-48.497 
4,95,43.248,0,40,-0.2,0.19,0.01,4,9626.39,-0.00291789,17.0515,11.714,115.97,-0.0112709,6.47316,0.0075318,-6.16577,-6.82076,-11.5104,-6.22797,-4.32746,-198.201,-26.1718,89.6076,9487.32,6504.63,-4.91775,-5.57275,-9.01432,-4.97995,-3.07944,0.67297,131.703,103.96,9645.2,0.0119396,0.419927,0.0194684,11030.8,-0.000334507,0.0264384,-10.2355,47.276,124.024,113,0.918666,11.7084,10.2111,114.5,133.501,9.52428,-20.5015 
5,75,46.2227,0,46.05,0.2,-0.19,-0.01,5,7837.05,0.120075,13.7097,11.4212,115.933,-0.219607,149.769,500,-5.54692,-8.672,-11.1055,-6.04802,-3.3737,-183.534,-106.199,16.3179,7796.88,6167.93,-4.39125,-7.51633,-8.79414,-4.89236,-2.21804,0.683802,39.9927,29.608,7943.07,0.00443591,0.435619,0.00681966,9015.66,-5.99209e-05,0.0313167,-4.38376,-15.7507,120.107,95.0179,0.753432,11.9761,10.4966,114.619,133.826,5.48797,-38.8084 
6,75,47.3227,2.8,46.05,0.2,-0.19,-0.01,6,8211.53,0.0819934,13.5349,12.4914,116.149,-0.142003,-50.2264,361.285,-7.45762,-5.95183,-8.7125,-4.48169,-6.52054,-155.714,1279.5,41.1199,6851.52,5735.92,-6.47714,-4.97135,-6.75152,-3.5012,-5.54006,0.752158,1403.53,52.3955,6975.55,0.151146,0.938677,0.0136478,9285.9,-4.88714e-05,0.139864,10.8583,11.0762,115.83,85.4916,0.565793,13.2616,11.2603,114.976,132.743,0.853724,-47.2517 
7,7,43.248,4.2,46.05,-0.2,0.19,0.01,7,6751.38,-0.00348418,11.4551,11.7513,116.535,0.00463474,-6.47759,1.45299e-06,-6.50565,-6.63568,-7.13667,-5.92389,-6.73517,-162.237,-32.2317,63.2019,6515.57,4383.08,-5.48409,-5.61412,-5.09354,-4.90233,-5.71361,0.809997,96.9959,74.9499,6644.8,0.0127532,0.425126,0.020355,7605.62,-0.00101496,0.011006,34.4051,55.7243,135,113,0.612433,11.7685,10.5343,114.946,133.339,20.0542,-20.3394 
8,97,43.248,4.2,48.5,-0.2,0.19,0.01,8,17560.8,0.236496,30.7229,11.5428,115.276,-0.168195,43.7697,399.433,-8.83529,-4.33735,-3.80586,-1.23322,-3.86233,-90.7498,8774.12,17.3485,7925.28,11784,-8.26387,-3.76592,-2.663,-0.661796,-3.2909,0.857177,8846.41,23.9199,7997.56,0.494664,0.99529,0.00547936,17883.7,0.000694036,1.02979,11.4929,9.27807,114.509,84.9996,0.805651,11.8311,10.0469,114.416,133.354,0.0927789,-48.3541 
9,97,43.248,0,48.5,-0.2,0.19,0.01,9,19221.4,0.131506,35.2304,11.3652,115.474,-0.96008,701.088,80.9493,-4.44618,-7.50158,-6.21635,-1.75201,-2.08267,-131.985,9784.43,13.2363,8868.11,34946,-3.61511,-6.6705,-4.5542,-0.920931,-1.2516,0.7323,9889.56,22.7936,8973.24,0.493754,0.995983,0.00465748,20029.3,0.000375863,1.17412,11.3944,9.20422,114.697,85.2836,0.916183,11.6853,10.0135,114.69,133.724,0.00774661,-48.4409 
