cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,-3.971,43.2517,17,9558.36,-0.0622388,29.1634,8.71044,123.877,0.0336087,42.1275,0.013269,-5.69292,-5.97594,-6.66856,-6.7152,-7.18463,-655.811,6195.74,28.7137,6040.43,8315.47,-1.56345,-1.84647,1.59038,-2.58573,-3.05517,1.21317,6718.12,76.2026,6562.81,0.555234,0.980536,0.0209413,12099.6 
18,-3.98,43.2427,18,9153.31,0.0558138,28.2038,8.56857,123.732,-0.147436,-14.0014,29.1102,-3.0819,-1.59886,-8.39437,-8.82634,-4.9269,-610.5,5877.44,32.7918,5952.5,7934.23,0.762258,2.2453,-0.70605,-4.98219,-1.08275,0.812392,6363.72,76.9997,6438.79,0.546546,0.979264,0.0215544,11643.5 
19,-3.965,43.2577,19,9346.03,-0.497795,29.6381,8.75431,123.834,0.90029,-25.5073,52.1408,-2.34417,-4.10117,-9.3472,-10.0111,-4.66448,-709.177,6316.7,48.5676,5833.8,9193.87,2.12133,0.364331,-0.416204,-5.54561,-0.198978,0.886751,6881.58,99.9208,6398.69,0.567389,0.97522,0.0279617,12128.5 
20,-3.983,43.2397,20,8487.6,-0.473989,27.2312,8.74421,123.614,0.806488,270.5,465.32,-5.429,0.575441,-7.69941,-5.81085,-3.30016,-599.283,5519.66,18.0855,5572.28,14853.1,-1.65547,4.34897,-0.152359,-2.03733,0.473363,1.15592,5997.01,61.481,6049.63,0.547287,0.982375,0.0183769,10957.7 
21,-4.004,43.2187,21,9558.67,0.00269076,28.999,8.73397,123.808,-0.0143635,-40.8783,0.000192991,-9.07738,-4.74493,-10.8517,-6.0291,-6.71137,-661.687,6129.13,39.0655,6137.45,8264.1,-4.91091,-0.57846,-2.51873,-1.86263,-2.5449,0.797132,6656.19,86.9799,6664.51,0.549141,0.977643,0.0234773,12121.1 
22,-3.956,43.2667,22,10148.1,-0.0499514,31.0811,8.58306,123.768,0.0400007,-6.59203,500,-2.71789,-1.68569,-6.33935,-5.27094,-6.70805,-647.242,6540.44,27.5485,6265.1,8692.87,1.35762,2.38982,1.81167,-1.19543,-2.63254,-0.0465219,7055.99,74.4168,6780.65,0.559284,0.981878,0.0198163,12616.1 
23,-4.022,43.2007,23,9839.87,-0.0360638,31.356,8.45478,123.984,-0.017929,75.6918,0.219072,-3.61867,-2.43309,-9.77418,-4.68128,-5.55325,-714.503,6811.56,28.3096,6047.77,8674.34,0.880372,2.06595,-0.776106,-0.18224,-1.05422,1.83116,7380.69,80.0485,6616.9,0.576322,0.981374,0.0217992,12806.5 
24,-3.953,43.2697,24,10048.8,-0.0230797,30.3489,8.63407,124.116,0.00228779,-36.0714,500,-1.20346,0.288088,-8.86868,-7.80912,-5.42506,-741.804,6500.73,27.7046,6243.53,8532.77,3.46748,4.95903,0.473202,-3.13818,-0.754116,0.9055,7091.6,81.4204,6834.4,0.558578,0.980304,0.0214743,12695.8 
25,-4.034,43.1887,25,9334.76,-0.398665,30.0304,8.61992,123.735,0.523511,-126.907,0.00962408,0.483783,1.06577,-6.35901,-10.1005,-6.24902,-724,6326.41,30.5157,5825.18,10589.5,5.04262,5.62461,2.75866,-5.54167,-1.69018,0.554626,6903.1,82.9423,6401.88,0.568033,0.979406,0.0233099,12152.6 
26,-3.989,43.2337,26,7572.55,-0.43478,23.9787,8.95848,123.826,0.419477,-687.957,29.3831,-1.19432,0.696367,-7.32166,-8.24598,-9.21611,-725.166,5042.02,37.0379,5047.14,16387.2,3.37186,5.26254,1.81069,-3.67981,-4.64994,0.144022,5619.65,89.5489,5624.76,0.549225,0.97287,0.0284916,10232 
27,-3.995,43.2277,27,8216.1,-0.468588,26.4376,8.76036,123.696,0.818034,-2295.82,351.495,-2.76312,-2.10646,-7.5216,-3.95205,-3.05092,-633.88,5590.34,21.2811,5308.6,68676.3,1.22826,1.88491,0.461147,0.0393263,0.940451,0.89874,6095.25,67.1819,5813.51,0.561137,0.981076,0.020844,10862.3 
28,-4.013,43.2097,28,9912.77,-0.0216987,29.6907,8.75941,123.657,-0.00674548,-11.5903,500,-5.74876,-0.715479,-6.58481,-7.33352,-7.81646,-665.217,6365.33,32.6619,6113.94,8468.8,-1.56007,3.47321,1.79257,-3.14483,-3.62776,1.58449,6895.2,80.8319,6643.81,0.558627,0.979897,0.0219207,12343.1 
29,-3.95,43.2727,29,9448.84,-0.515364,29.9729,8.79749,123.94,0.838245,-122.373,167.92,-1.64689,-4.10002,-7.68523,-8.28917,-6.77827,-670.086,6109.82,24.7305,6222.63,11923.1,2.57246,0.119327,0.753471,-4.06982,-2.55892,1.23668,6643.57,73.253,6756.37,0.545279,0.981069,0.0195811,12183.8 
30,-3.986,43.2367,30,7689.3,-0.0244929,24.7486,8.58827,123.914,-0.0067944,16.3831,500,-2.79978,-2.87642,-10.3184,-3.91981,-4.61985,-647.568,5213.28,35.5028,5162.13,6922.76,1.27778,1.20114,-2.16323,0.157755,-0.542288,-30.4254,5729.09,82.3948,5677.94,0.55167,0.97545,0.0260355,10385 
31,-4.04,43.1827,31,10491.3,-0.102286,31.5964,8.66355,123.865,0.180529,65.5877,500,-7.55055,-2.80522,-9.70027,-2.8484,-8.75991,-540.46,6665.06,20.425,6441.86,9296.5,-4.14742,0.597913,-2.894,0.554732,-5.35678,0.742654,7095.55,59.561,6872.36,0.557349,0.985523,0.0157142,12730.9 
32,-4.037,43.1857,32,10042.3,-0.122552,30.6596,8.75284,124.132,0.0257421,27.6324,3.69384e-07,-2.21758,-2.99256,-12.4926,-9.32361,-9.68206,-696.809,6661.63,37.1653,6230.06,8759.1,2.17004,1.39505,-3.7174,-4.93599,-5.29445,0.641964,7216.67,87.6229,6785.09,0.564665,0.979194,0.0232362,12780.4 
33,-3.992,43.2307,33,7727.68,-0.220441,24.1279,8.91197,123.738,-0.14406,337.771,0.0215987,-4.8223,-0.0689308,-9.38683,-8.35937,-7.96462,-749.173,5084.82,28.7273,5245.59,8583.86,-0.104963,4.64841,0.0478521,-3.64203,-3.24727,1.02082,5681.56,82.9767,5842.34,0.542533,0.975079,0.0254957,10472.3 
34,-3.974,43.2487,34,10069.4,-0.365596,29.9483,8.87914,123.658,-0.246351,127.554,1.06587e-05,-4.19332,-3.18102,-7.16009,-4.98189,-2.95013,-594.039,6214.99,40.5175,6250.65,9679.33,-0.452811,0.559488,0.320919,-1.24138,0.790376,14.7102,6688.17,83.5334,6723.82,0.548134,0.97861,0.0223734,12201.7 
35,-3.977,43.2457,35,9837.45,-0.271802,29.2646,8.82899,123.694,-0.131736,226.295,498.777,-3.74976,-5.7061,-8.36919,-2.85188,-4.4216,-653.65,6231.47,36.4336,6184.69,9381.48,0.366102,-1.59025,-0.137471,1.26397,-0.305747,0.659209,6752.12,83.766,6705.34,0.551171,0.978751,0.0224947,12250.5 
36,-4.007,43.2157,36,9297.1,-0.0190846,28.937,8.54047,123.721,-0.0283957,12,500,-6.23433,-2.00178,-9.11374,-2.55235,-4.74943,-597.558,6083.69,14.1795,5888.94,8056.17,-2.47167,1.76088,-1.5884,1.21032,-0.986766,0.234739,6559.67,57.4502,6364.92,0.5569,0.984905,0.016355,11778.9 
37,-3.998,43.2247,37,9021.08,-0.0180155,27.1909,8.72609,123.73,-0.0387407,-81.0566,497.875,-6.56173,-2.68629,-9.18309,-6.0538,-6.58564,-651.016,5852.25,24.5657,5630.49,7826.16,-2.46246,1.41298,-0.984544,-1.95452,-2.48637,0.847945,6370.81,71.7073,6149.05,0.558205,0.980683,0.02103,11413 
38,-4.001,43.2217,38,9447.75,-0.0450658,29.4922,-8.43905,123.909,0.0243965,-17.8818,500,-2.73016,-2.75802,-10.6669,-2.1041,-5.48327,-652.281,6276.71,26.7622,5788.33,8116.26,1.37709,1.34923,-2.45243,2.00315,-1.37603,3.72189,6796.28,73.9955,6307.9,0.567835,0.981303,0.0211519,11968.8 
39,-3.959,43.2637,39,10112.8,-0.475619,30.6307,8.93226,124.016,-0.956815,-1558.77,133.81,-5.13377,-3.46236,-10.7541,-7.21884,-10.1622,-648.503,6511.05,41.7037,6217.49,57458.4,-1.05032,0.621093,-2.58717,-3.13539,-6.07874,0.788466,7027.61,88.6634,6734.05,0.55999,0.978398,0.0236796,12549.5 
