cyc,state,freq,microfreq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,97,43.23,43.23,4,48.55,-0.2,0.19,0.01,11,9186.7,0.118351,17.9751,9.62677,96.9655,-0.00184493,-37.0115,0.000779189,-0.636219,0.368195,2.12922,-3.35438,4.69668,-228.27,3026.21,33.9371,5079.81,5635.31,0.801138,1.80555,5.00394,-1.91702,6.13404,0.576929,3346.38,57.6535,5399.99,0.427468,0.970732,0.0192881,7828.37,0.00150153,0.51636,9.18817,7.67713,97.1039,71.827,0.66419,9.39224,9.32881,96.4242,122.199,0.679655,-50.3719 
12,75,47.3227,47.3227,2.25,46.05,0.2,-0.19,-0.01,12,4700.41,0.0898311,7.42158,10.7279,96.6665,0.56506,-641.894,3.40626e-05,-0.789795,-3.78807,-0.45197,-1.62091,1.87045,-113.717,399.332,43.3507,3392.09,14399.2,-0.0737514,-3.07202,0.980117,-0.904866,2.58649,3.02492,558.831,55.1654,3551.59,0.159363,0.852695,0.0278168,3506.65,0.00132394,0.0468214,9.50067,8.50902,97.0406,70.8729,0.401962,9.94053,9.5048,96.5181,122.018,0.522519,-51.1447 
13,97,43.248,43.248,4,48.55,-0.2,0.19,0.01,13,9379.92,0.0203467,18.0298,9.80911,96.9394,0.00502206,1.06822,1.56789e-11,-2.4845,1.18792,-3.63187,4.64887,0.0322011,-224.024,3189.89,63.8506,5103.23,5757.44,-1.07388,2.59854,-0.810636,6.05949,1.44282,1.09866,3504.11,87.1258,5417.45,0.437981,0.958302,0.0287731,8000.59,0.00171223,0.553567,9.19421,7.33592,97.1705,72.1564,0.681117,9.41545,8.90823,96.4178,122.713,0.75267,-50.5571 
14,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,14,10388,0.0781455,20.2296,9.93966,96.7737,-0.011412,-16.1347,9.55809e-05,2.67751,4.17489,-2.62008,-1.10683,2.60017,-128.975,3833.5,51.9921,5446.04,6551.66,3.48963,4.98701,-0.99584,-0.294712,3.41229,1.09396,4014.4,65.392,5626.94,0.462235,0.972284,0.0209589,8684.76,0.00147035,0.635963,9.41116,7.83556,96.9571,72.8745,0.681362,9.8678,9.34278,96.1786,123.671,0.778531,-50.7962 
15,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,15,4666.13,-0.00469376,7.9215,10.4358,96.4706,-0.0100048,17.0532,2.30857e-11,1.19329,3.79804,2.47901,-2.72676,-4.30138,-148.889,11.9298,24.291,3825.46,2696.64,2.1308,4.73555,4.35403,-1.78925,-3.36386,0.282374,220.761,39.76,4034.29,0.0618512,0.760351,0.0178312,3569.22,0.0050762,-0.00596017,-269.158,-108.733,135,40.0002,0.499594,9.61489,8.89532,96.3041,121.294,38.6959,-81.2933 
16,97,43.218,43.218,4,48.55,-0.2,0.19,0.01,16,9719.42,0.136058,18.6485,9.91798,96.9236,-0.0964604,158.128,0.221332,3.07917,3.10077,0.00488024,-2.48756,-1.95401,-194.058,3363.12,52.3706,5313.26,6517.45,4.3011,4.3227,2.44875,-1.26563,-0.732074,0.730161,3635.31,72.5325,5585.45,0.439512,0.966262,0.0233627,8271.23,0.00153297,0.568745,9.28365,7.57348,97.1925,71.7851,0.689899,9.70355,9.07957,96.3199,122.086,0.872595,-50.3007 
17,97,43.23,43.23,4,48.55,-0.2,0.19,0.01,17,9173.65,0.0301208,17.7371,9.89059,96.9086,-0.0415555,-1.00897,500,1.42602,0.958672,0.128275,0.72438,-0.338745,-184.148,3126.37,67.7996,4945.3,5712.19,2.58554,2.1182,2.44733,1.88391,0.820783,0.751685,3384.65,86.9318,5203.59,0.439358,0.956986,0.0298557,7703.63,0.00152427,0.541553,9.29794,7.54681,97.1274,70.9764,0.650247,9.55049,9.0474,96.4437,120.974,0.683699,-49.9979 
18,75,47.3227,47.3227,2.25,46.05,0.2,-0.19,-0.01,18,5003.24,0.209393,8.25854,10.2842,96.3995,-0.396803,-233.92,144.788,0.224963,1.40074,-1.80388,1.68993,0.228464,-146.245,395.059,25.1531,3708.05,5786.43,1.14583,2.32161,0.0378441,2.61079,1.14933,0.994791,600.182,40.3474,3913.17,0.155968,0.894739,0.0186393,3848.11,0.00136298,0.049427,10.2941,8.36429,96.0681,70.7431,0.426815,9.74847,9.79429,96.4229,121.89,-0.35477,-51.147 
19,97,43.248,43.248,4,48.55,-0.2,0.19,0.01,19,9587.47,0.017489,18.4485,9.82202,96.9318,0.0109126,-12.8242,499.445,1.75004,-2.12325,-4.02656,-2.90195,-2.40288,-198.719,3157.08,61.8668,5291.27,5903.25,3.00132,-0.871966,-1.524,-1.65067,-1.1516,0.306303,3435.8,82.513,5569.99,0.426337,0.959668,0.0265638,8058.89,0.00164603,0.544265,9.11481,7.66341,97.2176,71.3129,0.680209,9.53707,9.21569,96.3811,121.773,0.836504,-50.46 
20,97,43.248,43.248,0,48.55,-0.2,0.19,0.01,20,10411.8,0.257638,20.495,9.60933,96.7801,-0.195837,-35.8857,9.17735,0.559572,0.791825,-1.13937,-4.23583,0.593503,-184.071,3576.36,61.2356,5776.13,6639.94,1.71862,1.95087,1.17871,-3.07679,1.75255,0.665514,3834.54,80.3598,6034.31,0.433623,0.964623,0.0239442,8843.01,0.00151975,0.617587,9.06605,7.69494,97.0719,72.4502,0.733922,9.72529,9.29304,96.0947,123.191,0.977276,-50.7405 
21,75,46.2227,46.2227,0,46.05,0.2,-0.19,-0.01,21,4886.8,0.258425,7.95307,9.662,96.4734,-0.304728,-18.9299,209.213,-1.80218,1.07737,-0.925604,-3.09974,-0.278845,-220.629,34.8928,41.0571,3859.5,2689.26,-0.412932,2.46662,1.85289,-1.71049,1.1104,0.43962,344.347,63.9797,4168.95,0.0905087,0.754632,0.027493,3804.58,0.00431354,-0.00573595,292.457,67.3699,85.1824,40.0001,0.491261,9.25379,9.17902,96.3203,122.705,-11.1379,-82.7053 
