cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,47.2149,1.6,12,13451,-0.158929,27.4619,12.0646,122.515,0.204708,303.89,0.0703027,-3.55998,-6.85405,-8.09251,-3.25482,-3.79257,-575.297,277.087,132.209,15125.4,12810.5,0.0625151,-3.23155,-0.84752,0.367674,-0.17008,0.778076,735.332,173.868,15583.7,0.043805,0.707322,0.0201386,16786.5,-0.00167642,-0.0133358,18.5689,6.30985,105.301,73.9871,1.26182,12.5015,12.0244,122.172,130.683,-16.8702,-56.6957 
13,47.2159,1.5,13,12667,0.019537,25.9516,11.896,122.584,0.00568054,10.7839,3.943e-12,-0.444851,0.758206,-5.87834,-2.00043,-0.592118,-708.133,236.205,121.673,14464.6,10051.8,4.01407,5.21713,3.03951,2.45849,3.86681,0.836551,800.259,172.95,15028.7,0.0491566,0.725581,0.020759,16279.8,-0.00174522,-0.016574,20.9554,5.82076,103,76.1032,1.2029,12.4704,12.0986,122.164,130.809,-19.164,-54.7056 
14,47.2959,8,14,12237.3,-0.0841884,26.2822,11.689,122.595,0.010854,119.982,500,-4.94631,-2.71769,-4.30197,-7.26409,-6.89998,-803.614,241.843,118.714,14420,10043.1,0.113836,2.34246,5.81831,-2.20395,-1.83984,-0.37522,881.951,176.905,15060.1,0.0537976,0.74018,0.0211802,16393.9,-0.00207334,-0.0159497,-16.2586,6.19463,104.85,73.7705,1.25583,12.2884,11.6878,122.256,131.176,-17.406,-57.406 
15,47.2369,2.5,15,12352.8,-0.0191987,26.109,11.7238,122.461,0.00438384,5.07996,500,-1.55118,-3.1458,-7.77807,-3.30443,-4.79261,-796.817,288.812,107.01,14436.5,9965.19,3.46616,1.87155,2.25662,1.71292,0.224732,0.763258,923.506,164.709,15071.2,0.056151,0.762127,0.0197346,16446.8,-0.00209132,-0.0286729,0.927061,2.3261,107.751,75.7216,1.24298,12.3566,11.7509,122.094,130.839,-14.3425,-55.1173 
16,47.3459,10,16,12574.8,-0.0143263,26.4481,11.8117,122.648,-0.00100642,4.88105,500,-5.07405,-0.25402,-8.09775,0.505202,-0.598931,-596.662,229.901,111.899,14719.2,10169.7,-1.31703,3.503,-0.583708,4.26222,3.15809,1.06469,705.164,155.105,15194.4,0.0431149,0.722062,0.0184571,16355.4,-0.00208655,-0.0157009,18.1827,6.16191,103.008,76.3059,1.2478,12.5058,11.8446,122.32,131.012,-19.3117,-54.7062 
17,47.5459,10,17,11822.7,-0.0806902,25.7668,11.4955,122.554,0.0177831,10.8442,9.88336e-07,-0.99787,-0.716338,-5.92975,1.75002,-0.955274,-645.887,126.317,99.1473,14047.5,9648.62,3.06911,3.35064,2.20422,5.817,3.11171,0.874423,640.79,145.918,14562,0.0409722,0.715051,0.0181242,15639.6,-0.00203511,-0.0125809,20.6514,7.92332,106.642,75.2858,1.23274,12.0709,11.7741,122.2,132.191,-15.5588,-56.9056 
18,47.2039,2.2,18,12686.9,-0.45302,27.8794,11.7274,122.535,-0.092598,325.293,250.237,-5.48633,-4.09649,-4.63212,1.67065,-4.53136,-710.63,137.985,102.606,15022.4,11623.9,-1.01168,0.378163,4.31718,6.1453,-0.0567051,0.558221,704.028,154.064,15588.5,0.0420061,0.723088,0.0178804,16760.1,-0.00215372,-0.0179628,18.5151,6.37675,107.46,76.1052,1.32465,12.1843,11.6172,122.266,131.543,-14.8051,-55.4379 
19,47.2209,2,19,11979.1,-0.136703,26.4256,11.413,122.259,0.0525286,-81.0636,0.00409731,-3.863,-5.21431,-7.20058,-6.53527,-2.63729,-714.974,360.704,86.0981,14042.2,9956.55,0.638999,-0.712307,1.80342,-2.03327,1.86471,-0.154896,930.207,137.871,14611.7,0.0582098,0.794043,0.0170845,15980.3,-0.00193618,-0.0130109,15.1958,6.22833,103.7,71.6032,1.2482,12.069,11.6113,121.988,131.371,-18.288,-59.7675 
20,47.2179,1.7,20,12396.6,-0.419373,26.9878,11.8588,122.786,0.14452,-81.3721,1.56522e-06,-2.73025,-3.356,-3.66718,-2.68967,0.614296,-856.001,324.338,117.23,14616.6,10801.3,2.65976,2.03401,7.11283,2.70034,6.0043,0.653223,1006.17,179.215,15298.4,0.0600214,0.762369,0.0211236,16763.6,-0.0021602,-0.0116187,-12.0945,5.7946,106.781,71.6754,1.25093,12.1989,11.9742,122.395,131.02,-15.6146,-59.3448 
21,47.2289,2.2,21,12427.8,-0.405645,26.8666,11.76,122.711,-1.96371,2172.57,87.3734,-3.20723,-0.950313,-7.9557,-10.3435,-2.23021,-724.017,309.974,98.3628,14403.5,149168,1.35171,3.60863,1.16218,-5.78459,2.32873,0.56418,886.68,150.791,14980.2,0.0543431,0.770648,0.018205,16316.3,-0.00190313,-0.0124341,-14.4503,6.14226,104.233,73.6223,1.25004,12.2073,11.7853,122.365,130.888,-18.1323,-57.2656 
