cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,6318.44,0.255932,10.0672,10.7526,95.94,-0.416811,0.235521,350.356,2.41295,0.946748,2.42854,0.105914,0.039936,-131.403,130.641,34.4913,5130.58,3527.05,3.24036,1.77416,4.08336,0.933323,0.867345,0.62533,314.946,48.1436,5314.89,0.0630896,0.788948,0.0164124,4992.05,-0.000131027,0.00393447,-54.9138,5346.85,72.322,92.9937,0.589693,9.96768,9.68913,95.7447,124.21,-23.4226,-31.216 
12,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,12,6704.65,0.233806,10.4382,11.4121,95.6019,0.124388,-95.7093,472.644,3.10317,-0.260133,-2.14456,-4.06719,0.693206,-122.592,382.31,31.3255,5290.05,4265.33,3.8751,0.5118,-0.600698,-3.29526,1.46514,1.30709,554.258,44.0624,5462,0.103391,0.877869,0.0146428,5360.82,0.00153703,0.0465679,10.0995,7.97037,96.7664,73.0962,0.560631,10.6891,10.0169,95.4313,124.79,1.33511,-51.6935 
13,97,43.248,4.2,48.55,-0.2,0.19,0.01,13,11346.7,0.232609,20.9682,10.2334,96.5415,-0.0429982,137.346,0.0105452,1.96811,0.635408,1.9222,1.55996,0.741839,-210.78,4679.33,15.8065,5632.92,7177.41,3.29533,1.96263,4.57665,2.88718,2.06906,0.690576,4974.97,37.7057,5928.56,0.48812,0.98691,0.0115802,10192.1,0.00182834,0.708563,9.67196,7.86555,96.8384,73.9424,0.676735,9.87506,9.46847,95.8588,124.932,0.979552,-50.9891 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,13684.9,0.0115176,26.0115,10.3327,96.2981,0.000227385,-14.9577,3.40362e-12,2.46948,2.27315,1.10213,1.26714,-2.55697,-200.612,5724.11,16.0046,6849.24,8749.48,3.73268,3.53635,3.62852,2.53034,-1.29377,0.700965,6005.49,36.8474,7130.62,0.489029,0.989377,0.0094293,12280.4,0.00199924,0.834026,9.7623,8.2153,96.445,74.5652,0.784023,9.94622,9.86141,95.679,125.678,0.765942,-51.1128 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,6904.32,0.00924121,11.7229,11.0954,95.7994,-0.0101866,12.9718,1.26086e-11,-0.405327,-1.49315,1.05365,2.46256,2.72515,-140.993,54.982,10.4913,5930.01,4238.53,0.482469,-0.60535,2.82925,3.35036,3.61295,0.70741,252.739,25.1399,6127.77,0.0447707,0.851736,0.00750077,5645.18,0.00140036,0.0150691,5.92937,-1.84264,102.563,63.7136,0.648498,10.3334,10.1018,95.5124,124.52,7.05083,-60.8067 
16,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,16,6701.72,0.27587,10.5723,10.8101,95.9132,-0.0074422,-165.027,0.567081,-3.29928,0.86462,-4.43574,0.365324,-0.192444,-154.81,403.284,21.1492,5231.28,3760.41,-2.32448,1.83942,-2.48615,1.34012,0.782355,-1.92925,620.421,37.2334,5448.42,0.114574,0.904958,0.0124321,5415.03,0.0017036,0.0460993,10.4292,7.91953,95.8993,74.0216,0.56566,10.2188,10.0236,95.5928,124.774,0.306472,-50.7523 
17,97,43.248,4.2,48.55,-0.2,0.19,0.01,17,11627.4,0.307569,21.6922,10.0351,96.2197,0.172954,-605.683,84.3556,-0.98463,-1.2036,0.175533,-2.49654,1.93671,-200.989,4347.81,71.3222,6101.61,10496.5,0.280941,0.0619707,2.70668,-1.23097,3.20228,0.460918,4629.72,92.2042,6383.51,0.451803,0.966321,0.025918,10247.2,0.00192184,0.671349,9.53366,8.02884,96.3969,73.5071,0.713759,9.87085,9.66764,95.7309,123.977,0.665957,-50.47 
18,97,43.248,0,48.55,-0.2,0.19,0.01,18,12488.4,0.0466721,24.339,9.94126,96.306,-0.0931589,66.2436,500,0.214626,0.153698,4.56532,-1.17141,-1.3015,-251.13,5231.82,36.5122,6301.39,8077.49,1.79593,1.735,7.72792,0.409892,0.279802,0.353233,5584.05,62.6037,6653.63,0.488149,0.980758,0.017037,11439.2,0.00186247,0.816889,9.28184,7.87133,96.3517,73.8028,0.760485,9.83014,9.50815,95.73,124.537,0.621676,-50.7343 
19,75,46.2227,0,46.05,0.2,-0.19,-0.01,19,5961.88,0.225973,9.7092,10.6986,95.8852,0.0381982,-191.208,21.3184,0.416446,1.70599,2.37269,-2.53979,1.70033,-142.91,53.6004,29.6625,5001.59,3619.25,1.31631,2.60586,4.17242,-1.63993,2.60019,0.539206,254.045,44.5102,5202.04,0.0525774,0.765339,0.0155171,4831.84,0.000264088,0.00325997,44.621,5395.48,79.6559,71.5059,0.558767,9.96201,9.81805,95.7374,124.853,-16.0815,-53.3467 
20,75,47.3227,2.2,46.05,0.2,-0.19,-0.01,20,6135.19,0.00820422,9.98827,11.3579,95.6965,-0.0201322,-0.574614,500,-0.783708,-2.80172,2.31945,0.166746,-2.12476,-122.975,404.024,40.456,4811.76,3693.4,-0.00936463,-2.02737,3.86814,0.941089,-1.35042,-1.72007,576.509,53.2327,4984.25,0.11617,0.86089,0.0192944,4962.64,0.00145251,0.0533152,8.83004,7.69275,96.5145,73.5115,0.514273,10.5835,9.9557,95.3552,124.009,1.15925,-50.4974 
