cyc,sweep,VVA,ODT1,ODT2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
108,46.05,3,0.1,2,108,9819.94,0.24993,14.7523,12.5378,96.4185,-0.0844864,-79.688,5.51656,1.91608,1.4726,-0.261261,0.971936,0.811883,-158.846,1257.41,33.5216,7359.64,6240.27,2.91629,2.47282,1.73916,1.97215,1.8121,0.840627,1480.2,50.0251,7582.44,0.181559,0.944159,0.0120074,8152.75,2560.25,2895.24,57511.3,0.00162208,0.133997,11.9236,9.01891,97.0883,70.4086,0.606688,12.1343,11.7537,96.097,121.428,0.991341,-51.0199 
109,46.05,0,0.1,2,109,9736.28,0.232898,16.0074,11.5619,96.4528,-0.413898,68.6869,491.877,-0.723681,3.70179,3.98318,0.331679,1.89233,-115.978,-27.6818,4.32502,8572.94,6950.29,0.0065997,4.43207,5.44375,1.06196,2.62261,0.59875,134.988,16.3747,8735.61,0.0172568,0.82489,0.00344109,7822.33,3848.3,713.487,93386.6,0.00143357,0.0196504,-5.07791,-4.81347,118.528,53.9032,0.845026,11.2549,10.6918,96.2391,120.139,22.2888,-66.2359 
110,45.9,3,0.1,2,110,10050.9,0.201621,15.4601,12.6417,96.5164,0.13919,-194.754,385.588,-1.74853,-1.76024,4.56694,2.80534,2.43161,-176.002,1287.93,4.92602,7572.04,7244.7,-0.640296,-0.652006,6.78342,3.91357,3.53984,0.475963,1534.79,23.2119,7818.9,0.182378,0.974216,0.0054389,8415.42,2724.47,2864.64,62121.7,0.00150958,0.12972,12.0132,9.62049,96.9972,70.1862,0.629934,12.2942,11.6367,96.1764,120.651,0.820837,-50.4651 
111,45.9,0,0.1,2,111,8663.81,0.0669974,13.4489,12.2576,96.2518,-0.157139,9.90844,500,-0.281471,0.711666,5.15386,-0.334909,1.29448,-169.138,-23.7936,39.8127,7418.95,5417.1,0.783545,1.77668,7.28389,0.730108,2.3595,0.43683,213.439,57.3854,7656.18,0.0307067,0.680037,0.0136191,6950.88,2862.82,736.062,67608.7,0.00164219,0.00747537,-7.52707,5.04461,98.2751,68.3861,0.717256,11.3953,10.5514,96.0082,121.065,2.26691,-52.6788 
112,46.05,3,0.1,2,112,10514.4,0.240312,16.2937,12.3447,96.402,-0.15113,-135.663,326.738,-2.47933,4.36477,0.637717,0.734571,0.550357,-170.973,1429.25,43.7436,7803.98,7215.23,-1.40276,5.44134,2.79086,1.81114,1.62693,0.728185,1669.05,61.507,8043.79,0.190802,0.939417,0.0138901,8747.59,2943.29,3544.63,66644,0.0017339,0.15185,11.6957,9.16192,96.9247,69.7412,0.663577,11.9848,11.5479,96.0273,120.162,0.897452,-50.4206 
113,46.05,0,0.1,2,113,9375.53,0.175047,15.6999,11.6658,96.3202,-0.188981,-107.603,500,-0.69939,0.404024,-0.519117,1.85263,-2.69347,-159.214,-11.1217,13.8164,8354.82,6624.17,0.303139,1.40655,1.48594,2.85516,-1.69094,0.659176,212.192,30.3581,8578.13,0.0273409,0.799763,0.006477,7760.95,3641,720.226,88001.6,0.00765888,-0.00888645,318.422,-126.803,135,40,0.813436,11.2077,10.8761,95.9862,120.052,39.0138,-80.0521 
114,45.9,3,0.1,2,114,10312.7,0.00398699,15.8385,13.0934,96.6025,-0.00179142,5.56524,1.28393e-12,-2.87039,1.5621,-0.907913,2.32792,0.498439,-160.362,1350.3,39.0168,7774.01,6751.2,-1.86064,2.57186,1.11159,3.33768,1.50819,0.833311,1575.22,55.6778,7998.93,0.182862,0.941748,0.0126599,8614.28,2850.14,3190.32,64809,0.0015762,0.146494,11.1898,9.16641,97.0057,70.4793,0.641058,12.4258,11.6121,96.1977,121.358,0.807986,-50.8786 
115,45.9,0,0.1,2,115,8912.37,-0.0128369,14.7939,12.1736,96.3544,-0.00936177,-7.19127,0.0539513,3.25643,-1.95284,7.87079,3.13306,1.46936,-116.08,7.71683,27.0483,7847.78,5864.87,3.98736,-1.22191,9.33264,3.86398,2.20029,0.486155,170.53,39.1085,8010.59,0.0236197,0.713605,0.00891319,7219.85,3243.96,762.726,77410.6,0.00133987,0.0154841,-4.06073,-0.0892493,94.5282,68.0588,0.762839,11.5155,10.6054,96.0575,121.16,-1.52933,-53.1012 
116,46.05,3,0.1,2,116,10239.9,0.133305,15.6022,12.6005,96.7296,0.0884141,-245.539,0.0214666,0.111051,0.753183,2.52899,0.331569,-2.12881,-203.248,1427.09,43.9881,7561.17,7106.52,1.39085,2.03298,5.08859,1.61137,-0.849016,0.451351,1712.16,65.1048,7846.25,0.198699,0.937608,0.0150549,8616.86,2765.94,3315.26,62322.7,0.00180816,0.149674,11.1173,9.37736,97.2364,70.3029,0.644236,12.084,11.3365,96.2342,120.72,1.00224,-50.4172 
117,46.05,0,0.1,2,117,9548.29,0.251526,15.3026,11.6895,96.415,-0.989239,355.642,41.5236,0.893213,-0.598895,1.61544,0.517049,0.301779,-102.02,26.44,-15.6534,8246.68,17275.9,1.5356,0.0434956,2.90023,1.15944,0.944169,0.559433,169.533,-5.05398,8389.77,0.0224471,1.05504,-0.00111091,7552.53,3553.72,725.422,85294.7,0.0062689,-0.00732944,8815.12,-90.7538,85.2187,40,0.807327,11.2269,10.6279,96.1402,120.277,-10.9215,-80.2773 
