cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,0,9493.35,0.268043,14.8922,11.8057,97.0448,-0.0805777,-60.8982,82.9334,-1.47414,-0.218485,6.01347,-1.6048,-0.261093,-137.684,631.529,34.8774,7681.44,5883.05,-0.607182,0.648476,7.74739,-0.737835,0.605868,-0.0118423,824.645,49.1822,7874.55,0.112036,0.905493,0.0113744,7360.53,0.00165479,0.0907952,9.49895,8.50872,96.9976,71.8455,0.729756,11.6088,10.5299,96.6562,122.455,0.341379,-50.6095 
1,97,43.248,4.2,48.55,-0.2,0.19,0.01,1,17174.5,0.245974,30.7499,11.2162,97.0693,-0.327352,761.696,425.478,-1.11166,0.819583,3.57253,0.150047,0.380187,-225.57,6614.81,84.0859,9376.81,19344.5,0.308698,2.23994,6.41324,1.5704,1.80054,0.479986,6931.2,107.522,9693.2,0.462803,0.97357,0.0200244,14976.5,0.00171128,0.874042,10.5093,8.6744,97.3341,72.2621,0.950419,11.1764,10.3858,96.5044,123.057,0.829723,-50.7953 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,18786.3,0.218782,34.5447,11.0945,96.9288,-0.251553,-663.718,66.9125,1.29562,3.29556,6.59038,4.39856,2.10304,-229.88,8292.39,33.0217,9559.56,17911.3,2.74312,4.74305,9.48537,5.84606,3.55053,0.640271,8614.82,56.9053,9881.99,0.512272,0.988572,0.0104964,16816.9,0.0015785,1.05257,10.639,8.75963,97.1285,71.6921,0.973896,11.0587,10.5152,96.2123,122.125,0.916132,-50.4327 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,9207.09,0.140163,15.6464,11.7661,96.5137,0.0102121,-92.6987,452.412,-0.510812,1.4798,-0.863222,0.139379,-0.13258,-98.9799,-10.9381,19.4603,8372.73,6023.79,0.112437,2.10305,0.383277,0.762629,0.490669,0.900501,127.891,29.7439,8511.56,0.0177812,0.710731,0.00639613,7192.48,0.00107863,0.012478,11.2451,3.95304,117.059,56.2933,0.815035,11.3268,10.7643,96.4243,121.4,20.6346,-65.1067 
4,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,4,10088.7,0.0127638,16.4604,12.2744,96.6967,0.0144369,-13.463,500,2.34267,1.5516,3.07334,-3.3296,-0.978341,-145.718,699.99,37.5782,8377.01,6583.42,3.26022,2.46915,4.90843,-2.41205,-0.0607933,0.398841,904.374,52.7177,8581.39,0.112668,0.907432,0.0111899,8026.93,0.0014157,0.0895693,10.1979,8.54783,97.1603,71.4582,0.75281,11.735,11.1941,96.4091,122.42,0.751219,-50.9614 
5,97,43.248,4.2,48.55,-0.2,0.19,0.01,5,17127,0.0375071,31.3981,11.1663,97.0196,-0.128981,-41.9331,500,0.940432,1.72034,4.54813,1.33052,0.487111,-193.993,6599.33,95.303,9375.17,11589.3,2.16195,2.94186,6.99118,2.55205,1.70863,0.572553,6871.43,115.458,9647.26,0.461831,0.971435,0.0215707,14878.7,0.00159527,0.895665,10.4658,8.57175,97.3713,72.0739,0.982108,11.0159,10.2096,96.3173,122.626,1.05401,-50.5522 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,18160.5,0.102451,33.6508,11.1101,96.9609,0.297364,-215.718,478.678,3.9424,1.88924,3.67717,0.962403,1.57828,-230.883,7817.21,27.4932,9516.84,14258.7,5.39621,3.34305,6.58479,2.41621,3.03209,0.683002,8141.05,51.4811,9840.67,0.499181,0.989055,0.00954491,16308.8,0.00147454,1.02068,10.5299,8.65324,97.0429,72.1669,0.965339,11.1411,10.4058,96.2782,122.627,0.764688,-50.4599 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,9186.04,0.19823,15.0129,11.7935,96.9683,-0.12763,-77.2109,202.273,0.729401,-0.893349,-0.0135862,-0.615517,-2.14741,-169.996,9.67567,38.377,8154.72,6084.52,1.79982,0.17707,2.12725,0.454902,-1.07699,0.389081,248.111,56.0389,8393.16,0.034391,0.716713,0.0121498,7214.43,0.00133976,0.0128829,-6.30527,6.74378,120.628,55.0238,0.785044,11.4687,10.6624,96.6151,121.689,24.0128,-66.6651 
8,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,8,10258.6,0.051839,16.7085,12.154,96.9386,-0.312442,-232.334,3.85202e-06,0.62692,0.378822,0.834622,-1.6975,0.31712,-151.713,764.257,36.5343,8425.17,8973.87,1.58222,1.33412,2.74522,-0.742196,1.27242,0.556635,977.05,52.2968,8637.96,0.119934,0.914353,0.0110296,8146.56,0.00151884,0.0908245,10.271,8.92634,97.4314,70.8913,0.778592,11.6264,10.961,96.7009,121.991,0.730485,-51.0993 
9,97,43.248,4.2,48.55,-0.2,0.19,0.01,9,16449.7,0.24514,30.1006,10.9401,96.9383,-0.168021,-8.28989,500,0.429287,4.50217,6.78939,4.71878,1.29895,-230.948,6527.42,99.0139,8888.52,10765.3,1.8835,5.95639,9.69782,6.173,2.75316,0.633545,6851.34,123.008,9212.44,0.472582,0.969538,0.0240061,14497.7,0.00164965,0.901222,10.433,8.40267,97.0384,71.77,0.95367,10.8489,9.94071,96.2797,122.132,0.758695,-50.3618 
