cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
0,202.3,3.398,43.2,10,0,28790.6,-0.0668534,47.9523,13.286,115.687,-0.036132,88.2044,500,0.349671,2.14172,1.70374,0.671572,1.43947,-26.0199,14678.8,85.72,13519.8,20843.3,0.513511,2.30556,2.03143,0.835413,1.60331,0.721311,14699.5,87.6042,13540.5,0.489979,0.989678,0.0117776,30000.4,-0.000290957,1.24569,13.4918,11.0502,115.044,89.8606,1.04926,13.3904,12.1817,115.02,139.856,0.0246132,-49.9956,578.323,532.975,1111.3 
1,202.3,3.398,43.34,10,1,28679.3,-0.145915,46.9762,13.6134,115.824,-0.0439605,48.7975,442.771,2.30543,2.47868,4.04714,-2.54895,-1.00627,-11.727,14834.1,113.26,13176,20887.8,2.37927,2.55252,4.19482,-2.47511,-0.932431,0.266521,14843.4,114.11,13185.3,0.499058,0.986725,0.0156919,29742.8,-0.000306848,1.20571,13.8675,11.2421,115.141,89.6653,0.961026,13.646,12.792,115.191,139.627,-0.0501669,-49.962,585.636,522.74,1108.38 
2,202.3,3.398,43.24,10,2,27104.6,-0.161894,45.3709,13.3811,116.027,0.152419,-96.9566,7.75889,-1.06799,-2.53556,1.86581,-5.36626,-0.990424,17.6571,13799.8,89.3938,12926.9,20244.6,-1.17917,-2.64674,1.64345,-5.47745,-1.10161,1.18758,13785.7,88.1152,12912.9,0.485802,0.988938,0.0124142,28377.3,-0.000483328,1.17074,13.6002,11.0114,115.42,89.7989,0.999878,13.2989,12.2996,115.334,139.849,0.0861628,-50.0505,545.99,509.313,1055.3 
3,202.3,3.398,43.38,10,3,29042,-0.0618208,48.1847,13.3793,115.93,-0.0395014,73.8674,500,-1.4865,0.878992,-1.0083,-3.27906,1.62786,33.8816,15411.5,89.7546,13139.1,21081.3,-1.69985,0.665649,-1.43499,-3.4924,1.41452,0.684415,15384.6,87.3011,13112.1,0.509401,0.990167,0.0121162,30201.3,-0.000386949,1.26994,13.5641,-11.3085,115.297,90.1845,0.982341,13.5224,12.5333,115.29,140.286,0.00721882,-50.1018,606.759,518.683,1125.44 
4,202.3,3.398,43.3,10,4,27821.4,-0.116969,45.356,13.6271,115.659,0.046648,122.048,289.155,-0.499892,-2.40342,-1.26154,-1.2058,0.481077,31.4127,14012.2,101.457,13082.3,20305.5,-0.697689,-2.60122,-1.65713,-1.4036,0.28328,0.727282,13987.2,99.1826,13057.2,0.486649,0.987743,0.0137995,28741.9,-0.000289967,1.12841,13.8029,11.3905,115.015,89.7895,0.956927,13.6417,12.8364,114.972,139.899,0.04301,-50.1093,552.829,522.187,1075.02 
5,202.3,3.398,43.26,10,5,25238.9,-0.11442,41.9681,13.3721,115.731,0.277593,-128.414,474.823,-0.428027,-0.922357,2.54981,-0.0600934,-0.09936,33.7491,12813.9,60.7367,11951.1,19429.4,-0.640536,-1.13487,2.1248,-0.272603,-0.311869,10.0387,12787,58.2928,11924.2,0.486912,0.992085,0.00892493,26261.4,-0.000352164,1.06439,13.6776,11.1031,115.028,89.5932,0.889436,13.5381,12.6689,115.195,139.726,-0.166937,-50.1326,503.514,475.175,978.689 
6,202.3,3.398,43.5,10,6,30192.6,0.0155971,50.0951,13.2527,115.883,0.00426354,-88.6057,0.259806,0.543568,-1.97863,-0.500627,0.207536,-1.17254,7.01632,15400.7,90.4929,14380.3,21624.3,0.499388,-2.02281,-0.588987,0.163356,-1.21672,0.813952,15395.1,89.9849,14374.7,0.486594,0.989875,0.0114,31638.5,-0.000462589,1.27922,13.6404,-11.1562,115.267,90.3016,1.09698,13.3477,12.4142,115.078,140.349,0.188728,-50.0477,606.297,566.139,1172.44 
7,202.3,3.398,43.22,10,7,29640.9,-0.107586,48.6609,13.482,115.817,0.089472,-36.0601,16.7446,-1.33072,0.972709,2.60505,1.06244,0.569223,34.5976,15214.2,97.5108,13729.2,21461.5,-1.54857,0.754857,2.16935,0.844588,0.351371,0.156419,15186.6,95.0055,13701.7,0.49517,0.989171,0.0126118,30669.5,-0.000234671,1.24314,13.6463,-11.3327,115.216,90.4076,1.02847,13.5482,12.506,115.139,140.61,0.0774384,-50.2028,598.84,542.839,1141.68 
8,202.3,3.398,43.44,10,8,29030,-0.112297,47.9056,13.4287,115.589,-0.0726722,80.9041,12.9451,0.703574,-3.6847,0.878779,-3.82373,1.59242,61.6216,14991.2,74.4156,13420.6,21133.2,0.315559,-4.07272,0.102749,-4.21174,1.20441,1.01542,14942.1,69.9534,13371.5,0.497209,0.991874,0.00954503,30051.9,-0.00017547,1.26773,13.5782,-10.9858,115.08,90.0308,1.03343,13.3478,12.2586,114.821,140.173,0.259338,-50.1423,588.85,526.557,1115.41 
9,202.3,3.398,43.32,10,9,28498.8,0.00208583,47.2049,13.3783,115.773,0.0202314,-45.4364,500,-0.128663,-1.149,-1.1487,0.275892,-1.34367,38.1464,14070.5,74.917,13909,20588.1,-0.368861,-1.3892,-1.6291,0.0356943,-1.58387,0.669911,14040.1,72.1547,13878.6,0.472365,0.991087,0.00948621,29723,-0.000321007,1.19103,13.5439,-11.0368,115.168,90.3552,1.07022,13.4752,12.1816,115.046,140.354,0.121761,-49.9985,554.42,547.035,1101.45 
