cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,4019.73,-0.00431247,9.29184,9.60771,98.5875,-0.0115313,-1.01733,500,1.72035,-0.59385,1.15638,0.972993,2.6699,-32.4012,-125.405,8.75056,4144.98,2906.52,1.92437,-0.389828,1.56442,1.17701,2.87393,0.781197,-79.9592,12.1169,4190.43,-0.0235306,1.3609,0.00529836,3398.1,0.00035314,-0.00506303,46.8165,10.261,82.8538,69.6383,0.553886,9.11809,9.396,98.3303,117.815,-15.4765,-48.1768 
12,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,12,4376.83,-0.00986029,9.08004,10.9331,98.1484,0.00171605,-16.2864,499.993,-2.56751,0.931618,-4.01213,-3.05687,0.587247,-29.0344,409.612,22.2172,3973.8,3232.57,-2.38469,1.11444,-3.64648,-2.87404,0.770069,0.48061,450.335,25.2338,4014.52,0.119061,0.910698,0.0114462,3782.39,0.000180482,0.0700668,9.50187,7.8259,97.9539,67.785,0.449874,10.3763,9.91187,97.9942,117.347,-0.0403022,-49.5616 
13,97,43.248,4,48.55,-0.2,0.19,0.01,13,9204.41,-0.00844681,21.3662,-9.4023,98.9206,0.00153358,20.1767,203.692,1.32443,-1.72538,-2.62789,-0.366882,1.17897,-95.6372,3839.69,34.2044,5374.49,6540.69,1.92663,-1.12318,-1.42348,0.235321,1.78118,2.01934,3973.83,44.1407,5508.63,0.464993,0.980932,0.0145461,8545.99,0.000222664,0.659636,8.98629,7.97982,99.1591,68.6375,0.720674,9.28816,9.38708,98.1946,118.021,0.964547,-49.3839 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,9911.01,-0.0210684,22.1359,9.8334,98.7171,0.0183406,-1.16778,238.44,0.688232,-0.25486,2.23633,1.57662,-1.94111,-112.369,4388.76,35.2893,5605.86,7086.62,1.39579,0.4527,3.65145,2.28418,-1.23354,0.442576,4546.36,46.9641,5763.47,0.487282,0.982243,0.0147885,9330.05,0.000126519,0.699353,9.37976,8.151,98.7284,68.8959,0.714316,9.80032,9.49609,98.0943,118.345,0.6341,-49.4493 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,4060.19,-0.0423714,9.7032,9.58431,98.3336,0.0595353,-95.0383,274.33,-2.37362,0.177119,0.0784672,1.09784,-2.04043,-10.7497,-79.8712,-11.9407,4224.94,3211.6,-2.30593,0.244807,0.213843,1.16553,-1.97274,1.08056,-64.7937,-10.8239,4240.02,-0.0187567,0.773791,-0.00472472,3454.42,0.000225892,-0.00462235,28.1298,20.9562,102.935,92.9282,0.569535,9.14594,9.55704,98.0784,118.097,4.85683,-25.1684 
16,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,16,3985.93,-0.0649043,8.99674,10.4416,98.5023,0.45627,254.192,28.6263,-1.41218,2.63736,1.14169,-3.47917,-4.22677,-26.2013,308.022,-6.96328,3823.72,6833.61,-1.24719,2.80235,1.47166,-3.31419,-4.06178,1.33838,344.772,-4.24106,3860.47,0.0971473,1.022,-0.00202782,3548.96,-7.4252e-05,0.068094,9.47391,7.7748,98.4228,67.4052,0.447766,10.1048,9.88385,98.155,117.795,0.267717,-50.3895 
17,97,43.248,4,48.55,-0.2,0.19,0.01,17,8974.86,-0.00622006,20.627,-9.66254,98.653,0.00647763,-39.0832,500,-0.813337,2.81486,-1.16895,-1.48793,-3.05779,-123.428,3765.39,47.4141,5273.63,6496.4,-0.0361427,3.59205,0.385434,-0.71074,-2.2806,0.59428,3938.51,60.2378,5446.75,0.465583,0.973932,0.0199658,8459.32,5.26846e-05,0.649964,9.09518,7.85828,98.8009,69.0506,0.708919,9.55539,9.28586,97.9908,118.896,0.810082,-49.8453 
18,97,43.248,0,48.55,-0.2,0.19,0.01,18,9887.17,-0.0438302,22.6543,9.69945,98.8121,0.33857,-675.356,19.5526,1.01404,1.71238,-0.640527,-0.978492,2.30035,-85.6412,4580.08,-9.51488,5528.01,14596.6,1.5533,2.25164,0.437992,-0.439232,2.83961,0.93407,4700.2,-0.617093,5648.13,0.500652,1.00023,-0.000201302,9388.15,7.97285e-05,0.733302,9.35786,8.11975,98.8121,68.4953,0.727959,9.46429,9.36119,98.267,117.862,0.545099,-49.3665 
19,75,46.2227,0,46.05,0.2,-0.19,-0.01,19,3529.53,-0.044571,8.99454,-9.08642,98.751,0.0419333,-8.85837,467.98,0.504806,-0.977565,-3.42019,-2.57157,-0.532593,28.1733,-141.962,-7.71638,3823.64,2672.62,0.327406,-1.15496,-3.77499,-2.74897,-0.709992,0.531726,-181.478,-10.6435,3784.12,-0.0613237,0.906918,-0.00520821,2959.34,-0.000389047,0.00267813,15.4394,8139.39,112.302,48.9045,0.549978,8.52389,9.28895,98.4899,117.719,13.8123,-68.8147 
20,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,20,3952.82,-0.0579288,9.1382,10.1147,98.9885,0.078228,-32.2886,482.857,0.171324,0.193729,0.645055,0.338106,0.375006,-37.4594,393.536,16.8738,3709.33,3091.14,0.407196,0.4296,1.1168,0.573978,0.610878,0.644156,446.076,20.7657,3761.87,0.125006,0.924671,0.0100661,3568.43,2.01925e-05,0.0605404,10.1282,8.84217,99.2876,68.0121,0.477854,9.24919,9.67897,98.6855,118.231,0.602145,-50.2184 
