cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.8,46.05,0.2,-0.19,-0.01,0,8467.09,-0.00694051,15.6714,12.5613,97.9146,-0.0105732,4.8598,500,6.10832,5.40773,11.4615,2.72842,-4.89581,-80.5896,999.533,44.1803,7948.48,6409.88,6.61577,5.91518,12.4764,3.23587,-4.38836,0.476987,1112.57,52.5532,8061.52,0.142571,0.923648,0.0118662,7803.63,-0.00039703,0.111436,11.3371,10.037,97.7069,67.581,0.642824,12.5331,11.8952,97.6433,117.656,0.0636854,-50.0751 
1,97,43.248,4.8,48.55,-0.2,0.19,0.01,1,16621.8,-0.146913,31.3672,12.0415,98.6626,-0.167494,27.0585,32.2204,6.39662,11.0531,6.42744,-0.446708,-3.71929,-101.492,7658.76,-2.00818,9461.57,12443.2,7.03568,11.6922,7.70558,0.192359,-3.08023,0.672738,7801.11,8.53642,9603.93,0.494606,0.998089,0.00163467,15772.4,-0.000367215,0.849918,11.3896,9.61578,98.7067,68.3403,0.830121,12.2218,11.3361,98.165,118.113,0.541682,-49.7723 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,16021.5,-0.020455,30.5108,11.8624,98.7856,-0.0196631,15.4357,500,8.98451,10.1729,7.62298,-0.0420201,-1.34248,-100.176,7387.92,117.006,9087.28,11791.9,9.61529,10.8036,8.88455,0.588762,-0.711703,0.695532,7528.43,127.414,9227.79,0.495699,0.971234,0.0248042,15187.5,-0.000482334,0.844667,11.4801,9.46089,98.8491,68.5081,0.853496,11.9851,10.79,98.1615,118.044,0.687584,-49.5356 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,7661.82,-0.00810752,15.2291,11.8506,97.997,-0.00578825,-5.46712,499.921,8.04462,8.43055,4.89356,-3.56584,-3.58365,-48.5176,-33.8658,41.7166,8143.89,5876.09,8.35012,8.73605,5.50456,-3.26034,-3.27814,0.657085,34.1848,46.7574,8211.94,0.00499042,0.29467,0.0103798,6850.09,-0.00118088,0.00649422,141.618,14.6394,76.3681,47.8263,0.77223,11.7679,10.8946,97.7361,117.121,-21.368,-69.2948 
4,75,47.3227,2.8,46.05,0.2,-0.19,-0.01,4,8297.38,-0.140823,15.8035,12.4151,97.8708,0.118213,45.8196,48.6969,3.82932,9.41585,6.98205,-1.32952,-4.18889,-90.8687,984.301,42.3683,7813.66,6563.32,4.4015,9.98803,8.12641,-0.757343,-3.61671,0.552064,1111.75,51.8092,7941.11,0.14433,0.924597,0.0118755,7702.87,-0.000502126,0.113507,10.904,10.1556,98.2871,67.9746,0.631797,12.4869,12.0574,97.584,118.324,0.703127,-50.3498 
5,97,43.248,4.8,48.55,-0.2,0.19,0.01,5,14944.3,-0.160374,29.0216,11.8119,99.1576,0.147173,-158.334,295.792,4.72153,9.41041,11.6011,-1.79004,-2.33695,-137.458,6798.93,99.8407,8758.79,11917.8,5.58707,10.2759,13.3322,-0.924504,-1.47141,0.502517,6991.73,114.122,8951.59,0.484811,0.972229,0.0229458,14421.6,-0.000601614,0.795646,11.3281,9.29985,99.2072,68.8482,0.823321,11.8148,10.9506,98.6113,118.718,0.595859,-49.8694 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,16322.1,-0.0599049,31.0724,11.8227,98.4125,-0.0328735,108.346,500,7.83545,8.42519,7.55512,2.98462,-2.32981,-93.5902,7762.51,-15.8303,9084.19,12074.7,8.42476,9.01451,8.73374,3.57394,-1.7405,0.688152,7893.78,-6.10664,9215.46,0.50788,1.00136,-0.00122217,15542.6,-0.000471972,0.879131,11.3496,9.46983,98.4674,68.3889,0.844802,12.0418,10.9297,97.8085,118.066,0.658848,-49.6774 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,7803.59,-0.0865613,15.0599,12.1541,98.3085,-0.00492985,109.961,499.831,7.45274,5.05635,3.25145,-4.01501,-4.57594,-46.1319,-77.5838,15.0618,8339.39,5976.23,7.74322,5.34683,3.83241,-3.72453,-4.28546,0.569995,-12.8793,19.8547,8404.1,-0.00184981,-0.589002,0.00433312,6962.52,-0.000812137,0.0087028,33.9842,13.763,135,49.5397,0.747585,12.0414,11.2521,98.1055,118.317,36.8945,-68.7771 
8,75,47.3227,2.8,46.05,0.2,-0.19,-0.01,8,8113.17,-0.167059,15.1942,12.8452,98.1033,0.2056,197.933,343.395,3.78025,7.66143,8.10917,-0.241172,-4.30076,-52.4305,887.565,68.2058,7830.28,7678.26,4.11039,7.99157,8.76945,0.0889684,-3.97062,0.483839,961.104,73.6531,7903.82,0.127785,0.881749,0.0168763,7521.27,-0.000652724,0.102657,11.0095,10.0278,98.3689,67.7158,0.622959,12.822,12.0065,97.8239,117.937,0.544984,-50.2208 
9,97,43.248,4.8,48.55,-0.2,0.19,0.01,9,16317,-0.153337,30.9142,12.0275,98.3666,-0.441393,258.129,486.122,5.0479,1.20886,13.288,-1.35768,-4.9656,-167.993,7912.89,7.74049,9014.38,15813,6.10571,2.26667,15.4036,-0.29987,-3.90779,0.21283,8148.51,25.1944,9250.01,0.514881,0.994618,0.00499232,15826,-0.000687153,0.850733,11.6215,9.78702,98.4623,68.4604,0.810301,12.2129,11.2595,97.7947,118.228,0.667644,-49.7675 
