cyc,freq,VVA,pulsetime,waittime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.188,1.62,0.64,0.15,0,14912.8,-0.0311728,27.2266,12.133,90.4284,-0.00290549,-8.48441,500,0.79575,0.369938,-2.47537,1.2691,3.60362,46.0744,7908.07,20.911,7462.88,10754.4,0.505631,0.07982,-3.05561,0.978981,3.3135,2.67676,7847.04,19.7143,7401.84,0.546426,0.995623,0.00488236,14360.7,5649.34,75141.4,67244.6,-1.24032e-05,0.750742,11.7899,10.4875,91.2616,70.1699,0.694583,11.6987,11.0857,89.8021,120.956,1.45945,-50.7859 
2,43.158,1.62,0.64,0.15,2,13438.4,-0.0580679,24.7686,12.0511,90.4322,0.0410493,-14.5133,1.0319,-3.39442,-0.454433,-1.26067,-2.12716,0.253153,104.556,6940.37,21.6053,6943.03,9736.17,-4.05278,-1.11279,-2.57739,-2.78552,-0.405207,0.764271,6801.87,18.8895,6804.52,0.531818,0.995164,0.00508772,12789.9,4734.85,60397.1,58309,3.56038e-05,0.686613,11.7825,10.0663,91.1394,68.5165,0.654581,11.4315,11.0687,89.877,118.991,1.26237,-50.4749 
4,43.378,1.62,0.64,0.15,4,12840.7,-0.0462404,22.867,12.4268,90.4609,0.103029,24.0334,496.409,-1.96793,0.817117,-3.49672,-1.82721,0.620832,80.0624,6432.49,25.4605,6702.52,9331.09,-2.47206,0.312985,-4.50498,-2.33134,0.116701,0.492608,6326.43,23.381,6596.46,0.521496,0.993574,0.00648693,12131.3,4105.79,49666.4,52964.7,0.000252449,0.610017,11.9208,10.3212,91.4199,69.5758,0.619516,11.5988,11.0344,89.6981,120.443,1.72171,-50.8667 
5,43.178,1.62,0.64,0.15,5,12697.6,-0.0514388,23.6188,11.9303,90.6544,0.01149,69.7084,4.23602,-0.468741,-0.678629,-1.7467,-2.22211,-0.205442,98.4147,6561.53,23.5519,6536,9198.91,-1.08843,-1.29832,-2.98608,-2.84181,-0.825133,0.669673,6431.16,20.9956,6405.63,0.532905,0.994319,0.0060016,12068.1,4271.56,55340.6,51562.7,7.63308e-05,0.665721,11.4814,10.0557,91.3507,68.4752,0.614269,11.3815,11.1333,90.0917,119.021,1.25897,-50.5457 
8,43.278,1.62,0.64,0.15,8,11558.2,-0.0258207,20.6359,12.3082,90.5509,0.0649857,-73.136,291.482,-2.41713,-1.38307,-1.43502,-3.19584,-1.31693,79.5464,5713.77,17.4082,6066.36,8422.95,-2.91801,-1.88395,-2.43678,-3.69672,-1.81781,0.808929,5608.4,15.342,5960.99,0.516709,0.995236,0.00471873,10854.1,3424.65,40742.9,44213.2,0.000319877,0.565362,11.6926,10.0148,91.2355,69.5634,0.57033,11.5477,10.8739,89.966,120.009,1.26952,-50.4459 
9,43.258,1.62,0.64,0.15,9,12899.2,-0.0406054,23.5246,12.1047,90.7115,-0.010059,-138.557,73.0484,-2.64818,-0.26215,1.44121,-1.82666,2.37028,103.021,6276.64,18.0696,6889.04,9315.22,-3.29688,-0.910848,0.143815,-2.47536,1.72158,1.02985,6140.17,15.3937,6752.57,0.50819,0.995632,0.00418184,12082.4,4275.48,49461.6,57635.7,0.000164611,0.62012,11.7281,10.1118,91.5516,69.1413,0.648749,11.5048,11.0628,90.0611,119.97,1.49046,-50.8284 
12,43.308,1.62,0.64,0.15,12,14765.8,-0.0160424,26.5691,12.2577,90.257,0.0180218,-39.7724,500,-2.15933,-2.05052,-1.77662,0.729176,3.09703,121.091,7419.58,23.3925,7629.11,10625.1,-2.92181,-2.813,-3.30158,-0.0333033,2.33455,0.509798,7259.17,20.2473,7468.7,0.524824,0.995143,0.00496904,13831.6,5358.91,67867.7,67295,0.000182923,0.715224,11.8801,10.3416,91.0134,68.6071,0.689056,11.6384,11.3343,89.7225,119.402,1.29095,-50.7951 
13,43.118,1.62,0.64,0.15,13,13185.3,-0.0509052,23.9005,12.2247,90.6501,0.0283955,15.7794,2.83094e-05,-3.5606,-0.0200954,1.73627,0.251616,-1.55629,100.17,6646.08,19.1255,6809.34,9525.91,-4.19135,-0.650839,0.474778,-0.379128,-2.18703,1.06848,6513.39,16.5237,6676.64,0.525747,0.99558,0.00453824,12388.8,4466.63,55802.1,56200.9,0.000211155,0.662318,11.711,10.0361,91.4076,68.4996,0.642858,11.6309,10.8621,89.958,118.89,1.44962,-50.3904 
14,42,0,0.64,0.15,14,14056.8,-0.0608759,25.4215,12.2824,90.5268,-0.379626,226.18,337.901,-1.68358,0.0798823,-0.682157,1.79672,0.154912,66.2419,7202.23,18.1007,7184.77,12959.5,-2.10069,-0.337225,-1.51637,1.37961,-0.262195,0.465477,7114.48,16.3802,7097.03,0.532527,0.995987,0.00423364,13359.9,4973.28,64319.3,60950.5,0.000147675,0.704789,11.7425,10.2089,91.3226,69.6527,0.658613,11.7427,11.1213,89.8548,120.549,1.46782,-50.8968 
15,43.208,1.62,0.64,0.15,15,13839.3,-0.0375053,25.2284,12.0842,90.6619,-0.0388022,210.084,4.71463,-2.31643,-0.568425,1.34462,0.365671,1.5883,81.9664,7066.41,23.6044,7034.78,10189.7,-2.83255,-1.08455,0.312383,-0.15045,1.07218,1.11643,6957.83,21.4754,6926.2,0.533049,0.994628,0.0056792,13052.9,4842.59,62654.9,59286.1,0.000169843,0.698809,11.647,10.1937,91.6078,68.8969,0.651217,11.5147,11.2825,90.0149,119.544,1.59289,-50.6468 
17,43.198,1.62,0.64,0.15,17,12985.7,-0.01917,23.6291,12.1275,90.6296,0.00623552,-4.71385,2.92946e-11,-2.47463,-0.59938,0.0440916,-0.28941,-0.444525,107.504,6516.62,25.1123,6704.09,9329.54,-3.15155,-1.2763,-1.30975,-0.966333,-1.12145,0.832628,6374.21,22.32,6561.68,0.524691,0.99391,0.00622701,12148.5,4281.69,54091.3,53342.4,0.000269602,0.657694,11.4982,10.0301,91.3499,69.0573,0.617781,11.6842,11.092,90.064,119.924,1.28598,-50.8666 
