cyc,sweep,VVA,ODT1,ODT2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.05,3,0.3,6,0,11339.4,0.00652798,16.399,13.7455,97.4455,-0.00339342,4.12765,5.34377e-13,2.31534,0.991849,1.47936,2.0874,0.479336,-176.708,1058.64,10.6209,9058.57,7338.38,3.42802,2.10453,3.70473,3.20008,1.59202,0.735931,1306.49,28.9801,9306.42,0.137581,0.962633,0.00570359,9496.13,3261.33,2115.93,76339.5,0.00161894,0.103674,11.7172,9.46816,97.7443,70.7236,0.648572,13.1797,12.6455,97.2142,122.426,0.530097,-51.7027 
1,46.05,0,0.3,6,1,11256.9,0.284523,16.7979,12.6356,97.6477,0.614638,-384.469,6.14501,1.45178,0.236536,0.787896,-0.57148,-0.100491,-151.687,56.2693,37.2877,9881.93,14602.2,2.40691,1.19167,2.69816,0.383651,0.854641,0.641918,269.025,53.0474,10094.7,0.0293941,0.743455,0.00958743,9152.34,4298.27,778.947,104581,0.00164422,0.00564706,-6.24479,4759.93,110.789,71.2025,0.837366,12.1539,11.2567,97.2826,121.15,13.5063,-49.9477 
2,45.9,3,0.3,6,2,12161.2,0.313667,17.4077,13.1316,97.5187,-0.214439,-50.6148,227.874,-1.13385,0.132144,5.13269,-0.673702,0.0520704,-167.398,891.532,26.927,9822.63,7794.69,-0.0797961,1.1862,7.2408,0.380357,1.10613,0.263674,1126.32,44.319,10057.4,0.112894,0.935577,0.00805205,9976.85,3986.54,1798.73,95290.7,0.00201703,0.0930201,11.3242,8.79728,97.6509,70.303,0.756734,12.7218,12.0118,97.2743,121.638,0.376605,-51.335 
3,45.9,0,0.3,6,3,11652.6,0.27559,16.9926,13.0562,97.2584,-0.325359,-8.74154,495.625,-0.226048,-0.00732926,7.32936,5.31241,2.4232,-144.447,111.971,40.5921,10188.7,7314.82,0.683499,0.902218,9.14845,6.22195,3.33275,0.54909,314.572,55.5996,10391.3,0.0332566,0.763763,0.00976013,9458.94,4435.46,824.14,107783,0.00197397,0.0207864,-7.18502,-3.63695,93.0013,68.6888,0.835283,12.4772,11.3838,97.0107,121.057,-4.0094,-52.3678 
4,46.05,3,0.3,6,4,10882.4,0.260161,15.6963,13.1527,97.3346,-0.183208,-91.5799,6.20705,2.35583,4.13722,1.3559,1.87181,-2.65643,-154.814,915.88,30.8992,8704.56,7266.76,3.33065,5.11204,3.30555,2.84663,-1.68161,0.744019,1133.02,46.9838,8921.71,0.126114,0.932341,0.00960775,8984.12,3162.02,1784.88,74204.6,0.00172128,0.0911268,11.6126,9.35776,98.2842,70.3686,0.661766,12.7981,12.1459,97.0265,121.618,1.2577,-51.2496 
5,46.05,0,0.3,6,5,10854.7,0.286223,15.8817,12.831,97.5351,-0.0982288,79.5031,32.582,1.95127,3.70836,1.67162,2.342,-0.550731,-142.747,37.6259,8.32088,9406.09,6887.88,2.85011,4.6072,3.4693,3.24084,0.348111,0.760994,237.843,23.1518,9606.31,0.0273654,0.854448,0.00441996,8691.39,3829.41,776.166,92515.5,0.00178179,0.0123832,9.526,4.73805,93.2515,67.9941,0.764863,12.4187,11.7013,97.4017,121.572,-4.15026,-53.578 
6,45.9,3,0.3,6,6,13243.8,0.307907,18.8515,13.4078,97.7343,-1.60348,1565.37,318.806,3.63349,0.122577,0.489317,1.50409,1.14698,-174.679,972.528,47.2561,10718.4,89937.8,4.7334,1.22249,2.68914,2.604,2.24689,0.800744,1217.53,65.4046,10963.4,0.112057,0.91407,0.0108701,10865.3,4495.94,2029.42,108072,0.00215287,0.0995975,11.5561,9.31177,98.5524,70.3786,0.788247,13.0429,12.2389,97.4496,121.429,1.10279,-51.0506 
7,45.9,0,0.3,6,7,12057.2,0.281127,17.8678,12.8735,97.2122,-0.336494,351.503,157.467,0.960167,1.108,1.61876,2.07626,-0.0179181,-144.119,-24.4313,22.1518,10659.9,11338.3,1.86765,2.01548,3.43372,2.98374,0.889564,0.693148,177.71,37.1253,10862.1,0.0182523,0.732284,0.00625671,9736.32,4663.53,764.621,113947,0.0158035,-0.0172977,386.939,166.666,135,40,0.833895,12.5751,11.9765,97.0293,122.171,37.9707,-82.1715 
8,46.05,3,0.3,6,8,11553.6,0.283172,16.4307,13.3195,97.5715,0.531084,220.926,428.455,2.22739,-0.506688,1.70306,0.374098,-0.484247,-173.172,1016.46,32.8142,9066.43,10943.7,3.3178,0.583728,3.8839,1.46451,0.606169,0.60594,1259.35,50.8061,9309.32,0.133243,0.934055,0.00995331,9451.56,3308.41,2138.02,77350.7,0.0018609,0.101942,11.8615,9.75578,98.6767,70.0065,0.658767,13.0773,12.4817,97.324,121.223,1.35269,-51.2168 
9,46.05,0,0.3,6,9,12615.9,0.221815,18.2402,13.2836,97.2969,0.0689394,13.6775,2.32688e-06,1.90786,-0.770646,5.09768,-1.07634,1.0601,-158.281,-40.6905,37.2061,11082.9,7918.22,2.90451,0.226006,7.09098,-0.0796891,2.05675,0.418703,181.314,53.6509,11304.9,0.0178993,0.658837,0.00866648,10129.7,4828.83,760.778,118212,0.00189681,0.0156508,-2.09868,-6.20079,105.292,66.5743,0.827522,12.8696,12.3673,97.0268,121.373,8.26492,-54.7988 
