cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,15,2.5,0,11030.4,-0.275517,21.1909,12.9541,88.9124,1.78424,-1249.92,500,-0.896949,-1.90877,-3.48842,3.02929,0.368656,-58.5185,961.981,1646.3,3787.78,81535.2,-0.528473,-1.54029,-2.75147,3.39777,0.737131,-3.01478,967.508,1660.67,3793.31,0.224708,0.249765,0.446429,4305.62,4127.03,4095.84,61413.5,-0.00119379,0.200304,12.9128,12.1885,89.9846,76,0.772547,12.5451,12.1687,88.6795,127.253,1.30507,-51.2534 
4,90,2.5,4,8280.37,-0.0447858,16.7573,12.3479,88.4627,-0.11242,87.6922,499.859,-1.24858,0.0128297,-2.17803,-1.1452,-0.528795,-37.0809,519.246,1345.6,3167.99,7056.75,-1.01509,0.246318,-1.71105,-0.911709,-0.295307,0.535903,522.748,1354.71,3171.49,0.157756,0.180663,0.440359,3313.66,2818.31,1214.67,42983.9,-0.00124826,0.104921,12.7461,13.3755,89.6039,76,0.648031,12.3694,12.2912,88.3152,127.922,1.28878,-51.9219 
5,1,2.5,5,12555.1,-0.0482605,23.8966,12.3908,89.2505,0.0707207,43.6085,1.38634e-10,-2.10745,-0.13117,-3.47013,-1.79759,0.414782,-126.332,1100.31,1833.62,4248.83,9739.35,-1.31197,0.664312,-1.87917,-1.00211,1.21026,0.189548,1112.25,1864.64,4260.76,0.228777,0.254206,0.44634,4861.71,5172.87,5385.86,77734.1,-0.000987659,0.230768,12.5055,11.8728,90.2641,76,0.874732,12.3656,12.1495,89.0149,128.262,1.24923,-52.2616 
6,30,2.5,6,10524.1,-0.282452,20.6278,12.6349,88.8618,0.240001,49.4906,0.0178004,-2.04662,0.45427,-3.42057,-0.522581,1.93939,-85.6606,876.591,1592.42,3644.18,8871.04,-1.50724,0.993652,-2.3418,0.0168016,2.47878,-5.50844,884.682,1613.45,3652.27,0.215845,0.238573,0.448666,4098.68,3818.19,3416.19,57128,-0.000996163,0.184888,12.4378,12.0656,90.297,76,0.750313,12.3833,12.1775,88.5171,128.074,1.77993,-52.0738 
11,150,2.5,11,8154.88,-0.292261,16.5783,12.684,88.6674,-0.103738,326.524,69.8196,-0.804588,0.953857,0.121623,-0.468931,-0.881553,-92.5955,315.08,1286.53,3140.65,7947.97,-0.221538,1.53691,1.28772,0.114118,-0.298504,0.467598,323.826,1309.27,3149.39,0.104619,0.123832,0.433685,3095.29,2826.04,467.11,42063.7,-0.00140226,0.0615229,13.8599,16.115,89.4534,76,0.633192,12.7342,12.7709,88.4943,126.341,0.959184,-50.3409 
12,105,2.5,12,8288.36,0.0151361,16.7131,12.2111,88.9178,-0.00762903,-6.54547,14.6533,-2.54291,0.247533,-2.41044,-2.57584,0.759269,-109.507,449.507,1360.22,3131.04,6645.24,-1.85337,0.937067,-1.03137,-1.8863,1.4488,0.567592,459.85,1387.12,3141.38,0.142622,0.159266,0.448551,3224.27,2772.31,943.621,41979.4,-0.00115509,0.0911037,12.7719,13.4889,90.4678,76,0.634766,12.5059,12.5592,88.7563,126.73,1.71144,-50.7303 
13,60,2.5,13,9043.55,-0.275948,17.8051,12.7903,88.8761,0.115865,-45.0526,310.539,-0.936573,1.13797,-0.628682,-0.86348,-2.23373,-109.389,643.642,1434.3,3242.31,7583.38,-0.24778,1.82676,0.748903,-0.174688,-1.54494,-0.231225,653.974,1461.17,3252.64,0.185983,0.203666,0.45281,3516.3,2986.56,1865.61,44926.1,-0.00106456,0.133481,12.8888,12.8932,90.2386,75.2723,0.660639,12.4387,12.3376,88.614,125.988,1.62453,-50.7157 
14,45,2.5,14,10924.8,-0.310521,21.5822,12.6549,88.6644,0.990967,-668.577,451.99,-1.47893,-0.864512,0.310187,-1.80656,-0.728828,-110.293,820.808,1709.65,3845.4,30458.8,-0.784446,-0.170026,1.69916,-1.11207,-0.0343419,5.22965,831.225,1736.73,3855.82,0.19677,0.214759,0.453468,4224.35,4259.32,3058.84,62888.9,-0.00140573,0.173529,12.4701,12.5135,89.7406,75.7656,0.778562,12.6529,12.5493,88.5288,126.334,1.21173,-50.5688 
16,120,2.5,16,8314.15,-0.288595,16.883,12.6354,88.8948,0.322749,268.913,33.1958,0.668547,-1.89849,-1.68561,-0.960711,-1.22173,-66.1014,442.761,1309.46,3136.27,9769.72,1.08477,-1.48226,-0.85316,-0.544489,-0.805511,0.671944,449.004,1325.69,3142.51,0.139685,0.162156,0.437287,3214.41,2806.46,927.419,42162,-0.0012572,0.0898748,13.1524,13.9823,89.7129,75.7506,0.637948,12.499,12.5918,88.8645,125.296,0.848325,-49.5451 
17,75,2.5,17,9406.26,-0.0276967,18.5268,12.3549,88.5211,0.00285833,-10.2519,500,-0.571509,-0.617283,-1.90298,-2.49465,0.500692,-80.1295,570.958,1421.77,3463.63,7452.34,-0.0669545,-0.112729,-0.893871,-1.99009,1.00525,0.565745,578.526,1441.45,3471.2,0.159234,0.186557,0.433413,3633.18,3375.54,1483.04,51228.2,-0.00118792,0.117239,13.125,13.1583,89.4009,76,0.705378,12.4653,12.4238,88.438,127.382,0.96292,-51.3818 
