cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
22,45,0,22,16459.9,-0.0506931,30.0269,12.9586,88.4426,-0.0878964,74.5764,500,1.49317,-1.29299,-0.218038,-0.965101,-1.64268,-121.591,3.74872,2299.68,6389.44,12880,2.2588,-0.527367,1.31322,-0.199474,-0.877055,0.332755,15.2331,2329.54,6400.93,0.00269706,0.00372273,0.401345,5648.05,11408.5,21.9586,173257,-0.00103662,-0.0146429,9.59646,-9.31687,100,62,1.27751,13.0732,12.899,88.5913,127.383,11.4087,-65.3829 
23,15,0,23,16350.4,-0.115986,30.186,12.9379,88.4741,0.0692294,240.935,5.02855e-08,-0.511338,2.17432,-2.28722,0.258332,0.585597,-137.044,17.3874,2441.21,6433.69,13256.5,0.351591,3.03725,-0.561363,1.12126,1.44853,1.10401,30.3313,2474.87,6446.63,0.00531814,0.00695458,0.414241,5703.37,11519,25.5554,176139,-0.00100583,-0.0140912,8.51703,8.94642,99.9661,62,1.29991,13.0299,12.6041,88.6072,126.845,11.3589,-64.845 
27,150,0,27,16374.4,-0.354,30.2122,13.1014,88.4087,0.139299,868.754,359.085,0.273909,0.895063,0.336181,0.580664,0.47478,-102.119,-6.34792,2341.11,6352.43,16824.8,0.916922,1.53808,1.62221,1.22368,1.11779,0.747268,3.29728,2366.19,6362.07,0.000588598,0.000795651,0.406569,5601.92,11302.6,22.4764,171545,-0.000972864,-0.0155459,8.98672,8.52745,100,62,1.27754,13.0141,12.8414,88.4939,126.231,11.5061,-64.2312 
28,75,0,28,15415.8,0.00498028,28.2365,12.8988,88.4225,-0.0291332,22.8652,500,-0.890162,-1.37003,-3.42276,1.74,1.21523,-119.37,18.856,2312.66,6094.19,11878.1,-0.138519,-0.618389,-1.91947,2.49164,1.96688,2.07706,30.1307,2341.97,6105.46,0.00557672,0.00729806,0.414042,5402.94,10248.7,24.8679,158394,-0.000837357,-0.00934361,10.8595,-8.10781,100,62,1.2363,12.9104,12.5158,88.4802,126.793,11.5198,-64.7929 
29,30,0,29,16702.6,-0.0417586,30.8668,12.7365,88.6777,0.0227688,-2.29394,9.03895e-12,-0.736253,-0.694922,-1.8723,-1.40589,2.25726,-115.059,3.27724,2378.37,6532.6,12799.6,-0.0117597,0.0295713,-0.423315,-0.681401,2.98176,1.2234,14.1446,2406.62,6543.47,0.00245039,0.00334726,0.403878,5772.4,11793.2,22.7214,181404,-0.000829311,-0.0120923,9.12407,8.8119,100,62,1.31831,12.812,12.764,88.7566,126.348,11.2434,-64.3476 
30,1,0,30,16048.4,-0.341082,29.7027,13.0384,88.4676,0.754548,-440.668,0.00653597,0.558252,-0.322904,-1.42101,1.34574,0.642714,-112.704,13.0087,2323.17,6279.87,23431.2,1.26792,0.38676,-0.00168375,2.0554,1.35238,1.00033,23.6537,2350.85,6290.51,0.00425479,0.00571671,0.40773,5559.31,10886,23.3196,168226,-0.000775581,-0.0140994,10.0076,7.71263,99.9967,62,1.2665,12.9031,12.6694,88.5435,127.338,11.4532,-65.3375 
35,60,0,35,16226.3,-0.372411,30.4659,12.9551,88.4469,0.829913,-530.246,449.151,-1.56514,0.940855,-1.42862,-0.615477,0.43518,-93.9565,10.415,2608.15,6436.85,27173.9,-0.973525,1.53247,-0.245379,-0.0238576,1.0268,1.18639,19.2893,2631.22,6445.72,0.00338912,0.00417162,0.429214,5691.53,11502.1,23.5725,176258,-0.00114638,-0.0159649,10.0306,8.65571,100,62,1.29682,12.9236,12.7662,88.5579,127.514,11.4421,-65.5138 
38,105,0,38,16101.6,-0.132993,30.0988,13.017,88.4011,-0.149484,529.579,452.243,0.839673,0.731859,-0.551043,-0.606779,-1.1117,-96.1509,-6.08773,2508.89,6369.88,15331.3,1.44511,1.3373,0.65983,-0.00134239,-0.506266,0.775157,2.99381,2532.5,6378.96,0.000533041,0.000675061,0.42241,5616.48,11299.1,24.3466,172294,-0.00114178,-0.0153881,10.7126,8.8422,100,62,1.28126,13.0411,12.7143,88.4267,126.827,11.5733,-64.8267 
39,120,0,39,15087.4,-0.346812,28.5878,12.8394,88.5104,-0.213121,710.035,497.7,1.59495,-0.0779512,0.843324,0.360292,-1.35058,-116.749,3.90442,2155.33,6109.05,16874.8,2.33009,0.657184,2.31359,1.09543,-0.615449,0.599783,14.9314,2184,6120.08,0.00276478,0.00389151,0.396634,5400.6,10219.2,20.3908,158763,-0.00109342,-0.0108763,10.5605,9.62032,100,62,1.23611,12.8059,12.5768,88.5882,127.334,11.4118,-65.3344 
41,90,0,41,16422.9,-0.198207,30.5079,12.9048,88.5504,0.0830401,313.986,0.203787,-1.14941,0.889208,-1.31337,0.62933,0.534772,-113.626,27.3142,2629.83,6437.33,13665,-0.433941,1.60468,0.117573,1.3448,1.25024,0.969724,38.0462,2657.74,6448.06,0.00666036,0.00811378,0.431583,5712.34,11436.2,27.0606,176293,-0.000889442,-0.00758283,-0.11033,3.56742,99.4925,62.7742,1.30034,12.855,12.6768,88.6059,125.504,10.8866,-62.7301 
