cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
11,202.5,3.509,43.4,10,11,31295.5,-0.0498764,51.9963,13.4577,115.673,0.109848,-392.511,497.838,0.0407358,-0.193803,-0.854615,-1.60253,-1.47631,60.8762,15831.4,119.853,14981.1,24182.7,-0.342586,-0.577124,-1.62126,-1.98585,-1.85964,0.746141,15782.9,115.445,14932.6,0.483297,0.987361,0.0140414,32656.8,-0.00041934,1.31161,13.6083,-11.1838,115.039,90.2188,1.12488,13.4756,12.5166,114.976,140.249,0.0629408,-50.0307,621.794,590.984,1212.78 
12,202.5,3.509,42,0,12,30530.4,-0.221134,51.2641,13.4254,116.1,-0.0681208,294.174,20.1423,0.236603,-0.110356,-3.70464,-1.30711,-0.917445,41.2258,15900.1,120.485,14372.5,23056.9,-0.0229847,-0.369944,-4.22382,-1.5667,-1.17703,0.426149,15867.2,117.5,14339.6,0.494754,0.987207,0.0148699,32071,-0.000707823,1.3051,13.7105,-11.2501,115.433,90.6682,1.08967,13.3277,12.5784,115.464,140.834,-0.0308789,-50.1659,627.048,569.054,1196.1 
13,202.5,3.509,43.28,10,13,31836.1,-0.0303688,52.2134,13.5402,115.761,-0.12272,197.005,500,-2.79293,0.179169,3.96192,2.35523,-4.14531,-2.12434,16252.7,116.196,14916.4,23801.6,-2.77956,0.192545,3.98868,2.36861,-4.13194,12.0287,16254.4,116.349,14918.1,0.490895,0.987628,0.0141635,33111.9,-0.000343706,1.33675,13.7943,-11.1422,115.122,90.8022,1.11533,13.4835,12.5989,115.055,140.806,0.0663272,-50.0035,639.988,590.205,1230.19 
14,202.5,3.509,43.46,10,14,31866.8,0.0296642,52.127,13.4889,115.964,0.0274926,-93.5009,0.054209,-1.5368,-0.851239,-0.608612,2.79106,2.7831,42.2212,16205.7,112.675,14809.5,22973,-1.80265,-1.11709,-1.14032,2.5252,2.51724,2.16078,16172.1,109.618,14775.8,0.49202,0.988277,0.0134819,32868.8,-9.54887e-05,1.31937,13.7099,-11.3163,115.471,90.0722,1.11013,13.4383,12.5457,115.186,140.057,0.285476,-49.985,637.664,583.089,1220.75 
15,202.5,3.509,43.42,10,15,29921.2,-0.126762,50.353,13.193,115.805,0.00383347,75.3815,111.843,-4.30835,0.279619,-0.920826,-0.185832,-1.26604,-19.5945,15423.2,87.0686,14079.8,21634.8,-4.18497,0.403001,-0.674063,-0.0624501,-1.14266,0.880932,15438.8,88.4875,14095.4,0.492204,0.990069,0.011432,31366.6,-0.000388759,1.33568,13.3656,-10.9163,115.222,90.7326,1.12257,13.1785,11.9782,115.094,140.755,0.127839,-50.0222,606.762,551.725,1158.49 
16,202.5,3.509,43.36,10,16,27169.3,-0.0553071,45.6202,13.1316,116.019,0.155888,-116.606,1.37516e-11,2.19397,-0.140303,5.4486,1.84535,0.665292,-11.774,13904.3,50.2742,12793.4,20093.3,2.2681,-0.0661659,5.59687,1.91948,0.739429,0.46481,13913.6,51.1268,12802.8,0.490249,0.993611,0.00730257,28380.8,-0.000254137,1.20611,13.3916,-10.8688,115.354,90.1272,1.01589,13.1857,12.0146,115.333,140.125,0.0215615,-49.9981,546.584,501.084,1047.67 
17,202.5,3.509,43.2,10,17,31482.4,0.0380364,52.1272,13.3251,115.821,-0.0496893,-34.7872,3.69801e-12,-1.13111,-2.06523,-0.504219,-1.43441,-0.560879,10.9838,16013.3,120.986,14792,22667.8,-1.20027,-2.13439,-0.642543,-1.50357,-0.63004,0.894851,16004.6,120.191,14783.2,0.489292,0.987028,0.0147557,32709.7,-0.00021728,1.33891,13.5838,-11.1272,115.275,89.8561,1.14331,13.2998,12.2624,115.066,139.791,0.209812,-49.9353,630.262,580.7,1210.96 
18,202.5,3.509,43.34,10,18,28566.2,-0.11351,46.9012,13.5045,115.928,-0.12617,691.137,211.342,-5.26047,-1.28003,5.40659,0.894267,-0.412261,-6.13318,14469.6,108.561,13434.9,23457.2,-5.22185,-1.24141,5.48383,0.932886,-0.373642,14.0511,14474.5,109.005,13439.8,0.48799,0.986992,0.0147207,29661.5,-0.000282484,1.17028,13.705,-11.3986,115.265,90.5023,0.981731,13.5673,12.8522,115.304,140.715,-0.0390529,-50.2129,569.664,533.444,1103.11 
19,202.5,3.509,43.24,10,19,30610.1,-0.131881,50.1292,13.562,115.716,0.587674,-456.295,166.584,-0.179101,-1.28435,0.918938,-1.18563,-1.88972,26.4401,15919,119.055,14006.3,30860.7,-0.345588,-1.45084,0.585965,-1.35212,-2.0562,1.12687,15898,117.141,13985.2,0.501494,0.98727,0.0151951,31701.2,-0.000211359,1.30136,13.6585,-11.3023,115.107,90.2469,1.05115,13.5397,12.4483,115.049,140.48,0.0586896,-50.2326,625.71,551.872,1177.58 
20,202.5,3.509,43.38,10,20,29294.1,-0.140521,47.7143,13.7316,115.962,-0.650831,562.102,243.95,-2.37904,1.83105,-3.66614,0.208932,-2.19568,4.87476,14938.2,130.652,13602.6,33237.8,-2.40973,1.80036,-3.72753,0.178237,-2.22637,0.416209,14934.3,130.299,13598.7,0.492867,0.984961,0.0173444,30300.9,-0.000355597,1.19432,13.8904,11.435,115.251,89.787,0.985455,13.7685,12.8414,115.298,139.952,-0.047964,-50.1655,591.125,543,1134.12 
