cyc,time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
1,90,0,1,7558.01,-0.287983,18.7527,10.4961,89.1519,0.267926,134.59,89.2532,-1.30235,-0.780344,0.700917,0.45734,0.474582,-67.9424,216.568,18.1712,8874.1,7581.32,-0.874537,-0.352528,1.55655,0.885155,0.902397,0.264751,306.57,19.936,8964.1,0.0374095,0.897826,0.00408009,8194.98,4646,407.508,117010,-0.00136339,-0.0104928,9.19515,8.90084,100.99,57.1673,1.00227,10.6419,10.2938,89.0134,125.289,11.9763,-68.1218 
2,45,0,2,7260.1,-0.242131,17.3752,10.6565,89.142,-0.378843,571.374,474.319,-1.91181,-0.926182,-1.81353,0.212766,-0.732895,-83.4604,389.489,22.8882,8299.78,13074,-1.38628,-0.400654,-0.762471,0.738294,-0.207367,0.622255,500.047,25.056,8410.34,0.0632879,0.919381,0.00545803,7901.15,4060.76,419.149,101792,-0.000842702,-0.0099039,6.58444,8.07208,97.4845,56.5634,0.958366,10.3456,10.0437,88.9912,124.568,8.49331,-68.0043 
3,15,0,3,7184.9,-0.0422527,17.4994,10.6485,89.0815,0.00915564,17.6116,7.67064,-1.88442,0.410518,-0.626201,-0.98321,-2.02545,-59.8274,285.988,19.881,8518.02,6071.3,-1.5077,0.787235,0.127233,-0.606493,-1.64873,1.04467,365.239,21.435,8597.27,0.0460531,0.906862,0.0045718,7930.84,4294.33,399.014,107837,-0.00127098,-0.0144125,7.38896,5.81257,100.775,55.804,0.975514,10.6467,10.0016,89.0261,125.376,11.749,-69.5724 
7,150,0,7,7384.83,-0.00233051,17.3484,10.4541,88.8026,-0.00580568,-14.364,500,-1.47453,0.631263,3.28839,-0.414831,-0.789228,-127.166,315.972,24.0917,8531.86,5906.67,-0.673803,1.43199,4.88985,0.385899,0.011502,0.191151,484.426,27.3947,8700.31,0.0595066,0.909948,0.00576681,8140.7,4284.96,446.867,107559,-0.000961738,-0.0156772,7.12765,7.22713,97.2295,56.818,0.980438,10.5101,9.97774,88.6111,124.768,8.61835,-67.9497 
8,75,0,8,7511.59,-0.255451,18.3382,10.477,88.8068,0.0818126,214.394,366.756,0.284381,-0.0760009,-0.333585,0.505424,1.80968,-97.7036,256.322,21.5905,8732.23,6825.44,0.899594,0.539213,0.896843,1.12064,2.42489,0.847506,385.747,24.1283,8861.65,0.0471343,0.901338,0.00499061,8184,4581.47,441.453,115227,-0.00108318,-0.014307,9.36004,8.25956,100.018,58.213,1.02,10.4122,9.99215,88.671,125.438,11.3469,-67.2246 
9,30,0,9,7702.55,-0.277324,19.0327,10.4431,89.1135,0.355794,306.725,394.154,-1.14779,-0.107035,-1.30999,-0.345779,1.4985,-69.6321,342.777,16.5458,8938.15,10022.9,-0.709337,0.33142,-0.433083,0.0926765,1.93696,1.35538,435.017,18.3545,9030.39,0.0519005,0.93124,0.00373016,8381.76,4808.31,449.326,121181,-0.00118617,-0.0116091,8.07831,5.62232,99.9636,55.7352,1.04405,10.4173,10.0324,88.9484,125.538,11.0152,-69.8033 
10,1,0,10,7608.08,-0.00416942,17.8389,10.6299,89.0221,-0.00111345,-0.29186,500,-2.62049,-0.546211,-2.50428,-0.553336,-0.313516,-47.8546,401.728,15.7314,8732.48,6172.98,-2.31916,-0.244884,-1.90163,-0.252009,-0.0121887,0.597953,465.12,16.9744,8795.87,0.056684,0.939968,0.00354233,8205.49,4367.81,425.392,109853,-0.00100985,-0.00922569,7.69267,6.07124,99.9211,55.5986,0.974663,10.6449,10.1926,88.8784,125.348,11.0427,-69.7496 
15,60,0,15,7822.88,-0.0315835,19.0446,10.3615,89.2033,-0.126534,19.1598,500,-0.514445,-0.581393,-0.373606,0.977712,-3.37942,-53.3263,285.533,18.4314,9080.3,6502.7,-0.178664,-0.245612,0.297956,1.31349,-3.04364,1.1605,356.173,19.8165,9150.94,0.0423562,0.911274,0.00397325,8409,4803.5,433.038,121146,-0.00117876,-0.0158207,8.00985,7.03699,102.665,56.7335,1.02704,10.5291,10.2522,89.1071,126.408,13.5582,-69.6745 
18,105,0,18,7326.18,-0.19789,17.8221,10.3783,89.1035,-0.221671,111.373,2.83199e-11,-1.10411,1.82978,-0.411614,-1.6733,-1.99244,-95.1468,260.452,21.237,8480.04,6824.84,-0.504997,2.4289,0.786614,-1.07418,-1.39333,-2.237,386.491,23.7083,8606.08,0.0485551,0.903057,0.00504908,7959.84,4290.54,406.555,107951,-0.00103613,-0.0119674,10.4715,8.79061,98.2222,56.476,0.981458,10.3855,10.1326,89.0191,125.221,9.2031,-68.7446 
19,120,0,19,7378.8,-0.0199419,17.3455,10.4943,89.047,-0.0084083,-14.1225,500,-0.697533,1.28562,-1.66922,0.660387,-1.59437,-123.094,316.849,18.6749,8458.87,5929.48,0.0775544,2.06071,-0.119044,1.43547,-0.819287,1.04517,479.908,21.8721,8621.93,0.0594888,0.926134,0.00465132,8067.21,4123.18,431.35,103645,-0.000891381,-0.0121903,9.21902,7.92426,98.9219,56.5986,0.95378,10.4543,10.2278,88.9423,125.159,9.97961,-68.5605 
