cyc,delaytime,windowsamples,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
105,20.3,21,44.2,105,33267.9,-0.527531,66.0101,11.8535,115.071,-0.00544373,207.192,66.342,7.04955,4.35664,1.61469,-2.81281,0.896077,51.6889,496.97,44.7271,34288.4,25508.1,6.72408,4.03117,0.963749,-3.13828,0.570606,0.894688,424.472,42.0419,34215.9,0.0122537,0.852276,0.00225833,34640.4 
106,20.3,21,45.34,106,34153.3,-0.505995,67.462,11.8473,114.634,3.01616,-6594.33,397.141,6.16024,4.24217,2.07155,1.94316,1.95354,32.5926,659.954,45.4303,35016.5,673490,5.95502,4.03695,1.66109,1.73793,1.74831,0.890279,614.239,43.7372,34970.7,0.0172612,0.889198,0.00229859,35585 
107,20.3,21,45.22,107,34599.6,-0.0450567,67.7493,11.8084,114.828,-0.0208495,28.1086,500,3.87644,1.60959,1.00131,-0.242451,-3.8424,51.5837,991.695,42.9764,35086.9,26062,3.55163,1.28478,0.351697,-0.56726,-4.16721,0.224729,919.343,40.2967,35014.5,0.0255843,0.928759,0.00211551,35933.9 
108,20.3,21,44.5,108,34128.6,-0.390209,67.4944,11.8033,114.702,0.339884,177.998,500,2.55287,3.9646,6.45729,2.8263,-1.45196,97.758,1004.26,47.8633,34471,27903.1,1.93731,3.34904,5.22618,2.21074,-2.06752,0.509544,867.145,42.785,34333.8,0.0246341,0.920518,0.00229027,35201 
109,20.3,21,44.56,109,32821,-0.0569129,65.9249,11.5393,114.902,0.0596165,-85.9771,22.0155,2.59717,3.1529,-2.59993,0.761075,0.131494,114.401,1116.55,50.2801,33282.4,24931.1,1.87682,2.43254,-4.04063,0.0407226,-0.588858,-13.4613,956.095,44.3372,33122,0.028056,0.924938,0.00245978,34078.1 
110,20.3,21,44.26,110,34263.3,-0.550567,67.5556,11.9397,114.799,0.575022,95.5441,40.6445,4.67926,3.97425,3.26346,1.48056,-0.0400485,116.732,623.21,45.905,35101.1,28045.8,3.94423,3.23923,1.7934,0.745536,-0.775076,0.79956,459.483,39.8411,34937.4,0.0129809,0.868252,0.00209625,35396.8 
111,20.3,21,44.74,111,33823.4,0.156763,66.9664,11.6152,114.536,-0.191739,564.511,1.52396e-12,2.74516,0.571354,0.353917,0.426693,-1.35157,36.7703,1381.76,43.6307,33926.7,28844.4,2.51362,0.33982,-0.109149,0.19516,-1.5831,1.08047,1330.18,41.7205,33875.1,0.0377836,0.947968,0.0022636,35205.3 
112,20.3,21,44.44,112,33771.4,0.325052,66.1592,11.6339,114.842,-0.751144,40.8469,500,4.8586,0.85485,2.79253,-3.56116,-0.483719,70.2349,865.174,43.3558,34333.4,26054.7,4.41635,0.4126,1.90802,-4.00341,-0.925969,-0.0555597,766.663,39.7072,34234.9,0.0219037,0.916896,0.00213201,35001.5 
113,20.3,21,45.4,113,33643,-0.00637051,66.3728,11.6928,114.644,-0.0916378,110.19,499.999,3.06836,2.80249,5.61509,0.0451643,-2.26327,42.216,508.156,31.3905,34566.3,25592.8,2.80254,2.53667,5.08344,-0.220658,-2.52909,0.337481,448.944,29.1975,34507.1,0.0128431,0.897817,0.00155623,34956 
114,20.3,21,45.28,114,35289.5,-0.184985,68.1016,11.9536,114.971,0.0828726,-166.932,486.979,6.35154,0.793372,4.39691,-0.342816,-0.462022,46.0284,734.15,44.5058,35920.4,26950.6,6.06171,0.503543,3.81726,-0.632645,-0.75185,0.575767,669.591,42.1147,35855.9,0.0183322,0.900845,0.00215898,36525.5 
115,20.3,21,44.62,115,32137,-0.0188391,64.9287,11.4499,114.946,-0.055449,105.213,500,6.43038,1.88933,1.19002,0.16878,-0.0555674,64.8338,1175.15,39.8439,32520.1,24390.9,6.02214,1.48109,0.373537,-0.239461,-0.463808,0.947928,1084.22,36.4759,32429.1,0.0323518,0.944399,0.0020677,33513.4 
116,20.3,21,44.38,116,33729.3,0.0329452,66.3359,11.6903,115.068,-0.0408795,25.0331,4.34972e-12,2.02401,3.6266,2.44592,-0.0581162,1.94504,75.886,816.196,38.7612,34252.3,25277.9,1.54618,3.14877,1.49025,-0.53595,1.4672,0.790591,709.758,34.8191,34145.9,0.0203628,0.920937,0.0018749,34855.6 
117,20.3,21,44.32,117,34514.7,-0.0080201,68.4645,11.7089,114.858,-0.060184,29.9899,7.47563e-12,3.48954,1.20411,4.55529,0.717917,2.8256,45.7727,608.636,28.3396,35434.4,26154.9,3.20132,0.915893,3.97886,0.429698,2.53738,0.64035,544.436,25.9618,35370.1,0.0151592,0.922978,0.00135028,35914.6 
118,20.3,21,45.1,118,33039.1,-0.12139,65.7333,11.6152,114.929,0.0680786,-1077.67,0.000145236,3.80091,3.56124,4.36158,1.52688,4.00251,145.854,1134.95,55.5272,33227.2,27243.1,2.8825,2.64283,2.52477,0.608473,3.08411,0.784992,930.375,47.9504,33022.7,0.0274018,0.917269,0.00266768,33953 
119,20.3,21,44.86,119,33351.4,-0.506499,66.6484,11.7314,114.874,0.562798,-109.569,363.906,2.59676,2.35536,1.24775,3.64321,-0.492486,126.782,1474.13,55.3921,33346.6,27460.2,1.79845,1.55705,-0.348877,2.8449,-1.2908,1.0765,1296.31,48.806,33168.7,0.0376122,0.938185,0.00270323,34465 
120,20.3,21,44.8,120,33641,0.0187528,66.3015,11.6582,114.96,-0.148029,94.7006,500,4.26285,1.57554,6.93491,2.94981,0.202191,85.875,1365.6,46.8163,33645.4,25618.5,3.72211,1.03481,5.85345,2.40908,-0.338541,0.538405,1245.15,42.3553,33524.9,0.0358109,0.943816,0.0023219,34770.1 
121,20.3,21,45.04,121,33008,-0.529623,66.8724,11.6198,115.154,2.13743,-1271.24,489.315,5.34977,2.80511,-4.13432,2.20306,2.6113,62.9396,1201.53,43.9304,33297.4,113749,4.95346,2.4088,-4.92695,1.80674,2.21498,1.76304,1113.25,40.6608,33209.1,0.0324352,0.939922,0.00225037,34322.4 
